SampleID	Tissue	Genotype	Treatment	Replicate	paired	r0	r1	r2
s01		M14	control	1	TRUE		/disk6/pzhou/projects/barn/Osativa/raw_seqs/rice_cold/RNA-Seq/M14_1.fq.gz	/disk6/pzhou/projects/barn/Osativa/raw_seqs/rice_cold/RNA-Seq/M14_2.fq.gz
s02		M14	cold	1	TRUE		/disk6/pzhou/projects/barn/Osativa/raw_seqs/rice_cold/RNA-Seq/M14-C_1.fq.gz	/disk6/pzhou/projects/barn/Osativa/raw_seqs/rice_cold/RNA-Seq/M14-C_2.fq.gz
s03		M16	control	1	TRUE		/disk6/pzhou/projects/barn/Osativa/raw_seqs/rice_cold/RNA-Seq/m16_ck_1.fq.gz	/disk6/pzhou/projects/barn/Osativa/raw_seqs/rice_cold/RNA-Seq/m16_ck_2.fq.gz
s04		M16	cold	1	TRUE		/disk6/pzhou/projects/barn/Osativa/raw_seqs/rice_cold/RNA-Seq/m16_cold_1.fq.gz	/disk6/pzhou/projects/barn/Osativa/raw_seqs/rice_cold/RNA-Seq/m16_cold_2.fq.gz
s05		M17	control	1	TRUE		/disk6/pzhou/projects/barn/Osativa/raw_seqs/rice_cold/RNA-Seq/m17_ck_1.fq.gz	/disk6/pzhou/projects/barn/Osativa/raw_seqs/rice_cold/RNA-Seq/m17_ck_2.fq.gz
s06		M17	cold	1	TRUE		/disk6/pzhou/projects/barn/Osativa/raw_seqs/rice_cold/RNA-Seq/m17_cold_1.fq.gz	/disk6/pzhou/projects/barn/Osativa/raw_seqs/rice_cold/RNA-Seq/m17_cold_2.fq.gz
s07		M18	control	1	TRUE		/disk6/pzhou/projects/barn/Osativa/raw_seqs/rice_cold/RNA-Seq/M18_1.fq.gz	/disk6/pzhou/projects/barn/Osativa/raw_seqs/rice_cold/RNA-Seq/M18_2.fq.gz
s08		M18	cold	1	TRUE		/disk6/pzhou/projects/barn/Osativa/raw_seqs/rice_cold/RNA-Seq/M18-C_1.fq.gz	/disk6/pzhou/projects/barn/Osativa/raw_seqs/rice_cold/RNA-Seq/M18-C_2.fq.gz
s09		M21	control	1	TRUE		/disk6/pzhou/projects/barn/Osativa/raw_seqs/rice_cold/RNA-Seq/M21_1.fq.gz	/disk6/pzhou/projects/barn/Osativa/raw_seqs/rice_cold/RNA-Seq/M21_2.fq.gz
s10		M21	cold	1	TRUE		/disk6/pzhou/projects/barn/Osativa/raw_seqs/rice_cold/RNA-Seq/M21-C_1.fq.gz	/disk6/pzhou/projects/barn/Osativa/raw_seqs/rice_cold/RNA-Seq/M21-C_2.fq.gz
s11		M24	control	1	TRUE		/disk6/pzhou/projects/barn/Osativa/raw_seqs/rice_cold/RNA-Seq/M24_1.fq.gz	/disk6/pzhou/projects/barn/Osativa/raw_seqs/rice_cold/RNA-Seq/M24_2.fq.gz
s12		M24	cold	1	TRUE		/disk6/pzhou/projects/barn/Osativa/raw_seqs/rice_cold/RNA-Seq/M24-C_1.fq.gz	/disk6/pzhou/projects/barn/Osativa/raw_seqs/rice_cold/RNA-Seq/M24-C_2.fq.gz
s13		M25	control	1	TRUE		/disk6/pzhou/projects/barn/Osativa/raw_seqs/rice_cold/RNA-Seq/M25_1.fq.gz	/disk6/pzhou/projects/barn/Osativa/raw_seqs/rice_cold/RNA-Seq/M25_2.fq.gz
s14		M25	cold	1	TRUE		/disk6/pzhou/projects/barn/Osativa/raw_seqs/rice_cold/RNA-Seq/M25-C_1.fq.gz	/disk6/pzhou/projects/barn/Osativa/raw_seqs/rice_cold/RNA-Seq/M25-C_2.fq.gz
s15		M29	control	1	TRUE		/disk6/pzhou/projects/barn/Osativa/raw_seqs/rice_cold/RNA-Seq/M29_1.fq.gz	/disk6/pzhou/projects/barn/Osativa/raw_seqs/rice_cold/RNA-Seq/M29_2.fq.gz
s16		M29	cold	1	TRUE		/disk6/pzhou/projects/barn/Osativa/raw_seqs/rice_cold/RNA-Seq/M29-C_1.fq.gz	/disk6/pzhou/projects/barn/Osativa/raw_seqs/rice_cold/RNA-Seq/M29-C_2.fq.gz
s17		M30	control	1	TRUE		/disk6/pzhou/projects/barn/Osativa/raw_seqs/rice_cold/RNA-Seq/M30_1.fq.gz	/disk6/pzhou/projects/barn/Osativa/raw_seqs/rice_cold/RNA-Seq/M30_2.fq.gz
s18		M30	cold	1	TRUE		/disk6/pzhou/projects/barn/Osativa/raw_seqs/rice_cold/RNA-Seq/M30-C_1.fq.gz	/disk6/pzhou/projects/barn/Osativa/raw_seqs/rice_cold/RNA-Seq/M30-C_2.fq.gz
s19		M32	control	1	TRUE		/disk6/pzhou/projects/barn/Osativa/raw_seqs/rice_cold/RNA-Seq/m32_ck_1.fq.gz	/disk6/pzhou/projects/barn/Osativa/raw_seqs/rice_cold/RNA-Seq/m32_ck_2.fq.gz
s20		M32	cold	1	TRUE		/disk6/pzhou/projects/barn/Osativa/raw_seqs/rice_cold/RNA-Seq/m32_cold_1.fq.gz	/disk6/pzhou/projects/barn/Osativa/raw_seqs/rice_cold/RNA-Seq/m32_cold_2.fq.gz
s21		M34	control	1	TRUE		/disk6/pzhou/projects/barn/Osativa/raw_seqs/rice_cold/RNA-Seq/m34_ck_1.fq.gz	/disk6/pzhou/projects/barn/Osativa/raw_seqs/rice_cold/RNA-Seq/m34_ck_2.fq.gz
s22		M34	cold	1	TRUE		/disk6/pzhou/projects/barn/Osativa/raw_seqs/rice_cold/RNA-Seq/m34_cold_1.fq.gz	/disk6/pzhou/projects/barn/Osativa/raw_seqs/rice_cold/RNA-Seq/m34_cold_2.fq.gz
s23		M37	control	1	TRUE		/disk6/pzhou/projects/barn/Osativa/raw_seqs/rice_cold/RNA-Seq/M37_1.fq.gz	/disk6/pzhou/projects/barn/Osativa/raw_seqs/rice_cold/RNA-Seq/M37_2.fq.gz
s24		M37	cold	1	TRUE		/disk6/pzhou/projects/barn/Osativa/raw_seqs/rice_cold/RNA-Seq/M37-C_1.fq.gz	/disk6/pzhou/projects/barn/Osativa/raw_seqs/rice_cold/RNA-Seq/M37-C_2.fq.gz
