SampleID	Genotype	Tissue	Replicate	directory	file_prefix
s001	B73	anther	1	/home/hirschc1/data_release/umgc/hiseq/180509_D00635_0371_BCC5NGANXX/Hirsch2_Project_001	B-A-R1_S119
s002	B73	anther	1	/home/hirschc1/data_release/umgc/hiseq/180522_D00635_0375_BCCJL5ANXX/Hirsch2_Project_001	B-A-R1_S43
s003	B73	anther	2	/home/hirschc1/data_release/umgc/hiseq/180509_D00635_0371_BCC5NGANXX/Hirsch2_Project_001	B-A-R2_S120
s004	B73	anther	2	/home/hirschc1/data_release/umgc/hiseq/180522_D00635_0375_BCCJL5ANXX/Hirsch2_Project_001	B-A-R2_S44
s005	B73	ear	1	/home/hirschc1/data_release/umgc/hiseq/180509_D00635_0371_BCC5NGANXX/Hirsch2_Project_001	B-IE-R1_S113
s006	B73	ear	1	/home/hirschc1/data_release/umgc/hiseq/180522_D00635_0375_BCCJL5ANXX/Hirsch2_Project_001	B-IE-R1_S37
s007	B73	ear	2	/home/hirschc1/data_release/umgc/hiseq/180509_D00635_0371_BCC5NGANXX/Hirsch2_Project_001	B-IE-R2_S114
s008	B73	ear	2	/home/hirschc1/data_release/umgc/hiseq/180522_D00635_0375_BCCJL5ANXX/Hirsch2_Project_001	B-IE-R2_S38
s009	B73	embryo	1	/home/hirschc1/data_release/umgc/hiseq/180509_D00635_0371_BCC5NGANXX/Hirsch2_Project_001	B-Em-R1_S131
s010	B73	embryo	1	/home/hirschc1/data_release/umgc/hiseq/180522_D00635_0375_BCCJL5ANXX/Hirsch2_Project_001	B-Em-R1_S55
s011	B73	embryo	2	/home/hirschc1/data_release/umgc/hiseq/180509_D00635_0371_BCC5NGANXX/Hirsch2_Project_001	B-Em-R2_S132
s012	B73	embryo	2	/home/hirschc1/data_release/umgc/hiseq/180522_D00635_0375_BCCJL5ANXX/Hirsch2_Project_001	B-Em-R2_S56
s013	B73	endosperm	1	/home/hirschc1/data_release/umgc/hiseq/180509_D00635_0371_BCC5NGANXX/Hirsch2_Project_001	B-En-R1_S125
s014	B73	endosperm	1	/home/hirschc1/data_release/umgc/hiseq/180522_D00635_0375_BCCJL5ANXX/Hirsch2_Project_001	B-En-R1_S49
s015	B73	endosperm	2	/home/hirschc1/data_release/umgc/hiseq/180509_D00635_0371_BCC5NGANXX/Hirsch2_Project_001	B-En-R2_S126
s016	B73	endosperm	2	/home/hirschc1/data_release/umgc/hiseq/180522_D00635_0375_BCCJL5ANXX/Hirsch2_Project_001	B-En-R2_S50
s017	B73	internode	1	/home/hirschc1/data_release/umgc/hiseq/180509_D00635_0371_BCC5NGANXX/Hirsch2_Project_001	B-I-R1_S89
s018	B73	internode	1	/home/hirschc1/data_release/umgc/hiseq/180522_D00635_0375_BCCJL5ANXX/Hirsch2_Project_001	B-I-R1_S13
s019	B73	internode	2	/home/hirschc1/data_release/umgc/hiseq/180509_D00635_0371_BCC5NGANXX/Hirsch2_Project_001	B-I-R2_S90
s020	B73	internode	2	/home/hirschc1/data_release/umgc/hiseq/180522_D00635_0375_BCCJL5ANXX/Hirsch2_Project_001	B-I-R2_S14
s021	B73	leaf10	1	/home/hirschc1/data_release/umgc/hiseq/180509_D00635_0371_BCC5NGANXX/Hirsch2_Project_001	B-L10-R1_S95
s022	B73	leaf10	1	/home/hirschc1/data_release/umgc/hiseq/180522_D00635_0375_BCCJL5ANXX/Hirsch2_Project_001	B-L10-R1_S19
s023	B73	leaf10	2	/home/hirschc1/data_release/umgc/hiseq/180509_D00635_0371_BCC5NGANXX/Hirsch2_Project_001	B-L10-R2_S96
s024	B73	leaf10	2	/home/hirschc1/data_release/umgc/hiseq/180522_D00635_0375_BCCJL5ANXX/Hirsch2_Project_001	B-L10-R2_S20
s025	B73	leaf30	1	/home/hirschc1/data_release/umgc/hiseq/180509_D00635_0371_BCC5NGANXX/Hirsch2_Project_001	B-L-R1_S101
s026	B73	leaf30	1	/home/hirschc1/data_release/umgc/hiseq/180522_D00635_0375_BCCJL5ANXX/Hirsch2_Project_001	B-L-R1_S25
s027	B73	leaf30	2	/home/hirschc1/data_release/umgc/hiseq/180509_D00635_0371_BCC5NGANXX/Hirsch2_Project_001	B-L-R2_S102
s028	B73	leaf30	2	/home/hirschc1/data_release/umgc/hiseq/180522_D00635_0375_BCCJL5ANXX/Hirsch2_Project_001	B-L-R2_S26
s029	B73	root	1	/home/hirschc1/data_release/umgc/hiseq/180509_D00635_0371_BCC5NGANXX/Hirsch2_Project_001	B-R-R1_S77
s030	B73	root	1	/home/hirschc1/data_release/umgc/hiseq/180522_D00635_0375_BCCJL5ANXX/Hirsch2_Project_001	B-R-R1_S1
s031	B73	root	2	/home/hirschc1/data_release/umgc/hiseq/180509_D00635_0371_BCC5NGANXX/Hirsch2_Project_001	B-R-R2_S78
s032	B73	root	2	/home/hirschc1/data_release/umgc/hiseq/180522_D00635_0375_BCCJL5ANXX/Hirsch2_Project_001	B-R-R2_S2
s033	B73	shoot	1	/home/hirschc1/data_release/umgc/hiseq/180509_D00635_0371_BCC5NGANXX/Hirsch2_Project_001	B-SC-R1_S83
