SampleID	Tissue	Genotype	Treatment	Replicate	directory	file_prefix
A01	leaf_2	B73	day9_11am_control	rep1	/home/springer/zhoux379/data/stress_tenders	A01
A02	leaf_2	B73	day10_4pm_control	rep1		A02
A03	leaf_2	B73	day9_4pm_cold	rep1		A03
A04	leaf_2	B73	day11_11am_cold	rep1		A04
A05	leaf_2	B73	day12_4pm_control	rep1		A05
A06	leaf_2	B73	day15_4pm_control	rep1		A06
A07	leaf_3	B73	day15_4pm_control	rep1		A07
A08	leaf_2	B73	day9_11am_control	rep3		A08
A09	leaf_2	B73	day11_4pm_cold	rep1		A09
A10	leaf_2	B73	day11_11am_control	rep3		A10
A11	leaf_2	B73	day11_4pm_control	rep3		A11
A12	leaf_2	B73	day9_4pm_cold	rep3		A12
B01	leaf_2	B73	day9_11am_control	rep2		B01
B02	leaf_2	B73	day10_4pm_control	rep2		B02
B03	leaf_2	B73	day9_4pm_cold	rep2		B03
B04	leaf_2	B73	day11_11am_cold	rep2		B04
B05	leaf_2	B73	day11_4pm_control	rep2		B05
B06	leaf_2	B73	day15_4pm_control	rep2		B06
B07	leaf_3	B73	day15_4pm_control	rep2		B07
B08	leaf_2	Mo17	day9_11am_control	rep3		B08
B09	leaf_2	B73	day11_4pm_cold	rep2		B09
B10	leaf_2	Mo17	day11_11am_control	rep3		B10
B11	leaf_2	Mo17	day11_4pm_control	rep3		B11
B12	leaf_2	Mo17	day9_4pm_cold	rep3		B12
C01	leaf_2	Mo17	day9_11am_control	rep1		C01
C02	leaf_2	Mo17	day10_4pm_control	rep1		C02
C03	leaf_2	Mo17	day9_4pm_cold	rep1		C03
C04	leaf_2	Mo17	day11_11am_cold	rep1		C04
C05	leaf_2	Mo17	day12_4pm_control	rep1		C05
C06	leaf_2	Mo17	day15_4pm_control	rep1		C06
C07	leaf_3	Mo17	day15_4pm_control	rep1		C07
C08	leaf_2	B73	day9_12pm_control	rep3		C08
C09	leaf_2	Mo17	day11_4pm_cold	rep1		C09
C10	leaf_2	B73	day11_11am_cold	rep3		C10
C11	leaf_2	B73	day11_4pm_cold	rep3		C11
C12	leaf_2	B73	day15_4pm_control	rep3		C12
D01	leaf_2	Mo17	day9_11am_control	rep2		D01
D02	leaf_2	Mo17	day10_4pm_control	rep2		D02
D03	leaf_2	Mo17	day9_4pm_cold	rep2		D03
D04	leaf_2	Mo17	day11_11am_cold	rep2		D04
D05	leaf_2	Mo17	day12_4pm_control	rep2		D05
D06	leaf_2	Mo17	day15_4pm_control	rep2		D06
D07	leaf_3	Mo17	day15_4pm_control	rep2		D07
D08	leaf_2	B73	day9_12pm_cold	rep3		D08
D09	leaf_2	Mo17	day11_4pm_cold	rep2		D09
D10	leaf_2	Mo17	day11_11am_cold	rep3		D10
D11	leaf_2	Mo17	day11_4pm_cold	rep3		D11
D12	leaf_2	Mo17	day15_4pm_control	rep3		D12
E01	leaf_2	B73	day9_4pm_control	rep1		E01
E02	leaf_2	B73	day10_4pm_cold	rep1		E02
E03	leaf_2	B73	day10_4pm_control	rep3		E03
E04	leaf_2	B73	day11_4pm_control	rep1		E04
E05	leaf_2	B73	day12_4pm_cold	rep1		E05
E06	leaf_2	B73	day15_4pm_cold	rep1		E06
E07	leaf_3	B73	day15_4pm_cold	rep1		E07
E08	leaf_2	B73	day9_2pm_control	rep3		E08
E09	leaf_2	B73	day11_11am_control	rep1		E09
E10	leaf_2	B73	day11_12pm_control	rep3		E10
E11	leaf_2	B73	day12_4pm_control	rep3		E11
E12	leaf_2	B73	day15_4pm_cold	rep3		E12
F01	leaf_2	B73	day9_4pm_control	rep2		F01
F02	leaf_2	B73	day10_4pm_cold	rep2		F02
F03	leaf_2	Mo17	day10_4pm_control	rep3		F03
F04	leaf_2	B73	day11_4pm_control	rep2		F04
F05	leaf_2	B73	day12_4pm_cold	rep2		F05
F06	leaf_2	B73	day15_4pm_cold	rep2		F06
F07	leaf_3	B73	day15_4pm_cold	rep2		F07
F08	leaf_2	B73	day9_2pm_cold	rep3		F08
F09	leaf_2	B73	day11_11am_control	rep2		F09
F10	leaf_2	B73	day11_12pm_cold	rep3		F10
F11	leaf_2	Mo17	day12_4pm_control	rep3		F11
F12	leaf_2	Mo17	day15_4pm_cold	rep3		F12
G01	leaf_2	Mo17	day9_4pm_control	rep1		G01
G02	leaf_2	Mo17	day10_4pm_cold	rep1		G02
G03	leaf_2	B73	day10_4pm_cold	rep3		G03
G04	leaf_2	Mo17	day11_4pm_control	rep1		G04
G05	leaf_2	Mo17	day12_4pm_cold	rep1		G05
G06	leaf_2	Mo17	day15_4pm_cold	rep1		G06
G07	leaf_7	Mo17	day15_4pm_cold	rep1		G07
G08	leaf_2	B73	day9_4pm_control	rep3		G08
G09	leaf_2	Mo17	day11_11am_control	rep1		G09
G10	leaf_2	B73	day11_2pm_control	rep3		G10
G11	leaf_2	B73	day12_4pm_cold	rep3		G11
H01	leaf_2	Mo17	day9_4pm_control	rep2		H01
H02	leaf_2	Mo17	day10_4pm_cold	rep2		H02
H03	leaf_2	Mo17	day10_4pm_cold	rep3		H03
H04	leaf_2	Mo17	day11_4pm_control	rep2		H04
H05	leaf_2	Mo17	day12_4pm_cold	rep2		H05
H06	leaf_2	Mo17	day15_4pm_cold	rep2		H06
H07	leaf_3	Mo17	day15_4pm_cold	rep2		H07
H08	leaf_2	Mo17	day9_4pm_control	rep3		H08
H09	leaf_2	Mo17	day11_11am_control	rep2		H09
H10	leaf_2	B73	day11_2pm_cold	rep3		H10
H11	leaf_2	Mo17	day12_4pm_cold	rep3		H11
