SampleID	Tissue	Genotype	Treatment	Timepoint	Experiment	Replicate	directory	file_prefix
HY1	leaf	B73	Control	0	HY	1	/home/springer/data_release/umgc/novaseq/200128_A00223_0311_AHLCMJDSXX/Springer_Project_069	HY1_S79
HY10		B73xMo17	Control	0	HY	2		HY10_S88
HY100		B73xMo17	Cold	25	HY	2		HY100_S178
HY101		W22xB73	Cold	25	HY	2		HY101_S179
HY102		W22xMo17	Cold	25	HY	2		HY102_S180
HY103		B73	Cold	25	HY	3		HY103_S181
HY104		Mo17	Cold	25	HY	3		HY104_S182
HY105		W22	Cold	25	HY	3		HY105_S183
HY106		B73xMo17	Cold	25	HY	3		HY106_S184
HY107		W22xB73	Cold	25	HY	3		HY107_S185
HY108		W22xMo17	Cold	25	HY	3		HY108_S186
HY109		B73	Heat	25	HY	1		HY109_S187
HY11		W22xB73	Control	0	HY	2		HY11_S89
HY110		Mo17	Heat	25	HY	1		HY110_S188
HY111		W22	Heat	25	HY	1		HY111_S189
HY112		B73xMo17	Heat	25	HY	1		HY112_S190
HY113		W22xB73	Heat	25	HY	1		HY113_S191
HY114		W22xMo17	Heat	25	HY	1		HY114_S192
HY115		B73	Heat	25	HY	2		HY115_S193
HY116		Mo17	Heat	25	HY	2		HY116_S194
HY117		W22	Heat	25	HY	2		HY117_S195
HY118		B73xMo17	Heat	25	HY	2		HY118_S196
HY119		W22xB73	Heat	25	HY	2		HY119_S283
HY12		W22xMo17	Control	0	HY	2		HY12_S90
HY120		W22xMo17	Heat	25	HY	2		HY120_S284
HY121		B73	Heat	25	HY	3		HY121_S285
HY122		Mo17	Heat	25	HY	3		HY122_S286
HY123		W22	Heat	25	HY	3		HY123_S287
HY124		B73xMo17	Heat	25	HY	3		HY124_S288
HY125		W22xB73	Heat	25	HY	3		HY125_S289
HY126		W22xMo17	Heat	25	HY	3		HY126_S290
HY13		B73	Control	0	HY	3		HY13_S91
HY14		Mo17	Control	0	HY	3		HY14_S92
HY15		W22	Control	0	HY	3		HY15_S93
HY16		B73xMo17	Control	0	HY	3		HY16_S94
HY17		W22xB73	Control	0	HY	3		HY17_S95
HY18		W22xMo17	Control	0	HY	3		HY18_S96
HY19		B73	Control	1	HY	1		HY19_S98
HY2		Mo17	Control	0	HY	1		HY2_S80
