SampleID	Tissue	Genotype	Treatment	Replicate	directory	file_prefix
	Above	bZIP76-m1	EM601	2	/home/springer/data_release/umgc/novaseq/200401_A00223_0352_AH75N7DSXY/Springer_Project_073	tf1_S48
	Below	bZIP76-m1	EM601	1		tf2_S49
	Below	bZIP76-m1	EM649	3		tf3_S50
	Above	C3H42-m1	EM604	2		tf4_S51
	Below	C3H42-m1	EM604	1		tf5_S52
	Above	BAF60.21-m1	EM596	3		tf6_S53
	Above	BAF60.21-m2	EM597	3		tf7_S54
	Below	BAF60.21-m2	EM597	1		tf8_S55
	Below	BAF60.21-m2	EM597	2		tf9_S56
	Below	BAF60.21-m1	EM596	1		tf10_S57
	Below	BAF60.21-m1	EM596	2		tf11_S58
	Below	C3H42-m1	EM652	3		tf12_S59
	Below	W22	EM642	3		tf13_S60
	Above	W22	EM608	2		tf14_S61
	Below	W22	EM608	1		tf15_S62
	Below	BSD10-m1	EM599	1		tf16_S63
	Below	BSD10-m1	EM647	3		tf17_S64
	Above	BSD10-m1	EM599	2		tf18_S65
	Above	JMJ13-m7	EM619	3		tf19_S66
	Below	JMJ13-m7	EM619	2		tf20_S67
	Below	JMJ13-m7	EM619	1		tf21_S68
	Above	JMJ13-m4	EM618	3		tf22_S69
	Below	JMJ13-m4	EM618	2		tf23_S70
	Below	JMJ13-m4	EM618	1		tf24_S71
