SampleID	Tissue	Genotype	Treatment	Replicate	MergeID	paired	interleaved	r0	r1	r2
s01	NA	NA		1	m1	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/170703_D00635_0261_ACBCA2ANXX/Springer_Project_054/JN31_BS_Index10_S2_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170703_D00635_0261_ACBCA2ANXX/Springer_Project_054/JN31_BS_Index10_S2_R2_001.fastq
s02	NA	NA		2	m1	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/170703_D00635_0261_ACBCA2ANXX/Springer_Project_054/JN31_BS_Index11_S3_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170703_D00635_0261_ACBCA2ANXX/Springer_Project_054/JN31_BS_Index11_S3_R2_001.fastq
s03	NA	NA		3	m1	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/170703_D00635_0261_ACBCA2ANXX/Springer_Project_054/JN31_BS_Index12_S4_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170703_D00635_0261_ACBCA2ANXX/Springer_Project_054/JN31_BS_Index12_S4_R2_001.fastq
s04	NA	NA		4	m1	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/170703_D00635_0261_ACBCA2ANXX/Springer_Project_054/JN31_BS_Index13_S5_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170703_D00635_0261_ACBCA2ANXX/Springer_Project_054/JN31_BS_Index13_S5_R2_001.fastq
s05	NA	NA		5	m1	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/170703_D00635_0261_ACBCA2ANXX/Springer_Project_054/JN31_BS_Index14_S6_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170703_D00635_0261_ACBCA2ANXX/Springer_Project_054/JN31_BS_Index14_S6_R2_001.fastq
s06	NA	NA		6	m1	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/170703_D00635_0261_ACBCA2ANXX/Springer_Project_054/JN31_BS_Index15_S7_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170703_D00635_0261_ACBCA2ANXX/Springer_Project_054/JN31_BS_Index15_S7_R2_001.fastq
s07	NA	NA		7	m1	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/170703_D00635_0261_ACBCA2ANXX/Springer_Project_054/JN31_BS_Index16_S8_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170703_D00635_0261_ACBCA2ANXX/Springer_Project_054/JN31_BS_Index16_S8_R2_001.fastq
s08	NA	NA		8	m1	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/170703_D00635_0261_ACBCA2ANXX/Springer_Project_054/JN31_BS_Index18_S9_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170703_D00635_0261_ACBCA2ANXX/Springer_Project_054/JN31_BS_Index18_S9_R2_001.fastq
s09	NA	NA		9	m1	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/170703_D00635_0261_ACBCA2ANXX/Springer_Project_054/JN31_BS_Index19_S10_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170703_D00635_0261_ACBCA2ANXX/Springer_Project_054/JN31_BS_Index19_S10_R2_001.fastq
s10	NA	NA		10	m1	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/170703_D00635_0261_ACBCA2ANXX/Springer_Project_054/JN31_BS_Index1_S1_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170703_D00635_0261_ACBCA2ANXX/Springer_Project_054/JN31_BS_Index1_S1_R2_001.fastq
s11	NA	NA		11	m1	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/170703_D00635_0261_ACBCA2ANXX/Springer_Project_054/JN31_BS_Index20_S11_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170703_D00635_0261_ACBCA2ANXX/Springer_Project_054/JN31_BS_Index20_S11_R2_001.fastq
s12	NA	NA		12	m1	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/170703_D00635_0261_ACBCA2ANXX/Springer_Project_054/JN31_BS_Index21_S12_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170703_D00635_0261_ACBCA2ANXX/Springer_Project_054/JN31_BS_Index21_S12_R2_001.fastq
s13	NA	NA		13	m1	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/170703_D00635_0261_ACBCA2ANXX/Springer_Project_054/JN31_BS_Index22_S13_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170703_D00635_0261_ACBCA2ANXX/Springer_Project_054/JN31_BS_Index22_S13_R2_001.fastq
s14	NA	NA		14	m1	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/170703_D00635_0261_ACBCA2ANXX/Springer_Project_054/JN31_BS_Index23_S14_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170703_D00635_0261_ACBCA2ANXX/Springer_Project_054/JN31_BS_Index23_S14_R2_001.fastq
s15	NA	NA		15	m1	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/170703_D00635_0261_ACBCA2ANXX/Springer_Project_054/JN31_BS_Index25_S15_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170703_D00635_0261_ACBCA2ANXX/Springer_Project_054/JN31_BS_Index25_S15_R2_001.fastq
s16	NA	NA		16	m1	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/170703_D00635_0261_ACBCA2ANXX/Springer_Project_054/JN31_BS_Index27_S16_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170703_D00635_0261_ACBCA2ANXX/Springer_Project_054/JN31_BS_Index27_S16_R2_001.fastq
s17	NA	NA		17	m1	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/170703_D00635_0261_ACBCA2ANXX/Springer_Project_054/JN31_BS_Index3_S17_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170703_D00635_0261_ACBCA2ANXX/Springer_Project_054/JN31_BS_Index3_S17_R2_001.fastq
s18	NA	NA		18	m1	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/170703_D00635_0261_ACBCA2ANXX/Springer_Project_054/JN31_BS_Index4_S18_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170703_D00635_0261_ACBCA2ANXX/Springer_Project_054/JN31_BS_Index4_S18_R2_001.fastq
s19	NA	NA		19	m1	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/170703_D00635_0261_ACBCA2ANXX/Springer_Project_054/JN31_BS_Index5_S19_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170703_D00635_0261_ACBCA2ANXX/Springer_Project_054/JN31_BS_Index5_S19_R2_001.fastq
s20	NA	NA		20	m1	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/170703_D00635_0261_ACBCA2ANXX/Springer_Project_054/JN31_BS_Index6_S20_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170703_D00635_0261_ACBCA2ANXX/Springer_Project_054/JN31_BS_Index6_S20_R2_001.fastq
s21	NA	NA		21	m1	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/170703_D00635_0261_ACBCA2ANXX/Springer_Project_054/JN31_BS_Index7_S21_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170703_D00635_0261_ACBCA2ANXX/Springer_Project_054/JN31_BS_Index7_S21_R2_001.fastq
s22	NA	NA		22	m1	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/170703_D00635_0261_ACBCA2ANXX/Springer_Project_054/JN31_BS_Index8_S22_R1_001.fastq	/home/springer/data_release/umgc/hiseq/170703_D00635_0261_ACBCA2ANXX/Springer_Project_054/JN31_BS_Index8_S22_R2_001.fastq
