SampleID	Tissue	Genotype	Treatment	Replicate	paired	picked	r0	r1	r2
s01	root	B73	2015	1	FALSE	N	/home/springer/zhoux379/projects/barn/data/raw_seqs/cage/B73_root_SRR2078287.fq.gz		
s02	root	B73	2015	2	FALSE	N	/home/springer/zhoux379/projects/barn/data/raw_seqs/cage/B73_root_SRR2078288.fq.gz		
s03	shoot	B73	2015	1	FALSE	N	/home/springer/zhoux379/projects/barn/data/raw_seqs/cage/B73_shoot_SRR2078285.fq.gz		
s04	shoot	B73	2015	2	FALSE	N	/home/springer/zhoux379/projects/barn/data/raw_seqs/cage/B73_shoot_SRR2078286.fq.gz		
s05	root	LH143	2015	1	FALSE	N	/home/springer/zhoux379/projects/barn/data/raw_seqs/cage/Mo17_root_SRR2078291.fq.gz		
s06	root	LH143	2015	2	FALSE	N	/home/springer/zhoux379/projects/barn/data/raw_seqs/cage/Mo17_root_SRR2078292.fq.gz		
s07	shoot	LH143	2015	1	FALSE	N	/home/springer/zhoux379/projects/barn/data/raw_seqs/cage/Mo17_shoot_SRR2078289.fq.gz		
s08	shoot	LH143	2015	2	FALSE	N	/home/springer/zhoux379/projects/barn/data/raw_seqs/cage/Mo17_shoot_SRR2078290.fq.gz		
s09	root	B73		1	FALSE	N	/home/springer/zhoux379/projects/barn/data/raw_seqs/cage/B73_root_r1.fq.gz		
s10	root	B73		2	FALSE	N	/home/springer/zhoux379/projects/barn/data/raw_seqs/cage/B73_root_r2.fq.gz		
s11	root	B73		3	FALSE	N	/home/springer/zhoux379/projects/barn/data/raw_seqs/cage/B73_root_r3.fq.gz		
s12	shoot	B73		1	FALSE	Y	/home/springer/zhoux379/projects/barn/data/raw_seqs/cage/B73_shoot_r1.fq.gz		
s13	shoot	B73		2	FALSE	N	/home/springer/zhoux379/projects/barn/data/raw_seqs/cage/B73_shoot_r2.fq.gz		
s14	shoot	B73		3	FALSE	Y	/home/springer/zhoux379/projects/barn/data/raw_seqs/cage/B73_shoot_r3.fq.gz		
s15	shoot	B73		4	FALSE	Y	/home/springer/zhoux379/projects/barn/data/raw_seqs/cage/B73_shoot_r4.fq.gz		
s16	root	LH143		1	FALSE	Y	/home/springer/zhoux379/projects/barn/data/raw_seqs/cage/Mo17_root_r1.fq.gz		
s17	root	LH143		2	FALSE	Y	/home/springer/zhoux379/projects/barn/data/raw_seqs/cage/Mo17_root_r2.fq.gz		
s18	root	LH143		3	FALSE	Y	/home/springer/zhoux379/projects/barn/data/raw_seqs/cage/Mo17_root_r3.fq.gz		
s19	shoot	LH143		1	FALSE	Y	/home/springer/zhoux379/projects/barn/data/raw_seqs/cage/Mo17_shoot_r1.fq.gz		
s20	shoot	LH143		2	FALSE	Y	/home/springer/zhoux379/projects/barn/data/raw_seqs/cage/Mo17_shoot_r2.fq.gz		
