SampleID	Tissue	Genotype	Treatment	Replicate	MergeID	paired	interleaved	r0	r1	r2
s01	leaf_v3	B73	control_polysomal	1	m01	TRUE	FALSE		/home/springer/sna/te_expression/submergence/reads/pair1V3leafControlPolysomalAGTCAA.fastq.gz	/home/springer/sna/te_expression/submergence/reads/pair2V3leafControlPolysomalAGTCAA.fastq.gz
s02	leaf_v3	B73	control_polysomal	2	m01	TRUE	FALSE		/home/springer/sna/te_expression/submergence/reads/pair1V3leafControlPolysomalATGTCA.fastq.gz	/home/springer/sna/te_expression/submergence/reads/pair2V3leafControlPolysomalATGTCA.fastq.gz
s03	leaf_v3	B73	control_polysomal	3	m01	TRUE	FALSE		/home/springer/sna/te_expression/submergence/reads/pair1V3leafControlPolysomalCACCGG.fastq.gz	/home/springer/sna/te_expression/submergence/reads/pair2V3leafControlPolysomalCACCGG.fastq.gz
s04	leaf_v3	B73	control_polysomal	4	m01	TRUE	FALSE		/home/springer/sna/te_expression/submergence/reads/pair1V3leafControlPolysomalCCGTCC.fastq.gz	/home/springer/sna/te_expression/submergence/reads/pair2V3leafControlPolysomalCCGTCC.fastq.gz
s05	leaf_v3	B73	control_total	1	m02	TRUE	FALSE		/home/springer/sna/te_expression/submergence/reads/pair1V3leafControlTotalATCACG.fastq.gz	/home/springer/sna/te_expression/submergence/reads/pair2V3leafControlTotalATCACG.fastq.gz
s06	leaf_v3	B73	control_total	2	m02	TRUE	FALSE		/home/springer/sna/te_expression/submergence/reads/pair1V3leafControlTotalCCAACA.fastq.gz	/home/springer/sna/te_expression/submergence/reads/pair2V3leafControlTotalCCAACA.fastq.gz
s07	leaf_v3	B73	control_total	3	m02	TRUE	FALSE		/home/springer/sna/te_expression/submergence/reads/pair1V3leafControlTotalCGATGT.fastq.gz	/home/springer/sna/te_expression/submergence/reads/pair2V3leafControlTotalCGATGT.fastq.gz
s08	leaf_v3	B73	control_total	4	m02	TRUE	FALSE		/home/springer/sna/te_expression/submergence/reads/pair1V3leafControlTotalTTAGGC.fastq.gz	/home/springer/sna/te_expression/submergence/reads/pair2V3leafControlTotalTTAGGC.fastq.gz
s09	leaf_v3	B73	recovery_polysomal	1	m03	TRUE	FALSE		/home/springer/sna/te_expression/submergence/reads/pair1V3leafRecoveryPolysomalCGTACG.fastq.gz	/home/springer/sna/te_expression/submergence/reads/pair2V3leafRecoveryPolysomalCGTACG.fastq.gz
s10	leaf_v3	B73	recovery_polysomal	2	m03	TRUE	FALSE		/home/springer/sna/te_expression/submergence/reads/pair1V3leafRecoveryPolysomalGAGTGG.fastq.gz	/home/springer/sna/te_expression/submergence/reads/pair2V3leafRecoveryPolysomalGAGTGG.fastq.gz
s11	leaf_v3	B73	recovery_polysomal	3	m03	TRUE	FALSE		/home/springer/sna/te_expression/submergence/reads/pair1V3leafRecoveryPolysomalGTTTCG.fastq.gz	/home/springer/sna/te_expression/submergence/reads/pair2V3leafRecoveryPolysomalGTTTCG.fastq.gz
s12	leaf_v3	B73	recovery_polysomal	4	m03	TRUE	FALSE		/home/springer/sna/te_expression/submergence/reads/pair1V3leafRecoveryPolysomalTACAGC.fastq.gz	/home/springer/sna/te_expression/submergence/reads/pair2V3leafRecoveryPolysomalTACAGC.fastq.gz
s13	leaf_v3	B73	recovery_total	1	m04	TRUE	FALSE		/home/springer/sna/te_expression/submergence/reads/pair1V3leafRecoveryTotalCTTGTA.fastq.gz	/home/springer/sna/te_expression/submergence/reads/pair2V3leafRecoveryTotalCTTGTA.fastq.gz
s14	leaf_v3	B73	recovery_total	2	m04	TRUE	FALSE		/home/springer/sna/te_expression/submergence/reads/pair1V3leafRecoveryTotalGATCAG.fastq.gz	/home/springer/sna/te_expression/submergence/reads/pair2V3leafRecoveryTotalGATCAG.fastq.gz
s15	leaf_v3	B73	recovery_total	3	m04	TRUE	FALSE		/home/springer/sna/te_expression/submergence/reads/pair1V3leafRecoveryTotalGGCTAC.fastq.gz	/home/springer/sna/te_expression/submergence/reads/pair2V3leafRecoveryTotalGGCTAC.fastq.gz
s16	leaf_v3	B73	recovery_total	4	m04	TRUE	FALSE		/home/springer/sna/te_expression/submergence/reads/pair1V3leafRecoveryTotalTAGCTT.fastq.gz	/home/springer/sna/te_expression/submergence/reads/pair2V3leafRecoveryTotalTAGCTT.fastq.gz
s17	leaf_v3	B73	submergence_polysomal	1	m05	TRUE	FALSE		/home/springer/sna/te_expression/submergence/reads/pair1V3leafSubmergencePolysomalGTAGAG.fastq.gz	/home/springer/sna/te_expression/submergence/reads/pair2V3leafSubmergencePolysomalGTAGAG.fastq.gz
s18	leaf_v3	B73	submergence_polysomal	2	m05	TRUE	FALSE		/home/springer/sna/te_expression/submergence/reads/pair1V3leafSubmergencePolysomalGTCCGC.fastq.gz	/home/springer/sna/te_expression/submergence/reads/pair2V3leafSubmergencePolysomalGTCCGC.fastq.gz
s19	leaf_v3	B73	submergence_polysomal	3	m05	TRUE	FALSE		/home/springer/sna/te_expression/submergence/reads/pair1V3leafSubmergencePolysomalGTGAAA.fastq.gz	/home/springer/sna/te_expression/submergence/reads/pair2V3leafSubmergencePolysomalGTGAAA.fastq.gz
s20	leaf_v3	B73	submergence_polysomal	4	m05	TRUE	FALSE		/home/springer/sna/te_expression/submergence/reads/pair1V3leafSubmergencePolysomalGTGGCC.fastq.gz	/home/springer/sna/te_expression/submergence/reads/pair2V3leafSubmergencePolysomalGTGGCC.fastq.gz
s21	leaf_v3	B73	submergence_total	1	m06	TRUE	FALSE		/home/springer/sna/te_expression/submergence/reads/pair1V3leafSubmergenceTotalACAGTG.fastq.gz	/home/springer/sna/te_expression/submergence/reads/pair2V3leafSubmergenceTotalACAGTG.fastq.gz
s22	leaf_v3	B73	submergence_total	2	m06	TRUE	FALSE		/home/springer/sna/te_expression/submergence/reads/pair1V3leafSubmergenceTotalACTTGA.fastq.gz	/home/springer/sna/te_expression/submergence/reads/pair2V3leafSubmergenceTotalACTTGA.fastq.gz
s23	leaf_v3	B73	submergence_total	3	m06	TRUE	FALSE		/home/springer/sna/te_expression/submergence/reads/pair1V3leafSubmergenceTotalCAGATC.fastq.gz	/home/springer/sna/te_expression/submergence/reads/pair2V3leafSubmergenceTotalCAGATC.fastq.gz
s24	leaf_v3	B73	submergence_total	4	m06	TRUE	FALSE		/home/springer/sna/te_expression/submergence/reads/pair1V3leafSubmergenceTotalGCCAAT.fastq.gz	/home/springer/sna/te_expression/submergence/reads/pair2V3leafSubmergenceTotalGCCAAT.fastq.gz
s25	coleoptile	B73	hypoxia_polysomal	1	m07	TRUE	FALSE		/home/springer/sna/te_expression/submergence/reads/pair1coleoptileHypoxiaPolysomalACTTGA.fastq.gz	/home/springer/sna/te_expression/submergence/reads/pair2coleoptileHypoxiaPolysomalACTTGA.fastq.gz
s26	coleoptile	B73	hypoxia_polysomal	2	m07	TRUE	FALSE		/home/springer/sna/te_expression/submergence/reads/pair1coleoptileHypoxiaPolysomalGTGAAA.fastq.gz	/home/springer/sna/te_expression/submergence/reads/pair2coleoptileHypoxiaPolysomalGTGAAA.fastq.gz
s27	coleoptile	B73	hypoxia_total	1	m08	TRUE	FALSE		/home/springer/sna/te_expression/submergence/reads/pair1coleoptileHypoxiaTotalCCGTCC.fastq.gz	/home/springer/sna/te_expression/submergence/reads/pair2coleoptileHypoxiaTotalCCGTCC.fastq.gz
s28	coleoptile	B73	hypoxia_total	2	m08	TRUE	FALSE		/home/springer/sna/te_expression/submergence/reads/pair1coleoptileHypoxiaTotalCGATGT.fastq.gz	/home/springer/sna/te_expression/submergence/reads/pair2coleoptileHypoxiaTotalCGATGT.fastq.gz
s29	coleoptile	B73	normoxia_polysomal	1	m09	TRUE	FALSE		/home/springer/sna/te_expression/submergence/reads/pair1coleoptileNormoxiaPolysomalCAGATC.fastq.gz	/home/springer/sna/te_expression/submergence/reads/pair2coleoptileNormoxiaPolysomalCAGATC.fastq.gz
s30	coleoptile	B73	normoxia_polysomal	2	m09	TRUE	FALSE		/home/springer/sna/te_expression/submergence/reads/pair1coleoptileNormoxiaPolysomalGTCCGC.fastq.gz	/home/springer/sna/te_expression/submergence/reads/pair2coleoptileNormoxiaPolysomalGTCCGC.fastq.gz
