SampleID	Tissue	Genotype	Treatment	Replicate	MergeID	paired	interleaved	r0	r1	r2
batch1-A1	batch1	NA	TC8	1	m001	FALSE	FALSE	/scratch.global/zhoux379/stress/data/batch1/demul/A1.fastq.gz		
batch1-A2	batch1	NA	TC16	1	m002	FALSE	FALSE	/scratch.global/zhoux379/stress/data/batch1/demul/A2.fastq.gz		
batch1-A3	batch1	NA	TC24	1	m003	FALSE	FALSE	/scratch.global/zhoux379/stress/data/batch1/demul/A3.fastq.gz		
batch1-A4	batch1	NA	TC32	1	m004	FALSE	FALSE	/scratch.global/zhoux379/stress/data/batch1/demul/A4.fastq.gz		
batch1-A5	batch1	NA	TC40	1	m005	FALSE	FALSE	/scratch.global/zhoux379/stress/data/batch1/demul/A5.fastq.gz		
batch1-A6	batch1	NA	TC48	1	m006	FALSE	FALSE	/scratch.global/zhoux379/stress/data/batch1/demul/A6.fastq.gz		
batch1-A7	batch1	NA	TC56	1	m007	FALSE	FALSE	/scratch.global/zhoux379/stress/data/batch1/demul/A7.fastq.gz		
batch1-A8	batch1	NA	TC64	1	m008	FALSE	FALSE	/scratch.global/zhoux379/stress/data/batch1/demul/A8.fastq.gz		
batch1-B1	batch1	NA	TC7	1	m009	FALSE	FALSE	/scratch.global/zhoux379/stress/data/batch1/demul/B1.fastq.gz		
batch1-B2	batch1	NA	TC15	1	m010	FALSE	FALSE	/scratch.global/zhoux379/stress/data/batch1/demul/B2.fastq.gz		
batch1-B3	batch1	NA	TC23	1	m011	FALSE	FALSE	/scratch.global/zhoux379/stress/data/batch1/demul/B3.fastq.gz		
batch1-B4	batch1	NA	TC31	1	m012	FALSE	FALSE	/scratch.global/zhoux379/stress/data/batch1/demul/B4.fastq.gz		
batch1-B5	batch1	NA	TC39	1	m013	FALSE	FALSE	/scratch.global/zhoux379/stress/data/batch1/demul/B5.fastq.gz		
batch1-B6	batch1	NA	TC47	1	m014	FALSE	FALSE	/scratch.global/zhoux379/stress/data/batch1/demul/B6.fastq.gz		
batch1-B7	batch1	NA	TC55	1	m015	FALSE	FALSE	/scratch.global/zhoux379/stress/data/batch1/demul/B7.fastq.gz		
batch1-B8	batch1	NA	TC63	1	m016	FALSE	FALSE	/scratch.global/zhoux379/stress/data/batch1/demul/B8.fastq.gz		
batch1-C1	batch1	NA	TC6	1	m017	FALSE	FALSE	/scratch.global/zhoux379/stress/data/batch1/demul/C1.fastq.gz		
batch1-C2	batch1	NA	TC14	1	m018	FALSE	FALSE	/scratch.global/zhoux379/stress/data/batch1/demul/C2.fastq.gz		
batch1-C3	batch1	NA	TC22	1	m019	FALSE	FALSE	/scratch.global/zhoux379/stress/data/batch1/demul/C3.fastq.gz		
batch1-C4	batch1	NA	TC30	1	m020	FALSE	FALSE	/scratch.global/zhoux379/stress/data/batch1/demul/C4.fastq.gz		
batch1-C5	batch1	NA	TC38	1	m021	FALSE	FALSE	/scratch.global/zhoux379/stress/data/batch1/demul/C5.fastq.gz		
batch1-C6	batch1	NA	TC46	1	m022	FALSE	FALSE	/scratch.global/zhoux379/stress/data/batch1/demul/C6.fastq.gz		
batch1-C7	batch1	NA	TC54	1	m023	FALSE	FALSE	/scratch.global/zhoux379/stress/data/batch1/demul/C7.fastq.gz		
batch1-C8	batch1	NA	TC62	1	m024	FALSE	FALSE	/scratch.global/zhoux379/stress/data/batch1/demul/C8.fastq.gz		
batch1-D1	batch1	NA	TC5	1	m025	FALSE	FALSE	/scratch.global/zhoux379/stress/data/batch1/demul/D1.fastq.gz		
batch1-D2	batch1	NA	TC13	1	m026	FALSE	FALSE	/scratch.global/zhoux379/stress/data/batch1/demul/D2.fastq.gz		
batch1-D3	batch1	NA	TC21	1	m027	FALSE	FALSE	/scratch.global/zhoux379/stress/data/batch1/demul/D3.fastq.gz		
batch1-D4	batch1	NA	TC29	1	m028	FALSE	FALSE	/scratch.global/zhoux379/stress/data/batch1/demul/D4.fastq.gz		
