SampleID	Tissue	Genotype	Treatment	Replicate	MergeID	paired	interleaved	r0	r1	r2
BR701	leaf_V3	B73		1	m01	TRUE	FALSE		/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/BR701_S163_R1_001.fastq.gz	/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/BR701_S163_R2_001.fastq.gz
BR702	leaf_V3	B73		2	m01	TRUE	FALSE		/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/BR702_S164_R1_001.fastq.gz	/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/BR702_S164_R2_001.fastq.gz
BR703	leaf_V3	B73		3	m01	TRUE	FALSE		/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/BR703_S165_R1_001.fastq.gz	/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/BR703_S165_R2_001.fastq.gz
BR704	leaf_V3	B73		4	m01	TRUE	FALSE		/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/BR704_S166_R1_001.fastq.gz	/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/BR704_S166_R2_001.fastq.gz
BR705	leaf_V3	BxM		1	m02	TRUE	FALSE		/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/BR705_S167_R1_001.fastq.gz	/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/BR705_S167_R2_001.fastq.gz
BR707	leaf_V3	BxM		2	m02	TRUE	FALSE		/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/BR707_S168_R1_001.fastq.gz	/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/BR707_S168_R2_001.fastq.gz
BR708	leaf_V3	BxM		3	m02	TRUE	FALSE		/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/BR708_S169_R1_001.fastq.gz	/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/BR708_S169_R2_001.fastq.gz
BR709	leaf_V3	M0014		1	m03	TRUE	FALSE		/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/BR709_S170_R1_001.fastq.gz	/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/BR709_S170_R2_001.fastq.gz
BR710	leaf_V3	M0014		2	m03	TRUE	FALSE		/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/BR710_S171_R1_001.fastq.gz	/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/BR710_S171_R2_001.fastq.gz
BR711	leaf_V3	M0014		3	m03	TRUE	FALSE		/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/BR711_S172_R1_001.fastq.gz	/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/BR711_S172_R2_001.fastq.gz
