SampleID	Tissue	Genotype	Treatment	Replicate	MergeID	paired	spots	avgLength
SRR7903846	shoot		H3K27ac	2	m1	TRUE	723908023	300
SRR7903847	shoot		H3K27ac	1	m1	TRUE	763064872	300
SRR7903848	shoot		H3K4me3	2	m2	TRUE	373916852	300
SRR7903849	shoot		H3K4me3	1	m2	TRUE	503363004	300
SRR7903850	ear		H3K27ac	2	m3	TRUE	318858124	300
SRR7903851	ear		H3K27ac	1	m3	TRUE	760124767	300
SRR7903852	ear		H3K4me3	2	m4	TRUE	448555837	300
SRR7903853	ear		H3K4me3	1	m4	TRUE	945831154	300
SRR7908907	shoot		H3K4me3	1	m2	TRUE	246975777	300
SRR7908908	shoot		H3K4me3	1	m2	TRUE	87610940	300
