SampleID	Tissue	Genotype	Treatment	Replicate	MergeID	paired	spots	avgLength
SRR6666420	apical_scutellum		""	4	m1	TRUE	52517680	199
SRR6666421	apical_scutellum		""	3	m1	TRUE	54044892	200
SRR6666422	apical_scutellum		""	2	m1	TRUE	53112632	199
SRR6666423	apical_scutellum		""	1	m1	TRUE	53468037	199
SRR6666424	endosperm_adjacent_scutellum		""	4	m2	TRUE	58356714	199
SRR6666425	endosperm_adjacent_scutellum		""	3	m2	TRUE	57723547	199
SRR6666426	endosperm_adjacent_scutellum		""	2	m2	TRUE	50883353	199
SRR6666427	endosperm_adjacent_scutellum		""	1	m2	TRUE	54274121	199
SRR6666428	embryo		""	4	m3	TRUE	47977625	199
SRR6666429	embryo		""	3	m3	TRUE	67921456	199
SRR6666430	embryo		""	2	m3	TRUE	55885669	199
SRR6666431	embryo		""	1	m3	TRUE	49064495	200
SRR6666432	endosperm		""	4	m4	TRUE	53955699	199
SRR6666433	endosperm		""	3	m4	TRUE	50245684	199
SRR6666434	endosperm		""	2	m4	TRUE	50579506	199
SRR6666435	endosperm		""	1	m4	TRUE	60958511	199
SRR6666436	pericarp		""	4	m5	TRUE	42426073	199
SRR6666437	pericarp		""	3	m5	TRUE	59359886	197
SRR6666438	pericarp		""	2	m5	TRUE	45895615	199
SRR6666439	pericarp		""	1	m5	TRUE	45395414	199
SRR6666440	scutellar_aleurone_layer		""	4	m6	TRUE	48483351	199
SRR6666441	scutellar_aleurone_layer		""	3	m6	TRUE	17196094	199
SRR6666442	scutellar_aleurone_layer		""	2	m6	TRUE	59256667	199
SRR6666443	scutellar_aleurone_layer		""	1	m6	TRUE	55652585	199
