SampleID	Tissue	Genotype	Treatment	group	antibody	control	Replicate	MergeID	paired	spots	avgLength
SRR6830279			ZmARF34	ARF34	ARF34	GST-HALO	1	m01	FALSE	40746798	75.18979936
SRR6830280			ZmARF16	ARF16	ARF16	GST-HALO	1	m02	FALSE	28551131	75.68489108
SRR6830281			ZmARF18	ARF18	ARF18	GST-HALO	1	m03	FALSE	28371502	75.65729537
SRR6830282			ZmARF35	ARF35	ARF35	GST-HALO	1	m04	FALSE	40294472	74.99691236
SRR6830283			ZmARF27	ARF27	ARF27	GST-HALO	1	m05	FALSE	48659869	75.05461375
SRR6830284			ZmARF4	ARF4	ARF4	GST-HALO	1	m06	FALSE	20233070	75.68357555
SRR6830285			ZmARF29	ARF29	ARF29	GST-HALO	1	m07	FALSE	25473798	75.66857694
SRR6830286			ZmARF10	ARF10	ARF10	GST-HALO	1	m08	FALSE	18121991	75.64212806
SRR6830287			ZmARF13	ARF13	ARF13	GST-HALO	1	m09	FALSE	24930195	75.61334867
SRR6830288			ZmARF14	ARF14	ARF14	GST-HALO	1	m10	FALSE	14159612	75.38042893
SRR6830289			ZmARF25	ARF25	ARF25	GST-HALO	1	m11	FALSE	14410671	75.35899536
SRR6830290			ZmARF39	ARF39	ARF39	GST-HALO	1	m12	FALSE	18838361	75.15078207
SRR6830291			ZmARF36	ARF36	ARF36	GST-HALO	1	m13	FALSE	13082237	75.39888836
SRR6830292			ZmARF7	ARF7	ARF7	GST-HALO	1	m14	FALSE	12949888	75.40581695
SRR6830293			GST-HALO	GST-HALO			1	m15	FALSE	27640102	74.55103295
