SampleID	Tissue	Genotype	Treatment	Replicate	MergeID	paired	spots	avgLength
batch1-A1	batch1		TC8	1	m001	FALSE	6389394	92
batch1-A2	batch1		TC16	1	m002	FALSE	6666705	92
batch1-A3	batch1		TC24	1	m003	FALSE	6743547	92
batch1-A4	batch1		TC32	1	m004	FALSE	5981041	92
batch1-A5	batch1		TC40	1	m005	FALSE	8505814	92
batch1-A6	batch1		TC48	1	m006	FALSE	7511893	92
batch1-A7	batch1		TC56	1	m007	FALSE	5186239	92
batch1-A8	batch1		TC64	1	m008	FALSE	5439954	92
batch1-B1	batch1		TC7	1	m009	FALSE	8045180	92
batch1-B2	batch1		TC15	1	m010	FALSE	12088760	92
batch1-B3	batch1		TC23	1	m011	FALSE	6683693	92
batch1-B4	batch1		TC31	1	m012	FALSE	10834879	92
batch1-B5	batch1		TC39	1	m013	FALSE	8218093	92
batch1-B6	batch1		TC47	1	m014	FALSE	6581840	92
batch1-B7	batch1		TC55	1	m015	FALSE	5949292	92
batch1-B8	batch1		TC63	1	m016	FALSE	10148645	92
batch1-C1	batch1		TC6	1	m017	FALSE	10542209	92
batch1-C2	batch1		TC14	1	m018	FALSE	5895365	92
batch1-C3	batch1		TC22	1	m019	FALSE	7488222	92
batch1-C4	batch1		TC30	1	m020	FALSE	12112851	92
batch1-C5	batch1		TC38	1	m021	FALSE	8755944	92
batch1-C6	batch1		TC46	1	m022	FALSE	8734126	92
batch1-C7	batch1		TC54	1	m023	FALSE	6845189	92
batch1-C8	batch1		TC62	1	m024	FALSE	7876733	92
batch1-D1	batch1		TC5	1	m025	FALSE	7513678	92
batch1-D2	batch1		TC13	1	m026	FALSE	8482408	92
batch1-D3	batch1		TC21	1	m027	FALSE	6133288	92
batch1-D4	batch1		TC29	1	m028	FALSE	9532169	92
batch1-D5	batch1		TC37	1	m029	FALSE	7043974	92
batch1-D6	batch1		TC45	1	m030	FALSE	7801586	92
batch1-D7	batch1		TC53	1	m031	FALSE	10462566	92
batch1-D8	batch1		TC61	1	m032	FALSE	8867876	92
batch1-E1	batch1		TC4	1	m033	FALSE	7503540	92
batch1-E2	batch1		TC12	1	m034	FALSE	7002203	92
batch1-E3	batch1		TC20	1	m035	FALSE	6846912	92
batch1-E4	batch1		TC28	1	m036	FALSE	8079910	92
batch1-E5	batch1		TC36	1	m037	FALSE	6293228	92
batch1-E6	batch1		TC44	1	m038	FALSE	7810939	92
batch1-E7	batch1		TC52	1	m039	FALSE	7689074	92
batch1-E8	batch1		TC60	1	m040	FALSE	7240833	92
batch1-F1	batch1		TC3	1	m041	FALSE	9685607	92
batch1-F2	batch1		TC11	1	m042	FALSE	7391676	92
batch1-F3	batch1		TC19	1	m043	FALSE	6254155	92
batch1-F4	batch1		TC27	1	m044	FALSE	5170107	92
batch1-F5	batch1		TC35	1	m045	FALSE	11081894	92
batch1-F6	batch1		TC43	1	m046	FALSE	11073025	92
batch1-F7	batch1		TC51	1	m047	FALSE	10431844	92
batch1-F8	batch1		TC59	1	m048	FALSE	7319051	92
batch1-G1	batch1		TC2	1	m049	FALSE	7247176	92
batch1-G2	batch1		TC10	1	m050	FALSE	9115269	92
batch1-G3	batch1		TC18	1	m051	FALSE	8794300	92
batch1-G4	batch1		TC26	1	m052	FALSE	9318983	92
batch1-G5	batch1		TC34	1	m053	FALSE	4612829	92
batch1-G6	batch1		TC42	1	m054	FALSE	8268797	92
batch1-G7	batch1		TC50	1	m055	FALSE	7799171	92
batch1-G8	batch1		TC58	1	m056	FALSE	5771070	92
