SampleID	Tissue	Genotype	Treatment	Replicate	MergeID	paired	interleaved	r0	r1	r2
s01	seedling_leaf3	LH82		1	m1	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/LH82_CGATGT_L002_R1_001.fastq	/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/LH82_CGATGT_L002_R2_001.fastq
s02	seedling_leaf3	LH82		2	m1	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/LH82_CGATGT_L003_R1_001.fastq	/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/LH82_CGATGT_L003_R2_001.fastq
s03	seedling_leaf3	LH82		3	m1	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/LH82_CGATGT_L004_R1_001.fastq	/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/LH82_CGATGT_L004_R2_001.fastq
s04	seedling_leaf3	LH82		4	m1	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/LH82_CGATGT_L005_R1_001.fastq	/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/LH82_CGATGT_L005_R2_001.fastq
s05	seedling_leaf3	LH82		5	m1	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/LH82_CGATGT_L006_R1_001.fastq	/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/LH82_CGATGT_L006_R2_001.fastq
s06	seedling_leaf3	LH82		6	m1	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/LH82_CGATGT_L007_R1_001.fastq	/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/LH82_CGATGT_L007_R2_001.fastq
s07	seedling_leaf3	Mo17		1	m2	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/MO17_TGACCA_L002_R1_001.fastq	/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/MO17_TGACCA_L002_R2_001.fastq
s08	seedling_leaf3	Mo17		2	m2	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/MO17_TGACCA_L003_R1_001.fastq	/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/MO17_TGACCA_L003_R2_001.fastq
s09	seedling_leaf3	Mo17		3	m2	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/MO17_TGACCA_L004_R1_001.fastq	/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/MO17_TGACCA_L004_R2_001.fastq
s10	seedling_leaf3	Mo17		4	m2	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/MO17_TGACCA_L005_R1_001.fastq	/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/MO17_TGACCA_L005_R2_001.fastq
s11	seedling_leaf3	Mo17		5	m2	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/MO17_TGACCA_L006_R1_001.fastq	/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/MO17_TGACCA_L006_R2_001.fastq
s12	seedling_leaf3	Mo17		6	m2	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/MO17_TGACCA_L007_R1_001.fastq	/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/MO17_TGACCA_L007_R2_001.fastq
s13	seedling_leaf3	P39		1	m3	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/P39_ACAGTG_L002_R1_001.fastq	/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/P39_ACAGTG_L002_R2_001.fastq
s14	seedling_leaf3	P39		2	m3	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/P39_ACAGTG_L003_R1_001.fastq	/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/P39_ACAGTG_L003_R2_001.fastq
s15	seedling_leaf3	P39		3	m3	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/P39_ACAGTG_L004_R1_001.fastq	/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/P39_ACAGTG_L004_R2_001.fastq
s16	seedling_leaf3	P39		4	m3	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/P39_ACAGTG_L005_R1_001.fastq	/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/P39_ACAGTG_L005_R2_001.fastq
s17	seedling_leaf3	P39		5	m3	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/P39_ACAGTG_L006_R1_001.fastq	/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/P39_ACAGTG_L006_R2_001.fastq
s18	seedling_leaf3	P39		6	m3	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/P39_ACAGTG_L007_R1_001.fastq	/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/P39_ACAGTG_L007_R2_001.fastq
s19	seedling_leaf3	PH207		1	m4	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/PH207_GCCAAT_L002_R1_001.fastq	/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/PH207_GCCAAT_L002_R2_001.fastq
s20	seedling_leaf3	PH207		2	m4	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/PH207_GCCAAT_L003_R1_001.fastq	/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/PH207_GCCAAT_L003_R2_001.fastq
s21	seedling_leaf3	PH207		3	m4	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/PH207_GCCAAT_L004_R1_001.fastq	/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/PH207_GCCAAT_L004_R2_001.fastq
s22	seedling_leaf3	PH207		4	m4	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/PH207_GCCAAT_L005_R1_001.fastq	/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/PH207_GCCAAT_L005_R2_001.fastq
s23	seedling_leaf3	PH207		5	m4	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/PH207_GCCAAT_L006_R1_001.fastq	/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/PH207_GCCAAT_L006_R2_001.fastq
s24	seedling_leaf3	PH207		6	m4	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/PH207_GCCAAT_L007_R1_001.fastq	/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/PH207_GCCAAT_L007_R2_001.fastq
s25	seedling_leaf3	PHZ51		1	m5	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/PHZ51_AGTTCC_L002_R1_001.fastq	/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/PHZ51_AGTTCC_L002_R2_001.fastq
s26	seedling_leaf3	PHZ51		2	m5	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/PHZ51_AGTTCC_L003_R1_001.fastq	/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/PHZ51_AGTTCC_L003_R2_001.fastq
s27	seedling_leaf3	PHZ51		3	m5	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/PHZ51_AGTTCC_L004_R1_001.fastq	/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/PHZ51_AGTTCC_L004_R2_001.fastq
s28	seedling_leaf3	PHZ51		4	m5	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/PHZ51_AGTTCC_L005_R1_001.fastq	/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/PHZ51_AGTTCC_L005_R2_001.fastq
s29	seedling_leaf3	PHZ51		5	m5	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/PHZ51_AGTTCC_L006_R1_001.fastq	/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/PHZ51_AGTTCC_L006_R2_001.fastq
s30	seedling_leaf3	PHZ51		6	m5	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/PHZ51_AGTTCC_L007_R1_001.fastq	/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/PHZ51_AGTTCC_L007_R2_001.fastq
s31	seedling_leaf3	W22		1	m6	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/W22_ATGTCA_L002_R1_001.fastq	/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/W22_ATGTCA_L002_R2_001.fastq
s32	seedling_leaf3	W22		2	m6	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/W22_ATGTCA_L003_R1_001.fastq	/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/W22_ATGTCA_L003_R2_001.fastq
s33	seedling_leaf3	W22		3	m6	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/W22_ATGTCA_L004_R1_001.fastq	/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/W22_ATGTCA_L004_R2_001.fastq
s34	seedling_leaf3	W22		4	m6	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/W22_ATGTCA_L005_R1_001.fastq	/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/W22_ATGTCA_L005_R2_001.fastq
s35	seedling_leaf3	W22		5	m6	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/W22_ATGTCA_L006_R1_001.fastq	/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/W22_ATGTCA_L006_R2_001.fastq
s36	seedling_leaf3	W22		6	m6	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/W22_ATGTCA_L007_R1_001.fastq	/home/springer/data_release/umgc/hiseq/141106_SN261_0579_BC5HKAACXX/Project_Springer_Project_028/W22_ATGTCA_L007_R2_001.fastq
s37	seedling_leaf3	LH82		7	m1	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/141211_SN261_0582_AC62W0ACXX/Project_Springer_Project_028/LH82_CGATGT_L005_R1_001.fastq	/home/springer/data_release/umgc/hiseq/141211_SN261_0582_AC62W0ACXX/Project_Springer_Project_028/LH82_CGATGT_L005_R2_001.fastq
