SampleID	Tissue	Genotype	Treatment	Replicate	MergeID	paired	interleaved	r0	r1	r2
BC1	leaf	B73	cold	1	m01	TRUE	FALSE		/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/BC1_S303_R1_001.fastq.gz	/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/BC1_S303_R2_001.fastq.gz
BC2	leaf	B73	cold	2	m01	TRUE	FALSE		/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/BC2_S304_R1_001.fastq.gz	/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/BC2_S304_R2_001.fastq.gz
BC3	leaf	B73	cold	3	m01	TRUE	FALSE		/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/BC3_S305_R1_001.fastq.gz	/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/BC3_S305_R2_001.fastq.gz
BC4	leaf	B73	cold	4	m01	TRUE	FALSE		/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/BC4_S306_R1_001.fastq.gz	/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/BC4_S306_R2_001.fastq.gz
BC5	leaf	B73	cold	5	m01	TRUE	FALSE		/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/BC5_S307_R1_001.fastq.gz	/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/BC5_S307_R2_001.fastq.gz
BH1	leaf	B73	heat	1	m02	TRUE	FALSE		/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/BH1_S308_R1_001.fastq.gz	/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/BH1_S308_R2_001.fastq.gz
BH2	leaf	B73	heat	2	m02	TRUE	FALSE		/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/BH2_S309_R1_001.fastq.gz	/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/BH2_S309_R2_001.fastq.gz
BH3	leaf	B73	heat	3	m02	TRUE	FALSE		/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/BH3_S310_R1_001.fastq.gz	/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/BH3_S310_R2_001.fastq.gz
BH4	leaf	B73	heat	4	m02	TRUE	FALSE		/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/BH4_S311_R1_001.fastq.gz	/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/BH4_S311_R2_001.fastq.gz
BH5	leaf	B73	heat	5	m02	TRUE	FALSE		/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/BH5_S312_R1_001.fastq.gz	/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/BH5_S312_R2_001.fastq.gz
BN1	leaf	B73	control	1	m03	TRUE	FALSE		/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/BN1_S313_R1_001.fastq.gz	/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/BN1_S313_R2_001.fastq.gz
BN2	leaf	B73	control	2	m03	TRUE	FALSE		/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/BN2_S314_R1_001.fastq.gz	/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/BN2_S314_R2_001.fastq.gz
BN3	leaf	B73	control	3	m03	TRUE	FALSE		/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/BN3_S315_R1_001.fastq.gz	/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/BN3_S315_R2_001.fastq.gz
BN5	leaf	B73	control	4	m03	TRUE	FALSE		/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/BN5_S316_R1_001.fastq.gz	/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/BN5_S316_R2_001.fastq.gz
MC1	leaf	Mo17	cold	1	m04	TRUE	FALSE		/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/MC1_S317_R1_001.fastq.gz	/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/MC1_S317_R2_001.fastq.gz
MC2	leaf	Mo17	cold	2	m04	TRUE	FALSE		/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/MC2_S318_R1_001.fastq.gz	/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/MC2_S318_R2_001.fastq.gz
MC3	leaf	Mo17	cold	3	m04	TRUE	FALSE		/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/MC3_S319_R1_001.fastq.gz	/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/MC3_S319_R2_001.fastq.gz
MC4	leaf	Mo17	cold	4	m04	TRUE	FALSE		/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/MC4_S320_R1_001.fastq.gz	/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/MC4_S320_R2_001.fastq.gz
MC5	leaf	Mo17	cold	5	m04	TRUE	FALSE		/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/MC5_S321_R1_001.fastq.gz	/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/MC5_S321_R2_001.fastq.gz
MH1	leaf	Mo17	heat	1	m05	TRUE	FALSE		/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/MH1_S322_R1_001.fastq.gz	/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/MH1_S322_R2_001.fastq.gz
MH2	leaf	Mo17	heat	2	m05	TRUE	FALSE		/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/MH2_S323_R1_001.fastq.gz	/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/MH2_S323_R2_001.fastq.gz
MH3	leaf	Mo17	heat	3	m05	TRUE	FALSE		/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/MH3_S324_R1_001.fastq.gz	/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/MH3_S324_R2_001.fastq.gz
MH4	leaf	Mo17	heat	4	m05	TRUE	FALSE		/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/MH4_S325_R1_001.fastq.gz	/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/MH4_S325_R2_001.fastq.gz
MH5	leaf	Mo17	heat	5	m05	TRUE	FALSE		/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/MH5_S343_R1_001.fastq.gz	/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/MH5_S343_R2_001.fastq.gz
MN1	leaf	Mo17	control	1	m06	TRUE	FALSE		/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/MN1_S326_R1_001.fastq.gz	/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/MN1_S326_R2_001.fastq.gz
MN2	leaf	Mo17	control	2	m06	TRUE	FALSE		/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/MN2_S327_R1_001.fastq.gz	/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/MN2_S327_R2_001.fastq.gz
MN3	leaf	Mo17	control	3	m06	TRUE	FALSE		/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/MN3_S328_R1_001.fastq.gz	/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/MN3_S328_R2_001.fastq.gz
MN4	leaf	Mo17	control	4	m06	TRUE	FALSE		/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/MN4_S329_R1_001.fastq.gz	/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/MN4_S329_R2_001.fastq.gz
MN5	leaf	Mo17	control	5	m06	TRUE	FALSE		/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/MN5_S330_R1_001.fastq.gz	/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/MN5_S330_R2_001.fastq.gz
OC1	leaf	Oh43	cold	1	m07	TRUE	FALSE		/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/OC1_S331_R1_001.fastq.gz	/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/OC1_S331_R2_001.fastq.gz
OC2	leaf	Oh43	cold	2	m07	TRUE	FALSE		/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/OC2_S332_R1_001.fastq.gz	/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/OC2_S332_R2_001.fastq.gz
OC3	leaf	Oh43	cold	3	m07	TRUE	FALSE		/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/OC3_S344_R1_001.fastq.gz	/home/springer/data_release/umgc/novaseq/200124_A00223_0310_BHLCMLDSXX/Springer_Project_068/OC3_S344_R2_001.fastq.gz
