SampleID	Tissue	Genotype	Treatment	Replicate	MergeID	paired	interleaved	r0	r1	r2
s001	anther	B73		1	m01	FALSE	FALSE	/home/hirschc1/data_release/umgc/hiseq/180509_D00635_0371_BCC5NGANXX/Hirsch2_Project_001/B-A-R1_S119_R1_001.fastq.gz		
s002	anther	B73		1	m01	FALSE	FALSE	/home/hirschc1/data_release/umgc/hiseq/180522_D00635_0375_BCCJL5ANXX/Hirsch2_Project_001/B-A-R1_S43_R1_001.fastq.gz		
s003	anther	B73		2	m01	FALSE	FALSE	/home/hirschc1/data_release/umgc/hiseq/180509_D00635_0371_BCC5NGANXX/Hirsch2_Project_001/B-A-R2_S120_R1_001.fastq.gz		
s004	anther	B73		2	m01	FALSE	FALSE	/home/hirschc1/data_release/umgc/hiseq/180522_D00635_0375_BCCJL5ANXX/Hirsch2_Project_001/B-A-R2_S44_R1_001.fastq.gz		
s005	ear	B73		1	m02	FALSE	FALSE	/home/hirschc1/data_release/umgc/hiseq/180509_D00635_0371_BCC5NGANXX/Hirsch2_Project_001/B-IE-R1_S113_R1_001.fastq.gz		
s006	ear	B73		1	m02	FALSE	FALSE	/home/hirschc1/data_release/umgc/hiseq/180522_D00635_0375_BCCJL5ANXX/Hirsch2_Project_001/B-IE-R1_S37_R1_001.fastq.gz		
s007	ear	B73		2	m02	FALSE	FALSE	/home/hirschc1/data_release/umgc/hiseq/180509_D00635_0371_BCC5NGANXX/Hirsch2_Project_001/B-IE-R2_S114_R1_001.fastq.gz		
s008	ear	B73		2	m02	FALSE	FALSE	/home/hirschc1/data_release/umgc/hiseq/180522_D00635_0375_BCCJL5ANXX/Hirsch2_Project_001/B-IE-R2_S38_R1_001.fastq.gz		
s009	embryo	B73		1	m03	FALSE	FALSE	/home/hirschc1/data_release/umgc/hiseq/180509_D00635_0371_BCC5NGANXX/Hirsch2_Project_001/B-Em-R1_S131_R1_001.fastq.gz		
s010	embryo	B73		1	m03	FALSE	FALSE	/home/hirschc1/data_release/umgc/hiseq/180522_D00635_0375_BCCJL5ANXX/Hirsch2_Project_001/B-Em-R1_S55_R1_001.fastq.gz		
s011	embryo	B73		2	m03	FALSE	FALSE	/home/hirschc1/data_release/umgc/hiseq/180509_D00635_0371_BCC5NGANXX/Hirsch2_Project_001/B-Em-R2_S132_R1_001.fastq.gz		
s012	embryo	B73		2	m03	FALSE	FALSE	/home/hirschc1/data_release/umgc/hiseq/180522_D00635_0375_BCCJL5ANXX/Hirsch2_Project_001/B-Em-R2_S56_R1_001.fastq.gz		
s013	endosperm	B73		1	m04	FALSE	FALSE	/home/hirschc1/data_release/umgc/hiseq/180509_D00635_0371_BCC5NGANXX/Hirsch2_Project_001/B-En-R1_S125_R1_001.fastq.gz		
s014	endosperm	B73		1	m04	FALSE	FALSE	/home/hirschc1/data_release/umgc/hiseq/180522_D00635_0375_BCCJL5ANXX/Hirsch2_Project_001/B-En-R1_S49_R1_001.fastq.gz		
s015	endosperm	B73		2	m04	FALSE	FALSE	/home/hirschc1/data_release/umgc/hiseq/180509_D00635_0371_BCC5NGANXX/Hirsch2_Project_001/B-En-R2_S126_R1_001.fastq.gz		
s016	endosperm	B73		2	m04	FALSE	FALSE	/home/hirschc1/data_release/umgc/hiseq/180522_D00635_0375_BCCJL5ANXX/Hirsch2_Project_001/B-En-R2_S50_R1_001.fastq.gz		
s017	internode	B73		1	m05	FALSE	FALSE	/home/hirschc1/data_release/umgc/hiseq/180509_D00635_0371_BCC5NGANXX/Hirsch2_Project_001/B-I-R1_S89_R1_001.fastq.gz		
s018	internode	B73		1	m05	FALSE	FALSE	/home/hirschc1/data_release/umgc/hiseq/180522_D00635_0375_BCCJL5ANXX/Hirsch2_Project_001/B-I-R1_S13_R1_001.fastq.gz		
s019	internode	B73		2	m05	FALSE	FALSE	/home/hirschc1/data_release/umgc/hiseq/180509_D00635_0371_BCC5NGANXX/Hirsch2_Project_001/B-I-R2_S90_R1_001.fastq.gz		
