srr,srr_alias,srx,paired,spots,spots_with_mate,avgLength,srx_alias,srx_title,srx_design,study_title,sample_alias,lib_layout,lib_name,lib_selection,lib_source,lib_strategy
SRR521140,GSM958940_r1,SRX159600,FALSE,28617970,0,36,GSM958940_1,GSM958940: Mo17_smRNA_rep3; Zea mays; RNA-Seq,,Zea mays Epigenomics,GSM958940,,GSM958940: Mo17_smRNA_rep3,size fractionation,TRANSCRIPTOMIC,RNA-Seq
SRR521139,GSM958939_r1,SRX159599,FALSE,28124721,0,36,GSM958939_1,GSM958939: Mo17_smRNA_rep2; Zea mays; RNA-Seq,,Zea mays Epigenomics,GSM958939,,GSM958939: Mo17_smRNA_rep2,size fractionation,TRANSCRIPTOMIC,RNA-Seq
SRR521138,GSM958938_r9,SRX159598,FALSE,188811,0,26,GSM958938_1,GSM958938: Mo17_smRNA_rep1; Zea mays; RNA-Seq,,Zea mays Epigenomics,GSM958938,,GSM958938: Mo17_smRNA_rep1,size fractionation,TRANSCRIPTOMIC,RNA-Seq
SRR521137,GSM958938_r8,SRX159598,FALSE,377420,0,25,GSM958938_1,GSM958938: Mo17_smRNA_rep1; Zea mays; RNA-Seq,,Zea mays Epigenomics,GSM958938,,GSM958938: Mo17_smRNA_rep1,size fractionation,TRANSCRIPTOMIC,RNA-Seq
SRR521136,GSM958938_r7,SRX159598,FALSE,6595308,0,24,GSM958938_1,GSM958938: Mo17_smRNA_rep1; Zea mays; RNA-Seq,,Zea mays Epigenomics,GSM958938,,GSM958938: Mo17_smRNA_rep1,size fractionation,TRANSCRIPTOMIC,RNA-Seq
SRR521135,GSM958938_r6,SRX159598,FALSE,1157013,0,23,GSM958938_1,GSM958938: Mo17_smRNA_rep1; Zea mays; RNA-Seq,,Zea mays Epigenomics,GSM958938,,GSM958938: Mo17_smRNA_rep1,size fractionation,TRANSCRIPTOMIC,RNA-Seq
SRR521134,GSM958938_r5,SRX159598,FALSE,1357875,0,22,GSM958938_1,GSM958938: Mo17_smRNA_rep1; Zea mays; RNA-Seq,,Zea mays Epigenomics,GSM958938,,GSM958938: Mo17_smRNA_rep1,size fractionation,TRANSCRIPTOMIC,RNA-Seq
SRR521133,GSM958938_r4,SRX159598,FALSE,1766118,0,21,GSM958938_1,GSM958938: Mo17_smRNA_rep1; Zea mays; RNA-Seq,,Zea mays Epigenomics,GSM958938,,GSM958938: Mo17_smRNA_rep1,size fractionation,TRANSCRIPTOMIC,RNA-Seq
SRR521132,GSM958938_r3,SRX159598,FALSE,419583,0,20,GSM958938_1,GSM958938: Mo17_smRNA_rep1; Zea mays; RNA-Seq,,Zea mays Epigenomics,GSM958938,,GSM958938: Mo17_smRNA_rep1,size fractionation,TRANSCRIPTOMIC,RNA-Seq
SRR521131,GSM958938_r2,SRX159598,FALSE,502516,0,19,GSM958938_1,GSM958938: Mo17_smRNA_rep1; Zea mays; RNA-Seq,,Zea mays Epigenomics,GSM958938,,GSM958938: Mo17_smRNA_rep1,size fractionation,TRANSCRIPTOMIC,RNA-Seq
SRR521130,GSM958938_r13,SRX159598,FALSE,29154,0,30,GSM958938_1,GSM958938: Mo17_smRNA_rep1; Zea mays; RNA-Seq,,Zea mays Epigenomics,GSM958938,,GSM958938: Mo17_smRNA_rep1,size fractionation,TRANSCRIPTOMIC,RNA-Seq
SRR521129,GSM958938_r12,SRX159598,FALSE,102757,0,29,GSM958938_1,GSM958938: Mo17_smRNA_rep1; Zea mays; RNA-Seq,,Zea mays Epigenomics,GSM958938,,GSM958938: Mo17_smRNA_rep1,size fractionation,TRANSCRIPTOMIC,RNA-Seq
SRR521128,GSM958938_r11,SRX159598,FALSE,142489,0,28,GSM958938_1,GSM958938: Mo17_smRNA_rep1; Zea mays; RNA-Seq,,Zea mays Epigenomics,GSM958938,,GSM958938: Mo17_smRNA_rep1,size fractionation,TRANSCRIPTOMIC,RNA-Seq
SRR521127,GSM958938_r10,SRX159598,FALSE,196369,0,27,GSM958938_1,GSM958938: Mo17_smRNA_rep1; Zea mays; RNA-Seq,,Zea mays Epigenomics,GSM958938,,GSM958938: Mo17_smRNA_rep1,size fractionation,TRANSCRIPTOMIC,RNA-Seq
SRR521126,GSM958938_r1,SRX159598,FALSE,208981,0,18,GSM958938_1,GSM958938: Mo17_smRNA_rep1; Zea mays; RNA-Seq,,Zea mays Epigenomics,GSM958938,,GSM958938: Mo17_smRNA_rep1,size fractionation,TRANSCRIPTOMIC,RNA-Seq
SRR521125,GSM958937_r1,SRX159597,FALSE,29152926,0,36,GSM958937_1,GSM958937: B73_smRNA_rep3; Zea mays; RNA-Seq,,Zea mays Epigenomics,GSM958937,,GSM958937: B73_smRNA_rep3,size fractionation,TRANSCRIPTOMIC,RNA-Seq
SRR521124,GSM958936_r1,SRX159596,FALSE,28732589,0,36,GSM958936_1,GSM958936: B73_smRNA_rep2; Zea mays; RNA-Seq,,Zea mays Epigenomics,GSM958936,,GSM958936: B73_smRNA_rep2,size fractionation,TRANSCRIPTOMIC,RNA-Seq
SRR521123,GSM958935_r9,SRX159595,FALSE,208821,0,26,GSM958935_1,GSM958935: B73_smRNA_rep1; Zea mays; RNA-Seq,,Zea mays Epigenomics,GSM958935,,GSM958935: B73_smRNA_rep1,size fractionation,TRANSCRIPTOMIC,RNA-Seq
SRR521122,GSM958935_r8,SRX159595,FALSE,405268,0,25,GSM958935_1,GSM958935: B73_smRNA_rep1; Zea mays; RNA-Seq,,Zea mays Epigenomics,GSM958935,,GSM958935: B73_smRNA_rep1,size fractionation,TRANSCRIPTOMIC,RNA-Seq
SRR521121,GSM958935_r7,SRX159595,FALSE,7198356,0,24,GSM958935_1,GSM958935: B73_smRNA_rep1; Zea mays; RNA-Seq,,Zea mays Epigenomics,GSM958935,,GSM958935: B73_smRNA_rep1,size fractionation,TRANSCRIPTOMIC,RNA-Seq
SRR521120,GSM958935_r6,SRX159595,FALSE,1293477,0,23,GSM958935_1,GSM958935: B73_smRNA_rep1; Zea mays; RNA-Seq,,Zea mays Epigenomics,GSM958935,,GSM958935: B73_smRNA_rep1,size fractionation,TRANSCRIPTOMIC,RNA-Seq
SRR521119,GSM958935_r5,SRX159595,FALSE,1669859,0,22,GSM958935_1,GSM958935: B73_smRNA_rep1; Zea mays; RNA-Seq,,Zea mays Epigenomics,GSM958935,,GSM958935: B73_smRNA_rep1,size fractionation,TRANSCRIPTOMIC,RNA-Seq
SRR521118,GSM958935_r4,SRX159595,FALSE,1949898,0,21,GSM958935_1,GSM958935: B73_smRNA_rep1; Zea mays; RNA-Seq,,Zea mays Epigenomics,GSM958935,,GSM958935: B73_smRNA_rep1,size fractionation,TRANSCRIPTOMIC,RNA-Seq
SRR521117,GSM958935_r3,SRX159595,FALSE,519332,0,20,GSM958935_1,GSM958935: B73_smRNA_rep1; Zea mays; RNA-Seq,,Zea mays Epigenomics,GSM958935,,GSM958935: B73_smRNA_rep1,size fractionation,TRANSCRIPTOMIC,RNA-Seq
SRR521116,GSM958935_r2,SRX159595,FALSE,486942,0,19,GSM958935_1,GSM958935: B73_smRNA_rep1; Zea mays; RNA-Seq,,Zea mays Epigenomics,GSM958935,,GSM958935: B73_smRNA_rep1,size fractionation,TRANSCRIPTOMIC,RNA-Seq
SRR521115,GSM958935_r13,SRX159595,FALSE,13287,0,30,GSM958935_1,GSM958935: B73_smRNA_rep1; Zea mays; RNA-Seq,,Zea mays Epigenomics,GSM958935,,GSM958935: B73_smRNA_rep1,size fractionation,TRANSCRIPTOMIC,RNA-Seq
SRR521114,GSM958935_r12,SRX159595,FALSE,35863,0,29,GSM958935_1,GSM958935: B73_smRNA_rep1; Zea mays; RNA-Seq,,Zea mays Epigenomics,GSM958935,,GSM958935: B73_smRNA_rep1,size fractionation,TRANSCRIPTOMIC,RNA-Seq
SRR521113,GSM958935_r11,SRX159595,FALSE,63336,0,28,GSM958935_1,GSM958935: B73_smRNA_rep1; Zea mays; RNA-Seq,,Zea mays Epigenomics,GSM958935,,GSM958935: B73_smRNA_rep1,size fractionation,TRANSCRIPTOMIC,RNA-Seq
SRR521112,GSM958935_r10,SRX159595,FALSE,166799,0,27,GSM958935_1,GSM958935: B73_smRNA_rep1; Zea mays; RNA-Seq,,Zea mays Epigenomics,GSM958935,,GSM958935: B73_smRNA_rep1,size fractionation,TRANSCRIPTOMIC,RNA-Seq
SRR521111,GSM958935_r1,SRX159595,FALSE,277098,0,18,GSM958935_1,GSM958935: B73_smRNA_rep1; Zea mays; RNA-Seq,,Zea mays Epigenomics,GSM958935,,GSM958935: B73_smRNA_rep1,size fractionation,TRANSCRIPTOMIC,RNA-Seq
SRR521110,GSM958934_r1,SRX159594,TRUE,89182264,89182264,100,GSM958934_2,GSM958934: RIL351_DNA_rep1; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958934,,GSM958934: RIL351_DNA_rep1,RANDOM,GENOMIC,Bisulfite-Seq
SRR521109,GSM958933_r1,SRX159593,TRUE,102088628,102088628,100,GSM958933_2,GSM958933: RIL327_DNA_rep1; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958933,,GSM958933: RIL327_DNA_rep1,RANDOM,GENOMIC,Bisulfite-Seq
SRR521108,GSM958932_r1,SRX159592,TRUE,196799812,196799812,100,GSM958932_2,GSM958932: RIL323_DNA_rep1; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958932,,GSM958932: RIL323_DNA_rep1,RANDOM,GENOMIC,Bisulfite-Seq
SRR521107,GSM958931_r1,SRX159591,TRUE,164243087,164243087,100,GSM958931_2,GSM958931: RIL271_DNA_rep1; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958931,,GSM958931: RIL271_DNA_rep1,RANDOM,GENOMIC,Bisulfite-Seq
SRR521106,GSM958930_r1,SRX159590,TRUE,70528888,70528888,100,GSM958930_2,GSM958930: RIL182_DNA_rep1; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958930,,GSM958930: RIL182_DNA_rep1,RANDOM,GENOMIC,Bisulfite-Seq
SRR521105,GSM958929_r1,SRX159589,TRUE,150210215,150210215,100,GSM958929_2,GSM958929: RIL126_DNA_rep1; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958929,,GSM958929: RIL126_DNA_rep1,RANDOM,GENOMIC,Bisulfite-Seq
SRR521104,GSM958928_r2,SRX159588,TRUE,89490849,89490849,100,GSM958928_2,GSM958928: RIL87_DNA_rep1; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958928,,GSM958928: RIL87_DNA_rep1,RANDOM,GENOMIC,Bisulfite-Seq
SRR521103,GSM958928_r1,SRX159588,TRUE,88914019,88914019,100,GSM958928_2,GSM958928: RIL87_DNA_rep1; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958928,,GSM958928: RIL87_DNA_rep1,RANDOM,GENOMIC,Bisulfite-Seq
SRR521102,GSM958927_r2,SRX159587,TRUE,135227147,135227147,100,GSM958927_2,GSM958927: RIL22_DNA_rep1; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958927,,GSM958927: RIL22_DNA_rep1,RANDOM,GENOMIC,Bisulfite-Seq
SRR521101,GSM958927_r1,SRX159587,TRUE,134553055,134553055,100,GSM958927_2,GSM958927: RIL22_DNA_rep1; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958927,,GSM958927: RIL22_DNA_rep1,RANDOM,GENOMIC,Bisulfite-Seq
SRR521100,GSM958926_r1,SRX159586,TRUE,142531361,142531361,100,GSM958926_2,GSM958926: RIL14-3_DNA_rep1; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958926,,GSM958926: RIL14-3_DNA_rep1,RANDOM,GENOMIC,Bisulfite-Seq
SRR521099,GSM958925_r2,SRX159585,TRUE,177802568,177802568,100,GSM958925_2,GSM958925: RIL14-2_DNA_rep1; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958925,,GSM958925: RIL14-2_DNA_rep1,RANDOM,GENOMIC,Bisulfite-Seq
SRR521098,GSM958925_r1,SRX159585,TRUE,40082220,40082220,100,GSM958925_2,GSM958925: RIL14-2_DNA_rep1; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958925,,GSM958925: RIL14-2_DNA_rep1,RANDOM,GENOMIC,Bisulfite-Seq
SRR521097,GSM958924_r1,SRX159584,TRUE,169958542,169958542,100,GSM958924_2,GSM958924: RIL14-1_DNA_rep1; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958924,,GSM958924: RIL14-1_DNA_rep1,RANDOM,GENOMIC,Bisulfite-Seq
SRR521096,GSM958923_r2,SRX159583,TRUE,108880210,108880210,100,GSM958923_2,GSM958923: RIL14_DNA_rep1; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958923,,GSM958923: RIL14_DNA_rep1,RANDOM,GENOMIC,Bisulfite-Seq
SRR521095,GSM958923_r1,SRX159583,TRUE,107914071,107914071,100,GSM958923_2,GSM958923: RIL14_DNA_rep1; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958923,,GSM958923: RIL14_DNA_rep1,RANDOM,GENOMIC,Bisulfite-Seq
SRR521094,GSM958922_r2,SRX159582,TRUE,129719308,129719308,100,GSM958922_2,GSM958922: RIL8_DNA_rep1; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958922,,GSM958922: RIL8_DNA_rep1,RANDOM,GENOMIC,Bisulfite-Seq
SRR521093,GSM958922_r1,SRX159582,TRUE,129707949,129707949,100,GSM958922_2,GSM958922: RIL8_DNA_rep1; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958922,,GSM958922: RIL8_DNA_rep1,RANDOM,GENOMIC,Bisulfite-Seq
SRR521092,GSM958921_r8,SRX159581,TRUE,43598192,43598192,100,GSM958921_2,GSM958921: Mo17_DNA_rep4; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958921,,GSM958921: Mo17_DNA_rep4,RANDOM,GENOMIC,Bisulfite-Seq
SRR521091,GSM958921_r7,SRX159581,TRUE,44768081,44768081,100,GSM958921_2,GSM958921: Mo17_DNA_rep4; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958921,,GSM958921: Mo17_DNA_rep4,RANDOM,GENOMIC,Bisulfite-Seq
SRR521090,GSM958921_r6,SRX159581,TRUE,44478680,44478680,100,GSM958921_2,GSM958921: Mo17_DNA_rep4; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958921,,GSM958921: Mo17_DNA_rep4,RANDOM,GENOMIC,Bisulfite-Seq
SRR521089,GSM958921_r5,SRX159581,TRUE,44401944,44401944,100,GSM958921_2,GSM958921: Mo17_DNA_rep4; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958921,,GSM958921: Mo17_DNA_rep4,RANDOM,GENOMIC,Bisulfite-Seq
SRR521088,GSM958921_r4,SRX159581,TRUE,43266677,43266677,100,GSM958921_2,GSM958921: Mo17_DNA_rep4; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958921,,GSM958921: Mo17_DNA_rep4,RANDOM,GENOMIC,Bisulfite-Seq
SRR521087,GSM958921_r3,SRX159581,TRUE,42791583,42791583,100,GSM958921_2,GSM958921: Mo17_DNA_rep4; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958921,,GSM958921: Mo17_DNA_rep4,RANDOM,GENOMIC,Bisulfite-Seq
SRR521086,GSM958921_r2,SRX159581,TRUE,40643032,40643032,100,GSM958921_2,GSM958921: Mo17_DNA_rep4; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958921,,GSM958921: Mo17_DNA_rep4,RANDOM,GENOMIC,Bisulfite-Seq
SRR521085,GSM958921_r1,SRX159581,TRUE,32012481,32012481,100,GSM958921_2,GSM958921: Mo17_DNA_rep4; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958921,,GSM958921: Mo17_DNA_rep4,RANDOM,GENOMIC,Bisulfite-Seq
SRR521084,GSM958920_r8,SRX159580,TRUE,25803020,25803020,100,GSM958920_2,GSM958920: Mo17_DNA_rep3_paired; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958920,,GSM958920: Mo17_DNA_rep3_paired,RANDOM,GENOMIC,Bisulfite-Seq
SRR521083,GSM958920_r7,SRX159580,TRUE,26072051,26072051,100,GSM958920_2,GSM958920: Mo17_DNA_rep3_paired; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958920,,GSM958920: Mo17_DNA_rep3_paired,RANDOM,GENOMIC,Bisulfite-Seq
SRR521082,GSM958920_r6,SRX159580,TRUE,27772534,27772534,100,GSM958920_2,GSM958920: Mo17_DNA_rep3_paired; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958920,,GSM958920: Mo17_DNA_rep3_paired,RANDOM,GENOMIC,Bisulfite-Seq
SRR521081,GSM958920_r5,SRX159580,TRUE,25699557,25699557,100,GSM958920_2,GSM958920: Mo17_DNA_rep3_paired; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958920,,GSM958920: Mo17_DNA_rep3_paired,RANDOM,GENOMIC,Bisulfite-Seq
SRR521080,GSM958920_r4,SRX159580,TRUE,25635210,25635210,100,GSM958920_2,GSM958920: Mo17_DNA_rep3_paired; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958920,,GSM958920: Mo17_DNA_rep3_paired,RANDOM,GENOMIC,Bisulfite-Seq
SRR521079,GSM958920_r3,SRX159580,TRUE,25249193,25249193,100,GSM958920_2,GSM958920: Mo17_DNA_rep3_paired; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958920,,GSM958920: Mo17_DNA_rep3_paired,RANDOM,GENOMIC,Bisulfite-Seq
SRR521078,GSM958920_r2,SRX159580,TRUE,25130027,25130027,100,GSM958920_2,GSM958920: Mo17_DNA_rep3_paired; Zea mays; Bisulfite-Seq,,Zea mays Epigenomics,GSM958920,,GSM958920: Mo17_DNA_rep3_paired,RANDOM,GENOMIC,Bisulfite-Seq
