srr,srr_alias,srx,paired,spots,spots_with_mate,avgLength,srx_alias,srx_title,srx_design,study_title,sample_alias,lib_layout,lib_name,lib_selection,lib_source,lib_strategy
SRR3536649,GSM2155548_r1,SRX1770376,FALSE,301629835,0,101,GSM2155548,GSM2155548: ARF_ecoli-ZmARF5_Zm_2; Zea mays; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM2155548,,,other,GENOMIC,OTHER
SRR2927003,GSM1925933_r1,SRX1412913,FALSE,11971501,0,100,GSM1925933,GSM1925933: bZIP_tnt.bZIP53_col_v3b; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925933,,,other,GENOMIC,OTHER
SRR2927002,GSM1925932_r1,SRX1412912,FALSE,12085065,0,100,GSM1925932,GSM1925932: bZIP_tnt.bZIP53_col_v3a; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925932,,,other,GENOMIC,OTHER
SRR2927001,GSM1925931_r1,SRX1412911,FALSE,6160798,0,100,GSM1925931,GSM1925931: bZIP_tnt.bZIP44_col_v3b; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925931,,,other,GENOMIC,OTHER
SRR2927000,GSM1925930_r1,SRX1412910,FALSE,6053054,0,100,GSM1925930,GSM1925930: bZIP_tnt.bZIP44_col_v3a; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925930,,,other,GENOMIC,OTHER
SRR2926999,GSM1925929_r1,SRX1412909,FALSE,15772388,0,100,GSM1925929,GSM1925929: bZIP_tnt.TGA3_col_v3b; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925929,,,other,GENOMIC,OTHER
SRR2926998,GSM1925928_r1,SRX1412908,FALSE,15940041,0,100,GSM1925928,GSM1925928: bZIP_tnt.TGA3_col_v3a; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925928,,,other,GENOMIC,OTHER
SRR2926997,GSM1925927_r1,SRX1412907,FALSE,11888724,0,100,GSM1925927,GSM1925927: bZIP_tnt.TGA2_col_v3b; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925927,,,other,GENOMIC,OTHER
SRR2926996,GSM1925926_r1,SRX1412906,FALSE,12013135,0,100,GSM1925926,GSM1925926: bZIP_tnt.TGA2_col_v3a; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925926,,,other,GENOMIC,OTHER
SRR2926995,GSM1925925_r1,SRX1412905,FALSE,2724924,0,100,GSM1925925,GSM1925925: bZIP_tnt.TGA1_col_v3b; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925925,,,other,GENOMIC,OTHER
SRR2926994,GSM1925924_r1,SRX1412904,FALSE,2757013,0,100,GSM1925924,GSM1925924: bZIP_tnt.TGA1_col_v3a; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925924,,,other,GENOMIC,OTHER
SRR2926993,GSM1925923_r1,SRX1412903,FALSE,8880769,0,100,GSM1925923,GSM1925923: bZIP_tnt.GBF6_col_v3b; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925923,,,other,GENOMIC,OTHER
SRR2926992,GSM1925922_r1,SRX1412902,FALSE,8712939,0,100,GSM1925922,GSM1925922: bZIP_tnt.GBF6_col_v3a; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925922,,,other,GENOMIC,OTHER
SRR2926991,GSM1925921_r1,SRX1412901,TRUE,16271616,16271616,200,GSM1925921,GSM1925921: bZIP_tnt.GBF3_colamp_v3e; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925921,,,other,GENOMIC,OTHER
SRR2926990,GSM1925920_r1,SRX1412900,TRUE,15467421,15467421,200,GSM1925920,GSM1925920: bZIP_tnt.GBF3_colamp_v3d; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925920,,,other,GENOMIC,OTHER
SRR2926989,GSM1925919_r1,SRX1412899,FALSE,3167218,0,100,GSM1925919,GSM1925919: bZIP_tnt.GBF3_col_v3b; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925919,,,other,GENOMIC,OTHER
SRR2926988,GSM1925918_r1,SRX1412898,FALSE,3109289,0,100,GSM1925918,GSM1925918: bZIP_tnt.GBF3_col_v3a; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925918,,,other,GENOMIC,OTHER
SRR2926987,GSM1925917_r1,SRX1412897,FALSE,2821414,0,100,GSM1925917,GSM1925917: bHLH_tnt.bHLH34_col_b; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925917,,,other,GENOMIC,OTHER
SRR2926986,GSM1925916_r1,SRX1412896,FALSE,5219765,0,100,GSM1925916,GSM1925916: bHLH_tnt.bHLH34_col_a; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925916,,,other,GENOMIC,OTHER
SRR2926985,GSM1925915_r1,SRX1412895,FALSE,1143436,0,100,GSM1925915,GSM1925915: bHLH_tnt.bHLH31_col_b; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925915,,,other,GENOMIC,OTHER
SRR2926984,GSM1925914_r1,SRX1412894,FALSE,1535967,0,133,GSM1925914,GSM1925914: bHLH_tnt.bHLH31_col200_a; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925914,,,other,GENOMIC,OTHER
SRR2926983,GSM1925913_r1,SRX1412893,TRUE,9397743,9397743,200,GSM1925913,GSM1925913: bHLH_tnt.BIM2_colamp_v3b; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925913,,,other,GENOMIC,OTHER
SRR2926982,GSM1925912_r1,SRX1412892,TRUE,8078231,8078231,100,GSM1925912,GSM1925912: bHLH_tnt.BIM2_colamp_v3a; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925912,,,other,GENOMIC,OTHER
SRR2926981,GSM1925911_r1,SRX1412891,TRUE,3269222,3269222,200,GSM1925911,GSM1925911: WRKY_tnt.WRKY8_col_b; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925911,,,other,GENOMIC,OTHER
SRR2926980,GSM1925910_r1,SRX1412890,FALSE,1322106,0,133,GSM1925910,GSM1925910: WRKY_tnt.WRKY8_col100_a; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925910,,,other,GENOMIC,OTHER
SRR2926979,GSM1925909_r1,SRX1412889,FALSE,1808428,0,100,GSM1925909,GSM1925909: WRKY_tnt.WRKY70_col_b; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925909,,,other,GENOMIC,OTHER
SRR2926978,GSM1925908_r1,SRX1412888,FALSE,1679260,0,133,GSM1925908,GSM1925908: WRKY_tnt.WRKY70_col200_a; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925908,,,other,GENOMIC,OTHER
SRR2926977,GSM1925907_r1,SRX1412887,TRUE,2790408,2790408,200,GSM1925907,GSM1925907: WRKY_tnt.WRKY7_col_b; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925907,,,other,GENOMIC,OTHER
SRR2926976,GSM1925906_r1,SRX1412886,FALSE,1256848,0,133,GSM1925906,GSM1925906: WRKY_tnt.WRKY7_col100_a; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925906,,,other,GENOMIC,OTHER
SRR2926975,GSM1925905_r1,SRX1412885,FALSE,17957152,0,100,GSM1925905,GSM1925905: WRKY_tnt.WRKY40_col_v31; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925905,,,other,GENOMIC,OTHER
SRR2926974,GSM1925904_r1,SRX1412884,FALSE,1658524,0,100,GSM1925904,GSM1925904: WRKY_tnt.WRKY40_col_a; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925904,,,other,GENOMIC,OTHER
SRR2926973,GSM1925903_r1,SRX1412883,TRUE,2654144,2654144,200,GSM1925903,GSM1925903: WRKY_tnt.WRKY22_col_b; Arabidopsis thaliana; OTHER,,A Comprehensive Atlas of Arabidopsis Regulatory DNA [DAP-seq],GSM1925903,,,other,GENOMIC,OTHER
