srr,srr_alias,srx,paired,spots,spots_with_mate,avgLength,srx_alias,srx_title,srx_design,study_title,sample_alias,lib_layout,lib_name,lib_selection,lib_source,lib_strategy
SRR999071,GSM1236543_r1,SRX357140,FALSE,49265747,0,50,GSM1236543,GSM1236543: RA1_input_ear_YFP; Zea mays; ChIP-Seq,,Zea mays Epigenomics,GSM1236543,,,ChIP,GENOMIC,ChIP-Seq
SRR999070,GSM1236542_r1,SRX357139,FALSE,46342800,0,50,GSM1236542,GSM1236542: RA1_input_ear_HA; Zea mays; ChIP-Seq,,Zea mays Epigenomics,GSM1236542,,,ChIP,GENOMIC,ChIP-Seq
SRR999069,GSM1236541_r1,SRX357138,FALSE,29946146,0,50,GSM1236541,GSM1236541: RA1_ChIPseq_ear_YFP; Zea mays; ChIP-Seq,,Zea mays Epigenomics,GSM1236541,,,ChIP,GENOMIC,ChIP-Seq
SRR999068,GSM1236540_r1,SRX357137,FALSE,21022433,0,50,GSM1236540,GSM1236540: RA1_ChIPseq_ear_HA; Zea mays; ChIP-Seq,,Zea mays Epigenomics,GSM1236540,,,ChIP,GENOMIC,ChIP-Seq
SRR999067,GSM1236539_r1,SRX357136,FALSE,20069769,0,72,GSM1236539,GSM1236539: RA1_input_tassel_YFP; Zea mays; ChIP-Seq,,Zea mays Epigenomics,GSM1236539,,,ChIP,GENOMIC,ChIP-Seq
SRR999066,GSM1236538_r1,SRX357135,FALSE,10326425,0,72,GSM1236538,GSM1236538: RA1_input_tassel_HA; Zea mays; ChIP-Seq,,Zea mays Epigenomics,GSM1236538,,,ChIP,GENOMIC,ChIP-Seq
SRR999065,GSM1236537_r1,SRX357134,FALSE,57361540,0,58,GSM1236537,GSM1236537: RA1_ChIPseq_tassel_YFP; Zea mays; ChIP-Seq,,Zea mays Epigenomics,GSM1236537,,,ChIP,GENOMIC,ChIP-Seq
SRR999064,GSM1236536_r1,SRX357133,FALSE,43399338,0,62,GSM1236536,GSM1236536: RA1_ChIPseq_tassel_HA; Zea mays; ChIP-Seq,,Zea mays Epigenomics,GSM1236536,,,ChIP,GENOMIC,ChIP-Seq
SRR999063,GSM1236535_r1,SRX357132,TRUE,6428156,6428156,100,GSM1236535,GSM1236535: ra3_2mm_ear.3; Zea mays; RNA-Seq,,Regulatory Modules Controlling Maize Inflorescence Architecture: mRNA-seq data,GSM1236535,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR999062,GSM1236534_r1,SRX357131,TRUE,10770029,10770029,100,GSM1236534,GSM1236534: ra3_2mm_ear.2; Zea mays; RNA-Seq,,Regulatory Modules Controlling Maize Inflorescence Architecture: mRNA-seq data,GSM1236534,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR999061,GSM1236533_r1,SRX357130,TRUE,15737888,15737888,100,GSM1236533,GSM1236533: ra3_2mm_ear.1; Zea mays; RNA-Seq,,Regulatory Modules Controlling Maize Inflorescence Architecture: mRNA-seq data,GSM1236533,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR999060,GSM1236532_r1,SRX357129,TRUE,17233767,17233767,100,GSM1236532,GSM1236532: ra2_2mm_ear.3; Zea mays; RNA-Seq,,Regulatory Modules Controlling Maize Inflorescence Architecture: mRNA-seq data,GSM1236532,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
