srr,srr_alias,srx,paired,spots,spots_with_mate,avgLength,srx_alias,srx_title,srx_design,study_title,sample_alias,lib_layout,lib_name,lib_selection,lib_source,lib_strategy
SRR2995166,OE1_HDA101_input_rep2,SRX1481248,TRUE,13630404,13630404,200,OE1_HDA101_input_rep2,"hda101-1 mutant 4DAP whole seed anti-HDA101 input library,rep2",,Zea mays Epigenomics,OE1_4DAP_whole_seed,,,size fractionation,GENOMIC,ChIP-Seq
SRR2995165,OE1_HDA101_ChIP_rep2,SRX1481247,TRUE,11138888,11138888,200,OE1_HDA101_ChIP_rep2,"hda101-2 mutant 4DAP whole seed anti-HDA101 ChIP library,rep2",,Zea mays Epigenomics,OE1_4DAP_whole_seed,,,size fractionation,GENOMIC,ChIP-Seq
SRR2995164,OE1_HDA101_input_rep1,SRX1481246,TRUE,11567045,11567045,200,OE1_HDA101_input_rep1,"hda101-1 mutant 4DAP whole seed anti-HDA101 input library,rep1",,Zea mays Epigenomics,OE1_4DAP_whole_seed,,,size fractionation,GENOMIC,ChIP-Seq
SRR2995163,OE1_HDA101_ChIP_rep1,SRX1481245,TRUE,5298468,5298468,200,OE1_HDA101_ChIP_rep1,"hda101-1 mutant 4DAP whole seed anti-HDA101 ChIP library,rep1",,Zea mays Epigenomics,OE1_4DAP_whole_seed,,,size fractionation,GENOMIC,ChIP-Seq
SRR2995162,B73_HDA101_input_rep2,SRX1481243,TRUE,12398652,12398652,200,B73_HDA101_input_rep2,"B73 4DAP whole seed anti-HDA101 input library,rep2",,Zea mays Epigenomics,B73_4DAP_whole_seed,,,size fractionation,GENOMIC,ChIP-Seq
SRR2995161,B73_HDA101_input_rep1,SRX1481242,TRUE,12217650,12217650,200,B73_HDA101_input_rep1,"B73 4DAP whole seed anti-HDA101 input library,rep1",,Zea mays Epigenomics,B73_4DAP_whole_seed,,,size fractionation,GENOMIC,ChIP-Seq
SRR2995160,B73_HDA101_ChIP_rep2,SRX1481241,TRUE,20315137,20315137,200,B73_HDA101_ChIP_rep2,"B73 4DAP whole seed anti-HDA101 ChIP library,rep2",,Zea mays Epigenomics,B73_4DAP_whole_seed,,,size fractionation,GENOMIC,ChIP-Seq
SRR2995159,B73_HDA101_ChIP_rep1,SRX1481240,TRUE,9862018,9862018,200,B73_HDA101_ChIP_rep1,"B73 4DAP whole seed anti-HDA101 ChIP library,rep1",,Zea mays Epigenomics,B73_4DAP_whole_seed,,,size fractionation,GENOMIC,ChIP-Seq
SRR2995158,OE1_H4K5ac_input_rep2,SRX1481239,TRUE,13108890,13108890,250,OE1_H4K5ac_input_rep2,"hda101-1 mutant 4DAP whole seed H4K5ac input library,rep2",,Zea mays Epigenomics,OE1_4DAP_whole_seed,,,size fractionation,GENOMIC,ChIP-Seq
SRR2995157,OE1_H4K5ac_input_rep1,SRX1481238,TRUE,12676350,12676350,250,OE1_H4K5ac_input_rep1,"hda101-1 mutant 4DAP whole seed H4K5ac input library,rep1",,Zea mays Epigenomics,OE1_4DAP_whole_seed,,,size fractionation,GENOMIC,ChIP-Seq
SRR2995156,OE1_H4K5ac_ChIP_rep3,SRX1481237,TRUE,9021425,9021425,250,OE1_H4K5ac_ChIP_rep3,"hda101-1 mutant 4DAP whole seed H4K5ac ChIP library,rep3",,Zea mays Epigenomics,OE1_4DAP_whole_seed,,,size fractionation,GENOMIC,ChIP-Seq
SRR2995154,"hda101-1 mutant 4DAP whole seed H4K5ac ChIP library,rep2",SRX1481235,TRUE,10830431,10830431,250,OE1_H4K5ac_ChIP_rep2,"hda101-1 mutant 4DAP whole seed H4K5ac ChIP library,rep2",,Zea mays Epigenomics,OE1_4DAP_whole_seed,,,size fractionation,GENOMIC,ChIP-Seq
SRR2995152,OE1_H4K5ac_ChIP_rep1,SRX1481234,TRUE,11148111,11148111,250,OE1_H4K5ac_ChIP_rep1,"hda101-1 mutant 4DAP whole seed H4K5ac ChIP library,rep1",,Zea mays Epigenomics,OE1_4DAP_whole_seed,,,size fractionation,GENOMIC,ChIP-Seq
