srr,srr_alias,srx,paired,spots,spots_with_mate,avgLength,srx_alias,srx_title,srx_design,study_title,sample_alias,lib_layout,lib_name,lib_selection,lib_source,lib_strategy
SRR6988699,GSM3094777_r1,SRX3927679,TRUE,20137505,20137505,300,GSM3094777,GSM3094777: zmbzip22_rep3; Zea mays; RNA-Seq,,Next Generation Sequencing Facilitates Quantitative Analysis of WT and zmbzip22 mutant Transcriptomes,GSM3094777,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR6988698,GSM3094776_r1,SRX3927678,TRUE,23403259,23403259,300,GSM3094776,GSM3094776: zmbzip22_rep2; Zea mays; RNA-Seq,,Next Generation Sequencing Facilitates Quantitative Analysis of WT and zmbzip22 mutant Transcriptomes,GSM3094776,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR6988697,GSM3094775_r1,SRX3927677,TRUE,21857213,21857213,300,GSM3094775,GSM3094775: zmbzip22_rep1; Zea mays; RNA-Seq,,Next Generation Sequencing Facilitates Quantitative Analysis of WT and zmbzip22 mutant Transcriptomes,GSM3094775,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR6988696,GSM3094774_r1,SRX3927676,TRUE,21638143,21638143,300,GSM3094774,GSM3094774: WT_rep3; Zea mays; RNA-Seq,,Next Generation Sequencing Facilitates Quantitative Analysis of WT and zmbzip22 mutant Transcriptomes,GSM3094774,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR6988695,GSM3094773_r1,SRX3927675,TRUE,16916200,16916200,300,GSM3094773,GSM3094773: WT_rep2; Zea mays; RNA-Seq,,Next Generation Sequencing Facilitates Quantitative Analysis of WT and zmbzip22 mutant Transcriptomes,GSM3094773,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR6988694,GSM3094772_r1,SRX3927674,TRUE,22245106,22245106,300,GSM3094772,GSM3094772: WT_rep1; Zea mays; RNA-Seq,,Next Generation Sequencing Facilitates Quantitative Analysis of WT and zmbzip22 mutant Transcriptomes,GSM3094772,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR6977312,GSM3091089_r1,SRX3918861,TRUE,17356754,17356754,300,GSM3091089,GSM3091089: rep2-IgG; Zea mays; ChIP-Seq,,Genome-wide characterization of cis-acting DNA targets of ZmbZIP22 in maize,GSM3091089,,,ChIP,GENOMIC,ChIP-Seq
SRR6977311,GSM3091088_r1,SRX3918860,TRUE,25856399,25856399,300,GSM3091088,GSM3091088: rep2-ZmbZIP22; Zea mays; ChIP-Seq,,Genome-wide characterization of cis-acting DNA targets of ZmbZIP22 in maize,GSM3091088,,,ChIP,GENOMIC,ChIP-Seq
SRR6977310,GSM3091087_r1,SRX3918859,TRUE,20101751,20101751,300,GSM3091087,GSM3091087: rep1-IgG; Zea mays; ChIP-Seq,,Genome-wide characterization of cis-acting DNA targets of ZmbZIP22 in maize,GSM3091087,,,ChIP,GENOMIC,ChIP-Seq
SRR6977309,GSM3091086_r1,SRX3918858,TRUE,16689182,16689182,300,GSM3091086,GSM3091086: rep1-ZmbZIP22; Zea mays; ChIP-Seq,,Genome-wide characterization of cis-acting DNA targets of ZmbZIP22 in maize,GSM3091086,,,ChIP,GENOMIC,ChIP-Seq
