srr,srr_alias,srx,paired,spots,spots_with_mate,avgLength,srx_alias,srx_title,srx_design,study_title,sample_alias,lib_layout,lib_name,lib_selection,lib_source,lib_strategy
SRR8502751,B10-3_R1.fastq.gz,SRX5306713,TRUE,39771147,39771147,243,maize B10_3,RNA-seq of maize B73 10DAP tiller buds,KAPA stranded mRNA kit,regulatory landscape of a core maize domestication module controlling bud dormancy,maize B10_3,,maize B10_3,other,TRANSCRIPTOMIC,RNA-Seq
SRR8502752,B10-2_R1.fastq.gz,SRX5306712,TRUE,40344086,40344086,242,maize B10_2,RNA-seq of maize B73 10DAP tiller buds,KAPA stranded mRNA kit,regulatory landscape of a core maize domestication module controlling bud dormancy,maize B10_2,,maize B10_2,other,TRANSCRIPTOMIC,RNA-Seq
SRR8502753,B10-1_R1.fastq.gz,SRX5306711,TRUE,39830144,39830144,243,maize B10_1,RNA-seq of maize B73 10DAP tiller buds,KAPA stranded mRNA kit,regulatory landscape of a core maize domestication module controlling bud dormancy,maize B10_1,,maize B10_1,other,TRANSCRIPTOMIC,RNA-Seq
SRR8502754,B8-3_R1.fastq.gz,SRX5306710,TRUE,19363454,19363454,248,maize B8_3,RNA-seq of maize B73 8DAP tiller buds,KAPA stranded mRNA kit,regulatory landscape of a core maize domestication module controlling bud dormancy,maize B8_3,,maize B8_3,other,TRANSCRIPTOMIC,RNA-Seq
SRR8502755,B8-2_R1.fastq.gz,SRX5306709,TRUE,43969204,43969204,244,maize B8_2,RNA-seq of maize B73 8DAP tiller buds,KAPA stranded mRNA kit,regulatory landscape of a core maize domestication module controlling bud dormancy,maize B8_2,,maize B8_2,other,TRANSCRIPTOMIC,RNA-Seq
SRR8502756,B8-1_R1.fastq.gz,SRX5306708,TRUE,60054237,60054237,244,maize B8_1,RNA-seq of maize B73 8DAP tiller buds,KAPA stranded mRNA kit,regulatory landscape of a core maize domestication module controlling bud dormancy,maize B8_1,,maize B8_1,other,TRANSCRIPTOMIC,RNA-Seq
SRR8502757,IgGrep2_1D_S10_L003_R1_001.fastq.gz,SRX5306707,FALSE,75860782,0,51,maize IgG_rep2,IgG ChIP-seq of maize control,NEXTflex ChIP-Seq Kit,regulatory landscape of a core maize domestication module controlling bud dormancy,maize IgG_rep2,,maize IgG_rep2,ChIP,GENOMIC,ChIP-Seq
SRR8502758,IgGrep1_1C_S9_L003_R1_001.fastq.gz,SRX5306706,FALSE,75219445,0,51,maize IgG_rep1,IgG ChIP-seq of maize control,NEXTflex ChIP-Seq Kit,regulatory landscape of a core maize domestication module controlling bud dormancy,maize IgG_rep1,,maize IgG_rep1,ChIP,GENOMIC,ChIP-Seq
SRR8502759,TB1ChIPrep2_1B_S8_L003_R1_001.fastq.gz,SRX5306705,FALSE,71254610,0,51,maize TB1_ChIP_rep2,TB1 ChIP-seq of maize wild type,NEXTflex ChIP-Seq Kit,regulatory landscape of a core maize domestication module controlling bud dormancy,maize TB1_ChIP_rep2,,maize TB1_ChIP_rep2,ChIP,GENOMIC,ChIP-Seq
SRR8502760,TB1ChIPrep1_1A_S7_L003_R1_001.fastq.gz,SRX5306704,FALSE,128127103,0,51,maize TB1_ChIP_rep1,TB1 ChIP-seq of maize wild type,NEXTflex ChIP-Seq Kit,regulatory landscape of a core maize domestication module controlling bud dormancy,maize TB1_ChIP_rep1,,maize TB1_ChIP_rep1,ChIP,GENOMIC,ChIP-Seq
SRR8502761,tb12-1_R1.fastq.gz,SRX5306703,TRUE,19799254,19799254,237,maize tb12_1,RNA-seq of tb1 mutant 12DAP tiller buds,KAPA stranded mRNA kit,regulatory landscape of a core maize domestication module controlling bud dormancy,maize tb12_1,,maize tb12_1,other,TRANSCRIPTOMIC,RNA-Seq
SRR8502762,tb12-2_R1.fastq.gz,SRX5306702,TRUE,20811935,20811935,237,maize tb12_2,RNA-seq of tb1 mutant 12DAP tiller buds,KAPA stranded mRNA kit,regulatory landscape of a core maize domestication module controlling bud dormancy,maize tb12_2,,maize tb12_2,other,TRANSCRIPTOMIC,RNA-Seq
SRR8502763,gt8-5_R1.fastq.gz,SRX5306701,TRUE,43948515,43948515,242,maize gt8_5,RNA-seq of gt1 mutant 8DAP tiller buds,KAPA stranded mRNA kit,regulatory landscape of a core maize domestication module controlling bud dormancy,maize gt8_5,,maize gt8_5,other,TRANSCRIPTOMIC,RNA-Seq
SRR8502764,gt12-1_R1.fastq.gz,SRX5306700,TRUE,39738350,39738350,244,maize gt12_1,RNA-seq of gt1 mutant 12DAP tiller buds,KAPA stranded mRNA kit,regulatory landscape of a core maize domestication module controlling bud dormancy,maize gt12_1,,maize gt12_1,other,TRANSCRIPTOMIC,RNA-Seq
SRR8502765,gt12-2_R1.fastq.gz,SRX5306699,TRUE,23036949,23036949,236,maize gt12_2,RNA-seq of gt1 mutant 12DAP tiller buds,KAPA stranded mRNA kit,regulatory landscape of a core maize domestication module controlling bud dormancy,maize gt12_2,,maize gt12_2,other,TRANSCRIPTOMIC,RNA-Seq
SRR8502766,gt12-3_R1.fastq.gz,SRX5306698,TRUE,19727423,19727423,238,maize gt12_3,RNA-seq of gt1 mutant 12DAP tiller buds,KAPA stranded mRNA kit,regulatory landscape of a core maize domestication module controlling bud dormancy,maize gt12_3,,maize gt12_3,other,TRANSCRIPTOMIC,RNA-Seq
SRR8502767,gt12-4_R1.fastq.gz,SRX5306697,TRUE,20982469,20982469,238,maize gt12_4,RNA-seq of gt1 mutant 12DAP tiller buds,KAPA stranded mRNA kit,regulatory landscape of a core maize domestication module controlling bud dormancy,maize gt12_4,,maize gt12_4,other,TRANSCRIPTOMIC,RNA-Seq
SRR8502768,tb8-1_R1.fastq.gz,SRX5306696,TRUE,46630032,46630032,244,maize tb8_1,RNA-seq of tb1 mutant 8DAP tiller buds,KAPA stranded mRNA kit,regulatory landscape of a core maize domestication module controlling bud dormancy,maize tb8_1,,maize tb8_1,other,TRANSCRIPTOMIC,RNA-Seq
SRR8502769,tb8-2_R1.fastq.gz,SRX5306695,TRUE,20341378,20341378,247,maize tb8_2,RNA-seq of tb1 mutant 8DAP tiller buds,KAPA stranded mRNA kit,regulatory landscape of a core maize domestication module controlling bud dormancy,maize tb8_2,,maize tb8_2,other,TRANSCRIPTOMIC,RNA-Seq
SRR8502770,tb8-3_R1.fastq.gz,SRX5306694,TRUE,42605683,42605683,245,maize tb8_3,RNA-seq of tb1 mutant 8DAP tiller buds,KAPA stranded mRNA kit,regulatory landscape of a core maize domestication module controlling bud dormancy,maize tb8_3,,maize tb8_3,other,TRANSCRIPTOMIC,RNA-Seq
