srr,srr_alias,srx,paired,spots,spots_with_mate,avgLength,srx_alias,srx_title,study_title,sample_alias,lib_layout,lib_name,lib_selection,lib_source,lib_strategy
SRR1575523,WGS of Zea mays: UH250,SRX701277,TRUE,145707974,145707974,200,WGS of Zea mays: UH250,WGS of Zea mays: UH250,Zea mays Genome sequencing,ZM_UH250,,,RANDOM,GENOMIC,WGS
SRR1575522,WGS of Zea mays: UH009,SRX701276,TRUE,126792890,126792890,200,WGS of Zea mays: UH009,WGS of Zea mays: UH009,Zea mays Genome sequencing,ZM_UH009,,,RANDOM,GENOMIC,WGS
SRR1575512,WGS of Zea mays: F64,SRX701266,TRUE,135772197,135772197,200,WGS of Zea mays: F64,WGS of Zea mays: F64,Zea mays Genome sequencing,ZM_F64,,,RANDOM,GENOMIC,WGS
SRR1575511,WGS of Zea mays: F618,SRX701265,TRUE,101701833,101701833,200,WGS of Zea mays: F618,WGS of Zea mays: F618,Zea mays Genome sequencing,ZM_F618,,,RANDOM,GENOMIC,WGS
SRR1575510,WGS of Zea mays: F353,SRX701264,TRUE,133559227,133559227,200,WGS of Zea mays: F353,WGS of Zea mays: F353,Zea mays Genome sequencing,ZM_F353,,,RANDOM,GENOMIC,WGS
SRR2527696,WGS of Zea mays: F353 / 2,SRX701264,TRUE,107060465,107060465,200,WGS of Zea mays: F353,WGS of Zea mays: F353,Zea mays Genome sequencing,ZM_F353,,,RANDOM,GENOMIC,WGS
SRR1575509,WGS of Zea mays: F283,SRX701263,TRUE,101307552,101307552,200,WGS of Zea mays: F283,WGS of Zea mays: F283,Zea mays Genome sequencing,ZM_F283,,,RANDOM,GENOMIC,WGS
SRR2527695,WGS of Zea mays: F283 / 2,SRX701263,TRUE,106833328,106833328,200,WGS of Zea mays: F283,WGS of Zea mays: F283,Zea mays Genome sequencing,ZM_F283,,,RANDOM,GENOMIC,WGS
SRR1575506,WGS of Zea mays: F03802,SRX701260,TRUE,122810194,122810194,200,WGS of Zea mays: F03802,WGS of Zea mays: F03802,Zea mays Genome sequencing,ZM_F03802,,,RANDOM,GENOMIC,WGS
SRR1575505,WGS of Zea mays: EZ5,SRX701259,TRUE,96909771,96909771,200,WGS of Zea mays: EZ5,WGS of Zea mays: EZ5,Zea mays Genome sequencing,ZM_EZ5,,,RANDOM,GENOMIC,WGS
SRR1575504,WGS of Zea mays: EP44,SRX701258,TRUE,110562099,110562099,200,WGS of Zea mays: EP44,WGS of Zea mays: EP44,Zea mays Genome sequencing,ZM_EP44,,,RANDOM,GENOMIC,WGS
SRR1575525,WGS of Zea mays: W117,SRX701279,TRUE,157970123,157970123,200,WGS of Zea mays: W117,WGS of Zea mays: W117,Zea mays Genome sequencing,ZM_W117,,,RANDOM,GENOMIC,WGS
SRR1575524,WGS of Zea mays: UH304,SRX701278,TRUE,135119737,135119737,200,WGS of Zea mays: UH304,WGS of Zea mays: UH304,Zea mays Genome sequencing,ZM_UH304,,,RANDOM,GENOMIC,WGS
SRR1575521,WGS of Zea mays: UH007,SRX701275,TRUE,153853938,153853938,200,WGS of Zea mays: UH007,WGS of Zea mays: UH007,Zea mays Genome sequencing,ZM_UH007,,,RANDOM,GENOMIC,WGS
SRR1575520,WGS of Zea mays: UH006,SRX701274,TRUE,162053783,162053783,200,WGS of Zea mays: UH006,WGS of Zea mays: UH006,Zea mays Genome sequencing,ZM_UH006,,,RANDOM,GENOMIC,WGS
SRR1575519,WGS of Zea mays: Teosinte,SRX701273,TRUE,164177063,164177063,200,WGS of Zea mays: Teosinte,WGS of Zea mays: Teosinte,Zea mays Genome sequencing,ZM_Teosinte,,,RANDOM,GENOMIC,WGS
SRR1575518,WGS of Zea mays: PH207,SRX701272,TRUE,598562807,598562807,200,WGS of Zea mays: PH207,WGS of Zea mays: PH207,Zea mays Genome sequencing,ZM_PH207,,,RANDOM,GENOMIC,WGS
SRR1575517,WGS of Zea mays: Mo17,SRX701271,TRUE,130747417,130747417,200,WGS of Zea mays: Mo17,WGS of Zea mays: Mo17,Zea mays Genome sequencing,ZM_Mo17,,,RANDOM,GENOMIC,WGS
SRR1575516,WGS of Zea mays: Lo11,SRX701270,TRUE,140042882,140042882,200,WGS of Zea mays: Lo11,WGS of Zea mays: Lo11,Zea mays Genome sequencing,ZM_Lo11,,,RANDOM,GENOMIC,WGS
SRR1575515,WGS of Zea mays: FF0721H-7,SRX701269,TRUE,146961637,146961637,200,WGS of Zea mays: FF0721H-7,WGS of Zea mays: FF0721H-7,Zea mays Genome sequencing,ZM_FF0721H-7,,,RANDOM,GENOMIC,WGS
SRR1575514,WGS of Zea mays: F98902,SRX701268,TRUE,137348034,137348034,200,WGS of Zea mays: F98902,WGS of Zea mays: F98902,Zea mays Genome sequencing,ZM_F98902,,,RANDOM,GENOMIC,WGS
SRR1575513,WGS of Zea mays: F7,SRX701267,TRUE,507155030,507155030,200,WGS of Zea mays: F7,WGS of Zea mays: F7,Zea mays Genome sequencing,ZM_F7,,,RANDOM,GENOMIC,WGS
SRR1575508,WGS of Zea mays: F252,SRX701262,TRUE,165030649,165030649,200,WGS of Zea mays: F252,WGS of Zea mays: F252,Zea mays Genome sequencing,ZM_F252,,,RANDOM,GENOMIC,WGS
SRR1575507,WGS of Zea mays: F2,SRX701261,TRUE,186147264,186147264,200,WGS of Zea mays: F2,WGS of Zea mays: F2,Zea mays Genome sequencing,ZM_F2,,,RANDOM,GENOMIC,WGS
