srr,srr_alias,srx,paired,spots,spots_with_mate,avgLength,srx_alias,srx_title,study_title,sample_alias,lib_layout,lib_name,lib_selection,lib_source,lib_strategy
SRR6002766,PHW79_CAU508_CHINRG682.bam,SRX3158136,TRUE,4250467,4250467,200,CAU508_CHINRG682,WGS of maize:PHW79,Maize Haplotype Map version 3,hmp3_PHW79,,CAU508_CHINRG682,RANDOM,GENOMIC,WGS
SRR6002768,PHR47_CAU477_CHINRG767.bam,SRX3158135,TRUE,1790379,1790379,200,CAU477_CHINRG767,WGS of maize:PHR47,Maize Haplotype Map version 3,hmp3_PHR47,,CAU477_CHINRG767,RANDOM,GENOMIC,WGS
SRR6002769,PHW17_CAU624_CHINRG810.bam,SRX3158134,TRUE,800609,800609,200,CAU624_CHINRG810,WGS of maize:PHW17,Maize Haplotype Map version 3,hmp3_PHW17,,CAU624_CHINRG810,RANDOM,GENOMIC,WGS
SRR6002770,PHR55_CAU558_CHINRG69.bam,SRX3158133,TRUE,8297311,8297311,200,CAU558_CHINRG69,WGS of maize:PHR55,Maize Haplotype Map version 3,hmp3_PHR55,,CAU558_CHINRG69,RANDOM,GENOMIC,WGS
SRR6002771,PHW79_CAU508_CHINRG954.bam,SRX3158132,TRUE,18795733,18795733,200,CAU508_CHINRG954,WGS of maize:PHW79,Maize Haplotype Map version 3,hmp3_PHW79,,CAU508_CHINRG954,RANDOM,GENOMIC,WGS
SRR6002772,PHK35_CAU633_CHINRG907.bam,SRX3158131,TRUE,3837418,3837418,200,CAU633_CHINRG907,WGS of maize:PHK35,Maize Haplotype Map version 3,hmp3_PHK35,,CAU633_CHINRG907,RANDOM,GENOMIC,WGS
SRR6002773,PHW30_CAU559_CHINRG726.bam,SRX3158130,TRUE,3793053,3793053,200,CAU559_CHINRG726,WGS of maize:PHW30,Maize Haplotype Map version 3,hmp3_PHW30,,CAU559_CHINRG726,RANDOM,GENOMIC,WGS
SRR6002774,bai197_CAU48_CHINRG1005.bam,SRX3158129,TRUE,1555969,1555969,200,CAU48_CHINRG1005,WGS of maize:bai197,Maize Haplotype Map version 3,hmp3_bai197,,CAU48_CHINRG1005,RANDOM,GENOMIC,WGS
SRR6002775,bai197_CAU48_CHINRG1023.bam,SRX3158128,TRUE,15582235,15582235,200,CAU48_CHINRG1023,WGS of maize:bai197,Maize Haplotype Map version 3,hmp3_bai197,,CAU48_CHINRG1023,RANDOM,GENOMIC,WGS
SRR6002776,PHW30_CAU559_CHINRG995.bam,SRX3158127,TRUE,21501405,21501405,200,CAU559_CHINRG995,WGS of maize:PHW30,Maize Haplotype Map version 3,hmp3_PHW30,,CAU559_CHINRG995,RANDOM,GENOMIC,WGS
SRR6002777,XF77_CAU404_CHINRG642.bam,SRX3158126,TRUE,11243123,11243123,202,CAU404_CHINRG642,WGS of maize:XF77,Maize Haplotype Map version 3,hmp3_XF77,,CAU404_CHINRG642,RANDOM,GENOMIC,WGS
