srr,srr_alias,srx,paired,spots,spots_with_mate,avgLength,srx_alias,srx_title,srx_design,study_title,sample_alias,lib_layout,lib_name,lib_selection,lib_source,lib_strategy
SRR7903849,0721S1_L7_I603805.R1.clean.fastq.gz,SRX4740324,TRUE,503363004,503363004,300,14DAY_shoot_H3K4me3_ChIA_PET_rep1,H3K4me3-ChIA-PET of 14DAY shoot: maize B73,"B73,14DAY shoot,H3K4me3_ChIA-PET",ChIA-PET of Immature ear and shoot  forZea mays (rep2 old),14DAY_shoot_ChIA_PET,,14DAY_shoot_H3K4me3_ChIA_PET_rep1,other,GENOMIC,OTHER
SRR7908907,0721S1_L1_603805.R1.clean.fastq,SRX4740324,TRUE,246975777,246975777,300,14DAY_shoot_H3K4me3_ChIA_PET_rep1,H3K4me3-ChIA-PET of 14DAY shoot: maize B73,"B73,14DAY shoot,H3K4me3_ChIA-PET",ChIA-PET of Immature ear and shoot  forZea mays (rep2 old),14DAY_shoot_ChIA_PET,,14DAY_shoot_H3K4me3_ChIA_PET_rep1,other,GENOMIC,OTHER
SRR7908908,0721S1_L2_I603805.R1.clean.fastq,SRX4740324,TRUE,87610940,87610940,300,14DAY_shoot_H3K4me3_ChIA_PET_rep1,H3K4me3-ChIA-PET of 14DAY shoot: maize B73,"B73,14DAY shoot,H3K4me3_ChIA-PET",ChIA-PET of Immature ear and shoot  forZea mays (rep2 old),14DAY_shoot_ChIA_PET,,14DAY_shoot_H3K4me3_ChIA_PET_rep1,other,GENOMIC,OTHER
SRR7903853,7210_L8_I603801.R1.clean.fastq.gz,SRX4740320,TRUE,945831154,945831154,300,Immature_ear_H3K4me3_ChIA_PET_rep1,H3K4me3-ChIA-PET of immature ear: maize B73,"B73,Immature ear,H3K4me3_ChIA-PET",ChIA-PET of Immature ear and shoot  forZea mays (rep2 old),Immature_ear_ChIA_PET,,Immature_ear_H3K4me3_ChIA_PET_rep1,other,GENOMIC,OTHER
SRR7903846,SK-2_L5_601802.R1.clean.fastq.gz,SRX4740327,TRUE,723908023,723908023,300,14DAY_shoot_H3K27ac_ChIA_PET_rep2,H3K27ac-ChIA-PET of 14DAY shoot: maize B73,"B73,14DAY shoot,H3K27ac_ChIA-PET",ChIA-PET of Immature ear and shoot  forZea mays (rep2 old),14DAY_shoot_ChIA_PET,,14DAY_shoot_H3K27ac_ChIA_PET_rep2,other,GENOMIC,ChIA-PET
SRR7903847,SK10_L1_I601804.R2.clean.fastq.gz,SRX4740326,TRUE,763064872,763064872,300,14DAY_shoot_H3K27ac_ChIA_PET_rep1,H3K27ac-ChIA-PET of 14DAY shoot: maize B73,"B73,14DAY shoot,H3K27ac_ChIA-PET",ChIA-PET of Immature ear and shoot  forZea mays (rep2 old),14DAY_shoot_ChIA_PET,,14DAY_shoot_H3K27ac_ChIA_PET_rep1,other,GENOMIC,ChIA-PET
SRR7903848,0721S2_L1_603808.R1.clean.fastq.gz,SRX4740325,TRUE,373916852,373916852,300,14DAY_shoot_H3K4me3_ChIA_PET_rep2,H3K4me3-ChIA-PET of 14DAY shoot: maize B73,"B73,14DAY shoot,H3K4me3_ChIA-PET",ChIA-PET of Immature ear and shoot  forZea mays (rep2 old),14DAY_shoot_ChIA_PET,,14DAY_shoot_H3K4me3_ChIA_PET_rep2,other,GENOMIC,ChIA-PET
SRR7903850,0724EK1_L1_I603806.R2.clean.fastq.gz,SRX4740323,TRUE,318858124,318858124,300,Immature_ear_H3K27ac_ChIA_PET_rep2,H3K27ac-ChIA-PET of immature ear: maize B73,"B73,Immature ear,H3K27ac_ChIA-PET",ChIA-PET of Immature ear and shoot  forZea mays (rep2 old),Immature_ear_ChIA_PET,,Immature_ear_H3K27ac_ChIA_PET_rep2,other,GENOMIC,ChIA-PET
SRR7903851,EK-2_L3_I601804.R2.clean.fastq.gz,SRX4740322,TRUE,760124767,760124767,300,Immature_ear_H3K27ac_ChIA_PET_rep1,H3K27ac-ChIA-PET of immature ear: maize B73,"B73,Immature ear,H3K27ac_ChIA-PET",ChIA-PET of Immature ear and shoot  forZea mays (rep2 old),Immature_ear_ChIA_PET,,Immature_ear_H3K27ac_ChIA_PET_rep1,other,GENOMIC,ChIA-PET
SRR7903852,72100_L6_603803.R2.clean.fastq.gz,SRX4740321,TRUE,448555837,448555837,300,Immature_ear_H3K4me3_ChIA_PET_rep2,H3K4me3-ChIA-PET of immature ear: maize B73,"B73,Immature ear,H3K4me3_ChIA-PET",ChIA-PET of Immature ear and shoot  forZea mays (rep2 old),Immature_ear_ChIA_PET,,Immature_ear_H3K4me3_ChIA_PET_rep2,other,GENOMIC,ChIA-PET
SRR7754482,Liu-1_L3_I35.R2.clean.fastq.gz,SRX4610388,TRUE,13388377,13388377,300,Immature_ear_RNA_seq_rep1,RNA-seq of immature ear: maize B73,"B73,Immature ear,RNA-seq",RNA-seq for Immature ear of Zea mays B73,RNA_seq_in_Immature ear,,Immature_ear_RNA_seq_rep1,RANDOM PCR,TRANSCRIPTOMIC,RNA-Seq
SRR7754483,Liu-2_L3_I36.R1.clean.fastq.gz,SRX4610387,TRUE,13369996,13369996,300,Immature_ear_RNA_seq_rep2,RNA-seq of immature ear: maize B73,"B73,Immature ear,RNA-seq",RNA-seq for Immature ear of Zea mays B73,RNA_seq_in_Immature ear,,Immature_ear_RNA_seq_rep2,RANDOM PCR,TRANSCRIPTOMIC,RNA-Seq
SRR7741920,SM-1_R2.fq.gz,SRX4598182,TRUE,44404978,44404978,300,14DAY_shoot_H3K4me3_ChIP_seq_treat_rep1,H3K4me3-ChIP-seq of 14DAY shoot:maize B73,"B73,14DAY shoot,H3K4me3_ChIP-seq(treat)",chip-seq of Immature ear and Shoot of B73 maize,ChIP_seq_in_14DAY_shoot,,14DAY_shoot_H3K4me3_ChIP_seq_treat_rep1,ChIP,GENOMIC,ChIP-Seq
SRR7741921,SM-2_R1.fq.gz,SRX4598181,TRUE,50302675,50302675,300,14DAY_shoot_H3K4me3_ChIP_seq_treat_rep2,H3K4me3-ChIP-seq of 14DAY shoot:maize B73,"B73,14DAY shoot,H3K4me3_ChIP-seq(treat)",chip-seq of Immature ear and Shoot of B73 maize,ChIP_seq_in_14DAY_shoot,,14DAY_shoot_H3K4me3_ChIP_seq_treat_rep2,ChIP,GENOMIC,ChIP-Seq
SRR7741922,SK-1_R2.fq.gz,SRX4598180,TRUE,44450065,44450065,300,14DAY_shoot_H3K27ac_ChIP_seq_treat_rep1,H3K27ac-ChIP-seq of 14DAY shoot:maize B73,"B73,14DAY shoot,H3K27ac_ChIP-seq(treat)",chip-seq of Immature ear and Shoot of B73 maize,ChIP_seq_in_14DAY_shoot,,14DAY_shoot_H3K27ac_ChIP_seq_treat_rep1,ChIP,GENOMIC,ChIP-Seq
SRR7741923,SK-2_R2.fq.gz,SRX4598179,TRUE,49989168,49989168,300,14DAY_shoot_H3K27ac_ChIP_seq_treat_rep2,H3K27ac-ChIP-seq of 14DAY shoot:maize B73,"B73,14DAY shoot,H3K27ac_ChIP_seq(treat)",chip-seq of Immature ear and Shoot of B73 maize,ChIP_seq_in_14DAY_shoot,,14DAY_shoot_H3K27ac_ChIP_seq_treat_rep2,ChIP,GENOMIC,ChIP-Seq
SRR7741924,EM-2_R1.fq.gz,SRX4598178,TRUE,41307461,41307461,300,Immature_ear_H3K4me3_ChIP_seq_treat_rep1,H3K4me3-ChIP-seq of immature ear:maize B73,"B73,Immature ear,H3K4me3_ChIP-seq(treat)",chip-seq of Immature ear and Shoot of B73 maize,ChIP_seq_in_Immature_ear,,Immature_ear_H3K4me3_ChIP_seq_treat_rep1,ChIP,GENOMIC,ChIP-Seq
SRR7741925,EM-3_R2.fq.gz,SRX4598177,TRUE,41967630,41967630,300,Immature_ear_H3K4me3_ChIP_seq_treat_rep2,H3K4me3-ChIP-seq of immature ear:maize B73,"B73,Immature ear,H3K4me3_ChIP-seq(treat)",chip-seq of Immature ear and Shoot of B73 maize,ChIP_seq_in_Immature_ear,,Immature_ear_H3K4me3_ChIP_seq_treat_rep2,ChIP,GENOMIC,ChIP-Seq
