srr,srr_alias,srx,paired,spots,spots_with_mate,avgLength,srx_alias,srx_title,srx_design,study_title,sample_alias,lib_layout,lib_name,lib_selection,lib_source,lib_strategy
SRR7970747,cle7-rep1_2.fastq.gz,SRX4803897,TRUE,15855665,15855665,289,cle7_rep1,maize Zmcle7 ear tip RNAseq biological replicate 1,"RNA-Seq was carried out with plants growing under standard long-day greenhouse (16h day/ 8h night) and summer field conditions (Uplands Farm, Cold Spring Harbor, New York USA). Female inflorescence meristems (~0.5 mm) from a segregating population were dissected from growing ears (2-7 mm length), total RNA was extracted using Direct-zol RNA kit (Zymo Research) and sequenced by Illumina NextSeq 500 platform at the Cold Spring Harbor Laboratory Genome Center (Woodbury, NY).",Maize Zmcle7 mutant female inflorescence meristems RNA-seq,cle7_RNASEQ,,cle7_rep1,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR7970748,cle7-rep2_2.fastq.gz,SRX4803896,TRUE,15014254,15014254,286,cle7_rep2,maize Zmcle7 ear tip RNAseq biological replicate 2,"RNA-Seq was carried out with plants growing under standard long-day greenhouse (16h day/ 8h night) and summer field conditions (Uplands Farm, Cold Spring Harbor, New York USA). Female inflorescence meristems (~0.5 mm) from a segregating population were dissected from growing ears (2-7 mm length), total RNA was extracted using Direct-zol RNA kit (Zymo Research) and sequenced by Illumina NextSeq 500 platform at the Cold Spring Harbor Laboratory Genome Center (Woodbury, NY).",Maize Zmcle7 mutant female inflorescence meristems RNA-seq,cle7_RNASEQ,,cle7_rep2,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR7970749,WT-rep1_2.fastq.gz,SRX4803895,TRUE,20189921,20189921,299,WT_rep1,maize WT ear tip RNAseq biological replicate 1,"RNA-Seq was carried out with plants growing under standard long-day greenhouse (16h day/ 8h night) and summer field conditions (Uplands Farm, Cold Spring Harbor, New York USA). Female inflorescence meristems (~0.5 mm) from a segregating population were dissected from growing ears (2-7 mm length), total RNA was extracted using Direct-zol RNA kit (Zymo Research) and sequenced by Illumina NextSeq 500 platform at the Cold Spring Harbor Laboratory Genome Center (Woodbury, NY).",Maize Zmcle7 mutant female inflorescence meristems RNA-seq,cle7_RNASEQ,,WT_rep1,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR7970750,WT-rep2_1.fastq.gz,SRX4803894,TRUE,18309496,18309496,293,WT_rep2,maize WT ear tip RNAseq biological replicate 2,"RNA-Seq was carried out with plants growing under standard long-day greenhouse (16h day/ 8h night) and summer field conditions (Uplands Farm, Cold Spring Harbor, New York USA). Female inflorescence meristems (~0.5 mm) from a segregating population were dissected from growing ears (2-7 mm length), total RNA was extracted using Direct-zol RNA kit (Zymo Research) and sequenced by Illumina NextSeq 500 platform at the Cold Spring Harbor Laboratory Genome Center (Woodbury, NY).",Maize Zmcle7 mutant female inflorescence meristems RNA-seq,cle7_RNASEQ,,WT_rep2,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR7690951,GSM3331242_r1,SRX4550519,TRUE,22149432,22149432,200,GSM3331242,GSM3331242: rbm48-umu2 +/+ (WT) Rep4; Zea mays; RNA-Seq,,RNA-Seq mapping enabled quantitative analysis of gene expression differences between WT and rbm48 mutants in Zea mays (Maize).,GSM3331242,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR7690950,GSM3331241_r1,SRX4550518,TRUE,16825911,16825911,200,GSM3331241,GSM3331241: rbm48-umu2 +/+ (WT) Rep3; Zea mays; RNA-Seq,,RNA-Seq mapping enabled quantitative analysis of gene expression differences between WT and rbm48 mutants in Zea mays (Maize).,GSM3331241,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR7690949,GSM3331240_r1,SRX4550517,TRUE,27800576,27800576,200,GSM3331240,GSM3331240: rbm48-umu2 +/+ (WT) Rep2; Zea mays; RNA-Seq,,RNA-Seq mapping enabled quantitative analysis of gene expression differences between WT and rbm48 mutants in Zea mays (Maize).,GSM3331240,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR7690948,GSM3331239_r1,SRX4550516,TRUE,23906030,23906030,200,GSM3331239,GSM3331239: rbm48-umu2 +/+ (WT) Rep1; Zea mays; RNA-Seq,,RNA-Seq mapping enabled quantitative analysis of gene expression differences between WT and rbm48 mutants in Zea mays (Maize).,GSM3331239,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR7690947,GSM3331238_r1,SRX4550515,TRUE,23422258,23422258,200,GSM3331238,GSM3331238: rbm48-umu2 -/- Rep4; Zea mays; RNA-Seq,,RNA-Seq mapping enabled quantitative analysis of gene expression differences between WT and rbm48 mutants in Zea mays (Maize).,GSM3331238,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR7690946,GSM3331237_r1,SRX4550514,TRUE,22511609,22511609,200,GSM3331237,GSM3331237: rbm48-umu2 -/- Rep3; Zea mays; RNA-Seq,,RNA-Seq mapping enabled quantitative analysis of gene expression differences between WT and rbm48 mutants in Zea mays (Maize).,GSM3331237,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR7690945,GSM3331236_r1,SRX4550513,TRUE,22487118,22487118,200,GSM3331236,GSM3331236: rbm48-umu2 -/- Rep2; Zea mays; RNA-Seq,,RNA-Seq mapping enabled quantitative analysis of gene expression differences between WT and rbm48 mutants in Zea mays (Maize).,GSM3331236,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR7690944,GSM3331235_r1,SRX4550512,TRUE,21297734,21297734,200,GSM3331235,GSM3331235: rbm48-umu2 -/- Rep1; Zea mays; RNA-Seq,,RNA-Seq mapping enabled quantitative analysis of gene expression differences between WT and rbm48 mutants in Zea mays (Maize).,GSM3331235,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
