srr,srr_alias,srx,paired,spots,spots_with_mate,avgLength,srx_alias,srx_title,study_title,sample_alias,lib_layout,lib_name,lib_selection,lib_source,lib_strategy
SRR1507206,T192,SRX646332,TRUE,243456912,243456912,202,MLT84192-T192,Maize 2nd leaf transcriptome at T192,Zea mays subsp. mays strain:White Crystal Transcriptome or Gene expression,maize leaf transcriptomes,,,PolyA,TRANSCRIPTOMIC,RNA-Seq
SRR1507205,T168,SRX646331,TRUE,235417723,235417723,202,MLT84192-T168,Maize 2nd leaf trancriptome at T168,Zea mays subsp. mays strain:White Crystal Transcriptome or Gene expression,maize leaf transcriptomes,,,PolyA,TRANSCRIPTOMIC,RNA-Seq
SRR1507204,T156,SRX646330,TRUE,224336322,224336322,202,MLT84192-T156,Maize 2nd leaf transcriptome at T156,Zea mays subsp. mays strain:White Crystal Transcriptome or Gene expression,maize leaf transcriptomes,,,PolyA,TRANSCRIPTOMIC,RNA-Seq
SRR1507203,T144,SRX646329,TRUE,269072123,269072123,202,MLT84192-T144,Maize 2nd leaf transcriptome at T144,Zea mays subsp. mays strain:White Crystal Transcriptome or Gene expression,maize leaf transcriptomes,,,PolyA,TRANSCRIPTOMIC,RNA-Seq
SRR1507202,T132,SRX646328,TRUE,238676908,238676908,202,MLT84192-T132,Maize 2nd leaf transcriptome at T132,Zea mays subsp. mays strain:White Crystal Transcriptome or Gene expression,maize leaf transcriptomes,,,PolyA,TRANSCRIPTOMIC,RNA-Seq
SRR1507201,T120,SRX646327,TRUE,243642414,243642414,202,MLT84192-T120,Maize 2nd leaf transcriptome at T120,Zea mays subsp. mays strain:White Crystal Transcriptome or Gene expression,maize leaf transcriptomes,,,PolyA,TRANSCRIPTOMIC,RNA-Seq
SRR1507200,T108,SRX646326,TRUE,217401796,217401796,202,MLT84192-T0108,Maize 2nd leaf transcriptome at T108,Zea mays subsp. mays strain:White Crystal Transcriptome or Gene expression,maize leaf transcriptomes,,,PolyA,TRANSCRIPTOMIC,RNA-Seq
SRR1507199,T096,SRX646325,TRUE,281029167,281029167,202,MLT84192-T096,Maize 2nd leaf transcriptome at T096,Zea mays subsp. mays strain:White Crystal Transcriptome or Gene expression,maize leaf transcriptomes,,ST-DE02,PolyA,TRANSCRIPTOMIC,RNA-Seq
SRR1507198,ST-DI03,SRX646324,TRUE,227896258,227896258,202,MLT84192-T084,Maize 2nd leaf transcriptome at T084,Zea mays subsp. mays strain:White Crystal Transcriptome or Gene expression,maize leaf transcriptomes,,T084,PolyA,TRANSCRIPTOMIC,RNA-Seq
SRR1507197,MLT84192-T084,SRX646318,FALSE,100051202,0,101,MLT84192,Maize Leaf transcriptomes T084-T192,Zea mays subsp. mays strain:White Crystal Transcriptome or Gene expression,maize leaf transcriptomes,,MLT84192,PolyA,TRANSCRIPTOMIC,RNA-Seq
