srr,srr_alias,srx,paired,spots,spots_with_mate,avgLength,srx_alias,srx_title,study_title,sample_alias,lib_layout,lib_name,lib_selection,lib_source,lib_strategy
SRR1020270,B73xOh43_14DAP_ENDO_50bp,SRX371858,TRUE,76258876,76258876,100,14 DAP Maize Endosperm-B73xOh43_RNAseq-50,14 DAP Maize Endosperm-B73xOh43_RNAseq-50Illumina HiSeq 2000,Zea mays Transcriptome or Gene expression,B73xOh43,,,unspecified,TRANSCRIPTOMIC,RNA-Seq
SRR1020275,Ki11xMo17_14DAP_ENDO_50bp,SRX371857,TRUE,70061180,70061180,100,14 DAP Maize Endosperm-Ki11xMo17-50,14 DAP Maize Endosperm-Ki11xMo17-50Illumina HiSeq 2000,Zea mays Transcriptome or Gene expression,Ki11xMo17,,,unspecified,TRANSCRIPTOMIC,RNA-Seq
SRR1020283,Mo17xKi11_14DAP_ENDO_50bp,SRX371856,TRUE,80850704,80850704,100,14 DAP Maize Endosperm-Mo17xKi11-50,14 DAP Maize Endosperm-Mo17xKi11-50Illumina HiSeq 2000,Zea mays Transcriptome or Gene expression,Mo17xKi11,,,unspecified,TRANSCRIPTOMIC,RNA-Seq
SRR1020271,Ki11xB73_14DAP_ENDO_50bp,SRX371855,TRUE,68673995,68673995,100,14 DAP Maize Endosperm-Ki11xB73-50,14 DAP Maize Endosperm-Ki11xB73-50Illumina HiSeq 2000,Zea mays Transcriptome or Gene expression,Ki11xB73,,,unspecified,TRANSCRIPTOMIC,RNA-Seq
SRR1020269,B73xKi11_14DAP_ENDO_50bp,SRX371854,TRUE,81078730,81078730,100,14 DAP Maize Endosperm-B73xKi11-50,14 DAP Maize Endosperm-B73xKi11-50Illumina HiSeq 2000,Zea mays Transcriptome or Gene expression,B73xKi11,,,unspecified,TRANSCRIPTOMIC,RNA-Seq
SRR1020281,Mo17xOh43_14DAP_ENDO_50bp,SRX371853,TRUE,83057527,83057527,100,14 DAP Maize Endosperm-Oh43xMo17-50,14 DAP Maize Endosperm-Oh43xMo17-50Illumina HiSeq 2000,Zea mays Transcriptome or Gene expression,Oh43xMo17,,,unspecified,TRANSCRIPTOMIC,RNA-Seq
SRR1020285,Oh43xMo17_14DAP_ENDO_50bp,SRX371852,TRUE,71381877,71381877,100,14 DAP Maize Endosperm-Mo17xOh43-50,14 DAP Maize Endosperm-Mo17xOh43-50Illumina HiSeq 2000,Zea mays Transcriptome or Gene expression,Mo17xOh43,,,unspecified,TRANSCRIPTOMIC,RNA-Seq
SRR1020284,Oh43xB73_14DAP_ENDO_50bp,SRX371851,TRUE,78571885,78571885,100,14 DAP Maize Endosperm-Oh43xB73-50,14 DAP Maize Endosperm-Oh43xB73-50Illumina HiSeq 2000,Zea mays Transcriptome or Gene expression,Oh43xB73,,,unspecified,TRANSCRIPTOMIC,RNA-Seq
SRR1016214,Ki11xMo17_14DAP_ENDO,SRX371850,TRUE,122069879,122069879,200,14 DAP Maize Endosperm-Ki11xMo17,14 DAP Maize Endosperm-Ki11xMo17Illumina HiSeq 2000,Zea mays Transcriptome or Gene expression,Ki11xMo17,,,unspecified,TRANSCRIPTOMIC,RNA-Seq
SRR1016217,Mo17xKi11_14DAP_ENDO,SRX371849,TRUE,116341679,116341679,200,14 DAP Maize Endosperm-Mo17xKi11,14 DAP Maize Endosperm-Mo17xKi11Illumina HiSeq 2000,Zea mays Transcriptome or Gene expression,Mo17xKi11,,,unspecified,TRANSCRIPTOMIC,RNA-Seq
SRR1016213,Ki11xB73_14DAP_ENDO,SRX371848,TRUE,122891848,122891848,200,14 DAP Maize Endosperm-Ki11xB73,14 DAP Maize Endosperm-Ki11xB73Illumina HiSeq 2000,Zea mays Transcriptome or Gene expression,Ki11xB73,,,unspecified,TRANSCRIPTOMIC,RNA-Seq
SRR1016026,B73xKi11_14DAP_ENDO,SRX371847,TRUE,117047826,117047826,200,14 DAP Maize Endosperm-B73xKi11,14 DAP Maize Endosperm-B73xKi11Illumina HiSeq 2000,Zea mays Transcriptome or Gene expression,B73xKi11,,,unspecified,TRANSCRIPTOMIC,RNA-Seq
SRR1016225,Oh43xMo17_14DAP_ENDO,SRX371846,TRUE,107917673,107917673,200,14 DAP Maize Endosperm-Oh43xMo17,14 DAP Maize Endosperm-Oh43xMo17Illumina HiSeq 2000,Zea mays Transcriptome or Gene expression,Oh43xMo17,,,unspecified,TRANSCRIPTOMIC,RNA-Seq
SRR1016220,Mo17xOh43_14DAP_ENDO,SRX371845,TRUE,124948375,124948375,200,14 DAP Maize Endosperm-Mo17xOh43,14 DAP Maize Endosperm-Mo17xOh43Illumina HiSeq 2000,Zea mays Transcriptome or Gene expression,Mo17xOh43,,,unspecified,TRANSCRIPTOMIC,RNA-Seq
SRR1016223,Oh43xB73_14DAP_ENDO,SRX371844,TRUE,119224058,119224058,200,14 DAP Maize Endosperm-Oh43xB73,14 DAP Maize Endosperm-Oh43xB73Illumina HiSeq 2000,Zea mays Transcriptome or Gene expression,Oh43xB73,,,unspecified,TRANSCRIPTOMIC,RNA-Seq
SRR1016209,B73xOh43_14DAP_ENDO,SRX367159,TRUE,114069200,114069200,200,NAM_RNAseq_Imprinting,14 DAP Maize Endosperm,Zea mays Transcriptome or Gene expression,B73xOh43,,,unspecified,TRANSCRIPTOMIC,RNA-Seq
