srr,srr_alias,srx,paired,spots,spots_with_mate,avgLength,srx_alias,srx_title,srx_design,study_title,sample_alias,lib_layout,lib_name,lib_selection,lib_source,lib_strategy
ERR1059485,E-MTAB-3965:NG-7084_R_8W__99_lib34146_1992_7_,ERX1139636,TRUE,20554532,20554532,202,E-MTAB-3965:MAGIC_99,Illumina HiSeq 2000 paired end sequencing; Transcriptome analysis of 94 RILs of a maize MAGIC RIL population,Transcriptome analysis of 94 RILs of a maize MAGIC RIL population,Transcriptome analysis of 94 RILs of a maize MAGIC RIL population,SAMEA3598438,,MAGIC_99,RANDOM,TRANSCRIPTOMIC,RNA-Seq
ERR1059484,E-MTAB-3965:NG-7084_R_8W__98_lib34145_1992_7_,ERX1139635,TRUE,17061055,17061055,202,E-MTAB-3965:MAGIC_98,Illumina HiSeq 2000 paired end sequencing; Transcriptome analysis of 94 RILs of a maize MAGIC RIL population,Transcriptome analysis of 94 RILs of a maize MAGIC RIL population,Transcriptome analysis of 94 RILs of a maize MAGIC RIL population,SAMEA3598437,,MAGIC_98,RANDOM,TRANSCRIPTOMIC,RNA-Seq
ERR1059483,E-MTAB-3965:NG-7084_R_8W__97_lib34144_1992_7_,ERX1139634,TRUE,18523371,18523371,202,E-MTAB-3965:MAGIC_97,Illumina HiSeq 2000 paired end sequencing; Transcriptome analysis of 94 RILs of a maize MAGIC RIL population,Transcriptome analysis of 94 RILs of a maize MAGIC RIL population,Transcriptome analysis of 94 RILs of a maize MAGIC RIL population,SAMEA3598436,,MAGIC_97,RANDOM,TRANSCRIPTOMIC,RNA-Seq
ERR1059482,E-MTAB-3965:NG-7084_R_8W__96_lib34143_1992_7_,ERX1139633,TRUE,19199979,19199979,202,E-MTAB-3965:MAGIC_96,Illumina HiSeq 2000 paired end sequencing; Transcriptome analysis of 94 RILs of a maize MAGIC RIL population,Transcriptome analysis of 94 RILs of a maize MAGIC RIL population,Transcriptome analysis of 94 RILs of a maize MAGIC RIL population,SAMEA3598435,,MAGIC_96,RANDOM,TRANSCRIPTOMIC,RNA-Seq
ERR1059481,E-MTAB-3965:NG-7084_R_8W__95_lib34142_1992_7_,ERX1139632,TRUE,19590049,19590049,202,E-MTAB-3965:MAGIC_95,Illumina HiSeq 2000 paired end sequencing; Transcriptome analysis of 94 RILs of a maize MAGIC RIL population,Transcriptome analysis of 94 RILs of a maize MAGIC RIL population,Transcriptome analysis of 94 RILs of a maize MAGIC RIL population,SAMEA3598434,,MAGIC_95,RANDOM,TRANSCRIPTOMIC,RNA-Seq
ERR1059480,E-MTAB-3965:NG-7084_R_8W__94_lib34141_1992_7_,ERX1139631,TRUE,17067535,17067535,202,E-MTAB-3965:MAGIC_94,Illumina HiSeq 2000 paired end sequencing; Transcriptome analysis of 94 RILs of a maize MAGIC RIL population,Transcriptome analysis of 94 RILs of a maize MAGIC RIL population,Transcriptome analysis of 94 RILs of a maize MAGIC RIL population,SAMEA3598433,,MAGIC_94,RANDOM,TRANSCRIPTOMIC,RNA-Seq
ERR1059479,E-MTAB-3965:NG-7084_R_8W__93_lib34140_1992_7_,ERX1139630,TRUE,26731724,26731724,202,E-MTAB-3965:MAGIC_93,Illumina HiSeq 2000 paired end sequencing; Transcriptome analysis of 94 RILs of a maize MAGIC RIL population,Transcriptome analysis of 94 RILs of a maize MAGIC RIL population,Transcriptome analysis of 94 RILs of a maize MAGIC RIL population,SAMEA3598432,,MAGIC_93,RANDOM,TRANSCRIPTOMIC,RNA-Seq
ERR1059478,E-MTAB-3965:NG-7084_R_8W__92_lib34139_1992_7_,ERX1139629,TRUE,18898290,18898290,202,E-MTAB-3965:MAGIC_92,Illumina HiSeq 2000 paired end sequencing; Transcriptome analysis of 94 RILs of a maize MAGIC RIL population,Transcriptome analysis of 94 RILs of a maize MAGIC RIL population,Transcriptome analysis of 94 RILs of a maize MAGIC RIL population,SAMEA3598431,,MAGIC_92,RANDOM,TRANSCRIPTOMIC,RNA-Seq
ERR1059477,E-MTAB-3965:NG-7084_R_8W__91_lib34138_1992_7_,ERX1139628,TRUE,15873408,15873408,202,E-MTAB-3965:MAGIC_91,Illumina HiSeq 2000 paired end sequencing; Transcriptome analysis of 94 RILs of a maize MAGIC RIL population,Transcriptome analysis of 94 RILs of a maize MAGIC RIL population,Transcriptome analysis of 94 RILs of a maize MAGIC RIL population,SAMEA3598430,,MAGIC_91,RANDOM,TRANSCRIPTOMIC,RNA-Seq
ERR1059476,E-MTAB-3965:NG-7084_R_8W__90_lib34137_1992_7_,ERX1139627,TRUE,21821910,21821910,202,E-MTAB-3965:MAGIC_90,Illumina HiSeq 2000 paired end sequencing; Transcriptome analysis of 94 RILs of a maize MAGIC RIL population,Transcriptome analysis of 94 RILs of a maize MAGIC RIL population,Transcriptome analysis of 94 RILs of a maize MAGIC RIL population,SAMEA3598429,,MAGIC_90,RANDOM,TRANSCRIPTOMIC,RNA-Seq
ERR1059475,E-MTAB-3965:NG-6860_R_8W__9_lib28100_1703_1_,ERX1139626,TRUE,13730813,13730813,202,E-MTAB-3965:MAGIC_9,Illumina HiSeq 2000 paired end sequencing; Transcriptome analysis of 94 RILs of a maize MAGIC RIL population,Transcriptome analysis of 94 RILs of a maize MAGIC RIL population,Transcriptome analysis of 94 RILs of a maize MAGIC RIL population,SAMEA3598428,,MAGIC_9,RANDOM,TRANSCRIPTOMIC,RNA-Seq
ERR1059474,E-MTAB-3965:NG-7084_R_8W__89_lib34136_1992_1_,ERX1139625,TRUE,18939353,18939353,202,E-MTAB-3965:MAGIC_89,Illumina HiSeq 2000 paired end sequencing; Transcriptome analysis of 94 RILs of a maize MAGIC RIL population,Transcriptome analysis of 94 RILs of a maize MAGIC RIL population,Transcriptome analysis of 94 RILs of a maize MAGIC RIL population,SAMEA3598427,,MAGIC_89,RANDOM,TRANSCRIPTOMIC,RNA-Seq
ERR1059473,E-MTAB-3965:NG-7084_R_8W__88_lib34135_1992_1_,ERX1139624,TRUE,15525946,15525946,202,E-MTAB-3965:MAGIC_88,Illumina HiSeq 2000 paired end sequencing; Transcriptome analysis of 94 RILs of a maize MAGIC RIL population,Transcriptome analysis of 94 RILs of a maize MAGIC RIL population,Transcriptome analysis of 94 RILs of a maize MAGIC RIL population,SAMEA3598426,,MAGIC_88,RANDOM,TRANSCRIPTOMIC,RNA-Seq
ERR1059472,E-MTAB-3965:NG-7084_R_8W__87_lib34134_1992_1_,ERX1139623,TRUE,18371413,18371413,202,E-MTAB-3965:MAGIC_87,Illumina HiSeq 2000 paired end sequencing; Transcriptome analysis of 94 RILs of a maize MAGIC RIL population,Transcriptome analysis of 94 RILs of a maize MAGIC RIL population,Transcriptome analysis of 94 RILs of a maize MAGIC RIL population,SAMEA3598425,,MAGIC_87,RANDOM,TRANSCRIPTOMIC,RNA-Seq
ERR1059471,E-MTAB-3965:NG-7084_R_8W__86_lib34133_1992_1_,ERX1139622,TRUE,19705417,19705417,202,E-MTAB-3965:MAGIC_86,Illumina HiSeq 2000 paired end sequencing; Transcriptome analysis of 94 RILs of a maize MAGIC RIL population,Transcriptome analysis of 94 RILs of a maize MAGIC RIL population,Transcriptome analysis of 94 RILs of a maize MAGIC RIL population,SAMEA3598424,,MAGIC_86,RANDOM,TRANSCRIPTOMIC,RNA-Seq
