srr,srr_alias,srx,paired,spots,spots_with_mate,avgLength,srx_alias,srx_title,srx_design,study_title,sample_alias,lib_layout,lib_name,lib_selection,lib_source,lib_strategy
SRR4431557,GSM2354324_r1,SRX2251460,FALSE,32960268,0,95,GSM2354324,GSM2354324: P040_3b; Zea mays; RNA-Seq,,Genome-wide expression profiling and phenotypic evaluation of European maize inbreds at seedling stage in response to heat stress,GSM2354324,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR4431556,GSM2354323_r1,SRX2251459,FALSE,20615786,0,95,GSM2354323,GSM2354323: P040_3a; Zea mays; RNA-Seq,,Genome-wide expression profiling and phenotypic evaluation of European maize inbreds at seedling stage in response to heat stress,GSM2354323,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR4431555,GSM2354322_r1,SRX2251458,FALSE,28242730,0,95,GSM2354322,GSM2354322: S070_3b; Zea mays; RNA-Seq,,Genome-wide expression profiling and phenotypic evaluation of European maize inbreds at seedling stage in response to heat stress,GSM2354322,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR4431554,GSM2354321_r1,SRX2251457,FALSE,34862373,0,95,GSM2354321,GSM2354321: S070_3a; Zea mays; RNA-Seq,,Genome-wide expression profiling and phenotypic evaluation of European maize inbreds at seedling stage in response to heat stress,GSM2354321,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR4431553,GSM2354320_r1,SRX2251456,FALSE,24041377,0,95,GSM2354320,GSM2354320: S067_3b; Zea mays; RNA-Seq,,Genome-wide expression profiling and phenotypic evaluation of European maize inbreds at seedling stage in response to heat stress,GSM2354320,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR4431552,GSM2354319_r1,SRX2251455,FALSE,34052611,0,95,GSM2354319,GSM2354319: S067_3a; Zea mays; RNA-Seq,,Genome-wide expression profiling and phenotypic evaluation of European maize inbreds at seedling stage in response to heat stress,GSM2354319,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR4431551,GSM2354318_r1,SRX2251454,FALSE,34812945,0,95,GSM2354318,GSM2354318: L012_3b; Zea mays; RNA-Seq,,Genome-wide expression profiling and phenotypic evaluation of European maize inbreds at seedling stage in response to heat stress,GSM2354318,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR4431550,GSM2354317_r1,SRX2251453,FALSE,38080145,0,95,GSM2354317,GSM2354317: L012_3a; Zea mays; RNA-Seq,,Genome-wide expression profiling and phenotypic evaluation of European maize inbreds at seedling stage in response to heat stress,GSM2354317,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR4431549,GSM2354316_r1,SRX2251452,FALSE,27212589,0,95,GSM2354316,GSM2354316: L023_3b; Zea mays; RNA-Seq,,Genome-wide expression profiling and phenotypic evaluation of European maize inbreds at seedling stage in response to heat stress,GSM2354316,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR4431548,GSM2354315_r1,SRX2251451,FALSE,19488499,0,95,GSM2354315,GSM2354315: L023_3a; Zea mays; RNA-Seq,,Genome-wide expression profiling and phenotypic evaluation of European maize inbreds at seedling stage in response to heat stress,GSM2354315,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR4431547,GSM2354314_r1,SRX2251450,FALSE,36369841,0,95,GSM2354314,GSM2354314: L017_3b; Zea mays; RNA-Seq,,Genome-wide expression profiling and phenotypic evaluation of European maize inbreds at seedling stage in response to heat stress,GSM2354314,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR4431546,GSM2354313_r1,SRX2251449,FALSE,25245127,0,95,GSM2354313,GSM2354313: L017_3a; Zea mays; RNA-Seq,,Genome-wide expression profiling and phenotypic evaluation of European maize inbreds at seedling stage in response to heat stress,GSM2354313,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR4431545,GSM2354312_r1,SRX2251448,FALSE,36081203,0,95,GSM2354312,GSM2354312: S058_3b; Zea mays; RNA-Seq,,Genome-wide expression profiling and phenotypic evaluation of European maize inbreds at seedling stage in response to heat stress,GSM2354312,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR4431544,GSM2354311_r2,SRX2251447,FALSE,18654408,0,95,GSM2354311,GSM2354311: S058_3a; Zea mays; RNA-Seq,,Genome-wide expression profiling and phenotypic evaluation of European maize inbreds at seedling stage in response to heat stress,GSM2354311,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
