srr,srr_alias,srx,paired,spots,spots_with_mate,avgLength,srx_alias,srx_title,srx_design,study_title,sample_alias,lib_layout,lib_name,lib_selection,lib_source,lib_strategy
SRR4301752,b3Sorghumcold24h.fastq,SRX2196065,FALSE,19113747,0,51,b3-Sorghum-cold-24h,b3-Sorghum-cold-24h,,"Includes data from zea mays, setaria italica, and sorghum bicolor. Transcriptome",b3-Sorghum-cold-24h,,b3-Sorghum-cold-24h,RT-PCR,TRANSCRIPTOMIC,RNA-Seq
SRR4301751,b3Sorghumcold1h.fastq,SRX2196064,FALSE,17118700,0,51,b3-Sorghum-cold-1h,b3-Sorghum-cold-1h,,"Includes data from zea mays, setaria italica, and sorghum bicolor. Transcriptome",b3-Sorghum-cold-1h,,b3-Sorghum-cold-1h,RT-PCR,TRANSCRIPTOMIC,RNA-Seq
SRR4301750,b3Sorghumcold16h.fastq,SRX2196063,FALSE,18739168,0,51,b3-Sorghum-cold-16h,b3-Sorghum-cold-16h,,"Includes data from zea mays, setaria italica, and sorghum bicolor. Transcriptome",b3-Sorghum-cold-16h,,b3-Sorghum-cold-16h,RT-PCR,TRANSCRIPTOMIC,RNA-Seq
SRR4301749,b3Sorghumcold05h.fastq,SRX2196062,FALSE,17497260,0,51,b3-Sorghum-cold-05h,b3-Sorghum-cold-05h,,"Includes data from zea mays, setaria italica, and sorghum bicolor. Transcriptome",b3-Sorghum-cold-05h,,b3-Sorghum-cold-05h,RT-PCR,TRANSCRIPTOMIC,RNA-Seq
SRR4301748,b3MaizeControl6h.fastq,SRX2196061,FALSE,23238727,0,51,b3-Maize-control-6h,b3-Maize-control-6h,,"Includes data from zea mays, setaria italica, and sorghum bicolor. Transcriptome",b3-Maize-control-6h,,b3-Maize-control-6h,RT-PCR,TRANSCRIPTOMIC,RNA-Seq
SRR4301721,b3MaizeControl3h.fastq,SRX2196056,FALSE,22723979,0,51,b3-Maize-control-3h,b3-Maize-control-3h,,"Includes data from zea mays, setaria italica, and sorghum bicolor. Transcriptome",b3-Maize-control-3h,,b3-Maize-control-3h,RT-PCR,TRANSCRIPTOMIC,RNA-Seq
SRR4301720,b3MaizeControl24h.fastq,SRX2196055,FALSE,25529182,0,51,b3-Maize-control-24h,b3-Maize-control-24h,,"Includes data from zea mays, setaria italica, and sorghum bicolor. Transcriptome",b3-Maize-control-24h,,b3-Maize-control-24h,RT-PCR,TRANSCRIPTOMIC,RNA-Seq
SRR4301719,b3MaizeControl1h.fastq,SRX2196054,FALSE,18941031,0,51,b3-Maize-control-1h,b3-Maize-control-1h,,"Includes data from zea mays, setaria italica, and sorghum bicolor. Transcriptome",b3-Maize-control-1h,,b3-Maize-control-1h,RT-PCR,TRANSCRIPTOMIC,RNA-Seq
SRR4301718,b3MaizeControl16h.fastq,SRX2196053,FALSE,18201478,0,51,b3-Maize-control-16h,b3-Maize-control-16h,,"Includes data from zea mays, setaria italica, and sorghum bicolor. Transcriptome",b3-Maize-control-16h,,b3-Maize-control-16h,RT-PCR,TRANSCRIPTOMIC,RNA-Seq
SRR4301691,b3MaizeControl05h.fastq,SRX2196031,FALSE,20143202,0,51,b3-Maize-control-05h,b3-Maize-control-05h,,"Includes data from zea mays, setaria italica, and sorghum bicolor. Transcriptome",b3-Maize-control-05h,,b3-Maize-control-05h,RT-PCR,TRANSCRIPTOMIC,RNA-Seq
SRR4301690,b1FoxtailMilletControl24h.fastq,SRX2196030,FALSE,8942304,0,51,b1-FoxtailMillet-control-24h,b1-FoxtailMillet-control-24h,,"Includes data from zea mays, setaria italica, and sorghum bicolor. Transcriptome",b1-FoxtailMillet-control-24h,,b1-FoxtailMillet-control-24h,RT-PCR,TRANSCRIPTOMIC,RNA-Seq
SRR4301689,b3Maizecold6h.fastq,SRX2196029,FALSE,22850888,0,51,b3-Maize-cold-6h,b3-Maize-cold-6h,,"Includes data from zea mays, setaria italica, and sorghum bicolor. Transcriptome",b3-Maize-cold-6h,,b3-Maize-cold-6h,RT-PCR,TRANSCRIPTOMIC,RNA-Seq
SRR4301688,b3Maizecold3h.fastq,SRX2196028,FALSE,19664834,0,51,b3-Maize-cold-3h,b3-Maize-cold-3h,,"Includes data from zea mays, setaria italica, and sorghum bicolor. Transcriptome",b3-Maize-cold-3h,,b3-Maize-cold-3h,RT-PCR,TRANSCRIPTOMIC,RNA-Seq
SRR4301687,b3Maizecold24h.fastq,SRX2196027,FALSE,23678889,0,51,b3-Maize-cold-24h,b3-Maize-cold-24h,,"Includes data from zea mays, setaria italica, and sorghum bicolor. Transcriptome",b3-Maize-cold-24h,,b3-Maize-cold-24h,RT-PCR,TRANSCRIPTOMIC,RNA-Seq
SRR4301686,b3Maizecold1h.fastq,SRX2196026,FALSE,19414082,0,51,b3-Maize-cold-1h,b3-Maize-cold-1h,,"Includes data from zea mays, setaria italica, and sorghum bicolor. Transcriptome",b3-Maize-cold-1h,,b3-Maize-cold-1h,RT-PCR,TRANSCRIPTOMIC,RNA-Seq
SRR4301685,b3Maizecold16h.fastq,SRX2196025,FALSE,20447278,0,51,b3-Maize-cold-16h,b3-Maize-cold-16h,,"Includes data from zea mays, setaria italica, and sorghum bicolor. Transcriptome",b3-Maize-cold-16h,,b3-Maize-cold-16h,RT-PCR,TRANSCRIPTOMIC,RNA-Seq
SRR4301684,b3Maizecold05h.fastq,SRX2196024,FALSE,25467565,0,51,b3-Maize-cold-05h,b3-Maize-cold-05h,,"Includes data from zea mays, setaria italica, and sorghum bicolor. Transcriptome",b3-Maize-cold-05h,,b3-Maize-cold-05h,RT-PCR,TRANSCRIPTOMIC,RNA-Seq
SRR4301683,b3FoxtailMilletControl6h.fastq,SRX2196023,FALSE,19877538,0,51,b3-FoxtailMillet-control-6h,b3-FoxtailMillet-control-6h,,"Includes data from zea mays, setaria italica, and sorghum bicolor. Transcriptome",b3-FoxtailMillet-control-6h,,b3-FoxtailMillet-control-6h,RT-PCR,TRANSCRIPTOMIC,RNA-Seq
