srr,srr_alias,srx,paired,spots,spots_with_mate,avgLength,srx_alias,srx_title,study_title,sample_alias,lib_layout,lib_name,lib_selection,lib_source,lib_strategy
SRR5911956,5828_8601_25791_HJ72LBGXX_10344827_LMAN26_CML277_GCATGG_R1.fastq.gz,SRX3073119,FALSE,6672115,0,86,10344827_LMAN26_CML277_GCATGG,3' RNAseq of Zea mays,Zea mays Raw sequence reads,Maize 3 prime RNASeq,,10344827_LMAN26_CML277_GCATGG,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR5911957,5917_8601_26596_HLTCWBGXX_KAKRNA3_GShoot_CML277_AGTACT_R1.fastq.gz,SRX3073118,FALSE,5953466,0,86,KAKRNA3_GShoot_CML277_AGTACT,3' RNAseq of Zea mays,Zea mays Raw sequence reads,Maize 3 prime RNASeq,,KAKRNA3_GShoot_CML277_AGTACT,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR5911958,5947_8601_26613_HK3CTBGXX_KAKRNA4_10346258_GRoot_CML277_AGTACT_R1.fastq.gz,SRX3073117,FALSE,4290993,0,86,KAKRNA4_10346258_GRoot_CML277_AGTACT,3' RNAseq of Zea mays,Zea mays Raw sequence reads,Maize 3 prime RNASeq,,KAKRNA4_10346258_GRoot_CML277_AGTACT,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR5911959,6122_8601_27530_HJ7FKBGXX_KAKRNA28_L3Base_CML277_CAGATG_R1.fastq.gz,SRX3073116,FALSE,4737716,0,90,KAKRNA28_L3Base_CML277_CAGATG,3' RNAseq of Zea mays,Zea mays Raw sequence reads,Maize 3 prime RNASeq,,KAKRNA28_L3Base_CML277_CAGATG,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR5911960,6122_8601_27530_HJ7FKBGXX_KAKRNA28_L3Mid_CML277_GAACCT_R1.fastq.gz,SRX3073115,FALSE,3433243,0,90,KAKRNA28_L3Mid_CML277_GAACCT,3' RNAseq of Zea mays,Zea mays Raw sequence reads,Maize 3 prime RNASeq,,KAKRNA28_L3Mid_CML277_GAACCT,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR5911961,6122_8601_27530_HJ7FKBGXX_KAKRNA28_L3Tip_CML277_CCTAAG_R1.fastq.gz,SRX3073114,FALSE,4948994,0,90,KAKRNA28_L3Tip_CML277_CCTAAG,3' RNAseq of Zea mays,Zea mays Raw sequence reads,Maize 3 prime RNASeq,,KAKRNA28_L3Tip_CML277_CCTAAG,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR5911962,5825_8601_25788_HHT7JBGXX_10344823_GShoot_CML281_GATCAC_R1.fastq.gz,SRX3073113,FALSE,4616919,0,86,10344823_GShoot_CML281_GATCAC,3' RNAseq of Zea mays,Zea mays Raw sequence reads,Maize 3 prime RNASeq,,10344823_GShoot_CML281_GATCAC,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR5911963,5996_8601_26953_HLN3YBGXX_KAKRNA27_10346929_L3Tip_CML281_AGACCA_R1.fastq.gz,SRX3073112,FALSE,7049806,0,86,KAKRNA27_10346929_L3Tip_CML281_AGACCA,3' RNAseq of Zea mays,Zea mays Raw sequence reads,Maize 3 prime RNASeq,,KAKRNA27_10346929_L3Tip_CML281_AGACCA,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR5911964,6001_8601_26958_HNJ2MBGXX_KAKRNA26_L3Base_CML281_AGACCA_R1.fastq.gz,SRX3073111,FALSE,8002471,0,86,KAKRNA26_L3Base_CML281_AGACCA,3' RNAseq of Zea mays,Zea mays Raw sequence reads,Maize 3 prime RNASeq,,KAKRNA26_L3Base_CML281_AGACCA,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR5911965,5825_8601_25788_HHT7JBGXX_10344823_GShoot_CML287_CACTAA_R1.fastq.gz,SRX3073110,FALSE,4825470,0,86,10344823_GShoot_CML287_CACTAA,3' RNAseq of Zea mays,Zea mays Raw sequence reads,Maize 3 prime RNASeq,,10344823_GShoot_CML287_CACTAA,cDNA,TRANSCRIPTOMIC,RNA-Seq
