srr,srr_alias,srx,paired,spots,spots_with_mate,avgLength,srx_alias,srx_title,srx_design,study_title,sample_alias,lib_layout,lib_name,lib_selection,lib_source,lib_strategy
SRR8587156,473Stem1_1.csfasta,SRX5387737,FALSE,12130312,0,50,ST473,Differential expression of cell wall-related genes during maize stem development,Maize B73 Field Planted Stem Rind Tissue Internode 2 56 Days After Planting,Differential expression of cell wall-related genes during maize stem development,ST473,,ST473,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR8587157,474Stem1_1.csfasta,SRX5387736,FALSE,12537196,0,50,ST474,Differential expression of cell wall-related genes during maize stem development,Maize B73 Field Planted Stem Rind Tissue Internode 4 49 Days After Planting,Differential expression of cell wall-related genes during maize stem development,ST474,,ST474,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR8587158,475Stem1_1.csfasta,SRX5387735,FALSE,8756236,0,50,ST475,Differential expression of cell wall-related genes during maize stem development,Maize B73 Field Planted Stem Rind Tissue Internode 3 56 Days After Planting,Differential expression of cell wall-related genes during maize stem development,ST475,,ST475,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR8587159,476Stem1_1.csfasta,SRX5387734,FALSE,5871051,0,50,ST476,Differential expression of cell wall-related genes during maize stem development,Maize B73 Field Planted Stem Rind Tissue Internode 3 62 Days After Planting,Differential expression of cell wall-related genes during maize stem development,ST476,,ST476,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR8587160,734Stem1_1.csfasta,SRX5387733,FALSE,8520270,0,50,ST734,Differential expression of cell wall-related genes during maize stem development,Maize B73 Field Planted Stem Rind Tissue Internode 5 42 Days After Planting,Differential expression of cell wall-related genes during maize stem development,ST734,,ST734,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR8587161,735Stem1_1.csfasta,SRX5387732,FALSE,9756890,0,50,ST735,Differential expression of cell wall-related genes during maize stem development,Maize B73 Field Planted Stem Rind Tissue Internode 6 47 Days After Planting,Differential expression of cell wall-related genes during maize stem development,ST735,,ST735,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR8587162,736Stem1_1.csfasta,SRX5387731,FALSE,10892560,0,50,ST736,Differential expression of cell wall-related genes during maize stem development,Maize B73 Field Planted Stem Rind Tissue Internode 5 49 Days After Planting,Differential expression of cell wall-related genes during maize stem development,ST736,,ST736,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR8587163,737Stem1_1.csfasta,SRX5387730,FALSE,10151046,0,50,ST737,Differential expression of cell wall-related genes during maize stem development,Maize B73 Field Planted Stem Rind Tissue Internode 4 56 Days After Planting,Differential expression of cell wall-related genes during maize stem development,ST737,,ST737,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR8587164,738Stem1_1.csfasta,SRX5387729,FALSE,8762152,0,50,ST738,Differential expression of cell wall-related genes during maize stem development,Maize B73 Field Planted Stem Rind Tissue Internode 7 56 Days After Planting,Differential expression of cell wall-related genes during maize stem development,ST738,,ST738,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR8587165,739Stem1_1.csfasta,SRX5387728,FALSE,5337278,0,50,ST739,Differential expression of cell wall-related genes during maize stem development,Maize B73 Field Planted Stem Rind Tissue Internode 8 56 Days After Planting,Differential expression of cell wall-related genes during maize stem development,ST739,,ST739,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR8587166,I10_1.fastq,SRX5387727,TRUE,39593925,39593925,199,I10,Differential expression of cell wall-related genes during maize stem development,Maize Mo17 Greenhouse Planted Stem Rind Tissue Internode 5 49 Days After Planting,Differential expression of cell wall-related genes during maize stem development,I10,,I10,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR8587167,I9_1.fastq,SRX5387726,TRUE,31415534,31415534,199,I9,Differential expression of cell wall-related genes during maize stem development,Maize Mo17 Greenhouse Planted Stem Rind Tissue Internode 4 49 Days After Planting,Differential expression of cell wall-related genes during maize stem development,I9,,I9,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR8587168,I6_1.fastq,SRX5387725,TRUE,29801855,29801855,199,I6,Differential expression of cell wall-related genes during maize stem development,Maize B73 Greenhouse Planted Stem Rind Tissue Internode 5 49 Days After Planting,Differential expression of cell wall-related genes during maize stem development,I6,,I6,cDNA,TRANSCRIPTOMIC,RNA-Seq
