srr,srr_alias,srx,paired,spots,spots_with_mate,avgLength,srx_alias,srx_title,srx_design,study_title,sample_alias,lib_layout,lib_name,lib_selection,lib_source,lib_strategy
SRR6666443,GSM2977169_r1,SRX3643304,TRUE,55652585,55652585,199,GSM2977169,GSM2977169: SAL_4; Zea mays; RNA-Seq,,Signalling molecules involved in the communication between maize seed compartments,GSM2977169,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR6666442,GSM2977168_r1,SRX3643303,TRUE,59256667,59256667,199,GSM2977168,GSM2977168: SAL_3; Zea mays; RNA-Seq,,Signalling molecules involved in the communication between maize seed compartments,GSM2977168,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR6666441,GSM2977167_r1,SRX3643302,TRUE,17196094,17196094,199,GSM2977167,GSM2977167: SAL_2; Zea mays; RNA-Seq,,Signalling molecules involved in the communication between maize seed compartments,GSM2977167,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR6666440,GSM2977166_r1,SRX3643301,TRUE,48483351,48483351,199,GSM2977166,GSM2977166: SAL_1; Zea mays; RNA-Seq,,Signalling molecules involved in the communication between maize seed compartments,GSM2977166,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR6666439,GSM2977165_r1,SRX3643300,TRUE,45395414,45395414,199,GSM2977165,GSM2977165: Per_4; Zea mays; RNA-Seq,,Signalling molecules involved in the communication between maize seed compartments,GSM2977165,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR6666438,GSM2977164_r1,SRX3643299,TRUE,45895615,45895615,199,GSM2977164,GSM2977164: Per_3; Zea mays; RNA-Seq,,Signalling molecules involved in the communication between maize seed compartments,GSM2977164,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR6666437,GSM2977163_r1,SRX3643298,TRUE,59359886,59359886,197,GSM2977163,GSM2977163: Per_2; Zea mays; RNA-Seq,,Signalling molecules involved in the communication between maize seed compartments,GSM2977163,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR6666436,GSM2977162_r1,SRX3643297,TRUE,42426073,42426073,199,GSM2977162,GSM2977162: Per_1; Zea mays; RNA-Seq,,Signalling molecules involved in the communication between maize seed compartments,GSM2977162,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR6666435,GSM2977161_r1,SRX3643296,TRUE,60958511,60958511,199,GSM2977161,GSM2977161: End_4; Zea mays; RNA-Seq,,Signalling molecules involved in the communication between maize seed compartments,GSM2977161,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR6666434,GSM2977160_r1,SRX3643295,TRUE,50579506,50579506,199,GSM2977160,GSM2977160: End_3; Zea mays; RNA-Seq,,Signalling molecules involved in the communication between maize seed compartments,GSM2977160,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR6666433,GSM2977159_r1,SRX3643294,TRUE,50245684,50245684,199,GSM2977159,GSM2977159: End_2; Zea mays; RNA-Seq,,Signalling molecules involved in the communication between maize seed compartments,GSM2977159,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR6666432,GSM2977158_r1,SRX3643293,TRUE,53955699,53955699,199,GSM2977158,GSM2977158: End_1; Zea mays; RNA-Seq,,Signalling molecules involved in the communication between maize seed compartments,GSM2977158,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR6666431,GSM2977157_r1,SRX3643292,TRUE,49064495,49064495,200,GSM2977157,GSM2977157: Emb_4; Zea mays; RNA-Seq,,Signalling molecules involved in the communication between maize seed compartments,GSM2977157,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR6666430,GSM2977156_r1,SRX3643291,TRUE,55885669,55885669,199,GSM2977156,GSM2977156: Emb_3; Zea mays; RNA-Seq,,Signalling molecules involved in the communication between maize seed compartments,GSM2977156,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR6666429,GSM2977155_r1,SRX3643290,TRUE,67921456,67921456,199,GSM2977155,GSM2977155: Emb_2; Zea mays; RNA-Seq,,Signalling molecules involved in the communication between maize seed compartments,GSM2977155,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR6666428,GSM2977154_r1,SRX3643289,TRUE,47977625,47977625,199,GSM2977154,GSM2977154: Emb_1; Zea mays; RNA-Seq,,Signalling molecules involved in the communication between maize seed compartments,GSM2977154,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR6666427,GSM2977153_r1,SRX3643288,TRUE,54274121,54274121,199,GSM2977153,GSM2977153: EAS_4; Zea mays; RNA-Seq,,Signalling molecules involved in the communication between maize seed compartments,GSM2977153,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR6666426,GSM2977152_r1,SRX3643287,TRUE,50883353,50883353,199,GSM2977152,GSM2977152: EAS_3; Zea mays; RNA-Seq,,Signalling molecules involved in the communication between maize seed compartments,GSM2977152,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR6666425,GSM2977151_r1,SRX3643286,TRUE,57723547,57723547,199,GSM2977151,GSM2977151: EAS_2; Zea mays; RNA-Seq,,Signalling molecules involved in the communication between maize seed compartments,GSM2977151,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR6666424,GSM2977150_r1,SRX3643285,TRUE,58356714,58356714,199,GSM2977150,GSM2977150: EAS_1; Zea mays; RNA-Seq,,Signalling molecules involved in the communication between maize seed compartments,GSM2977150,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR6666423,GSM2977149_r1,SRX3643284,TRUE,53468037,53468037,199,GSM2977149,GSM2977149: AS_4; Zea mays; RNA-Seq,,Signalling molecules involved in the communication between maize seed compartments,GSM2977149,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR6666422,GSM2977148_r1,SRX3643283,TRUE,53112632,53112632,199,GSM2977148,GSM2977148: AS_3; Zea mays; RNA-Seq,,Signalling molecules involved in the communication between maize seed compartments,GSM2977148,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR6666421,GSM2977147_r1,SRX3643282,TRUE,54044892,54044892,200,GSM2977147,GSM2977147: AS_2; Zea mays; RNA-Seq,,Signalling molecules involved in the communication between maize seed compartments,GSM2977147,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
SRR6666420,GSM2977146_r1,SRX3643281,TRUE,52517680,52517680,199,GSM2977146,GSM2977146: AS_1; Zea mays; RNA-Seq,,Signalling molecules involved in the communication between maize seed compartments,GSM2977146,,,cDNA,TRANSCRIPTOMIC,RNA-Seq
