SampleID	Tissue	Genotype	Treatment	Replicate	MergeID	paired	spots	avgLength
SRR521007	coleoptile	B73		1	m01	FALSE	27916656	76
SRR521008	coleoptile	B73		2	m01	TRUE	36561219	89
SRR521009	coleoptile	B73		3	m01	TRUE	36854247	89
SRR521010	coleoptile	B73		4	m01	TRUE	36694452	89
SRR521011	coleoptile	B73		5	m01	TRUE	36338140	89
SRR521012	coleoptile	B73		6	m01	TRUE	36117573	89
SRR521013	coleoptile	B73		7	m01	TRUE	36514075	89
SRR521014	coleoptile	B73		8	m01	TRUE	35598045	89
SRR521015	coleoptile	B73		9	m01	TRUE	27276754	152
SRR521016	coleoptile	B73		10	m01	TRUE	21314682	100
SRR521017	coleoptile	B73		11	m01	TRUE	38987360	100
SRR521018	coleoptile	B73		12	m01	TRUE	43030913	100
SRR521019	coleoptile	B73		13	m01	TRUE	41836071	100
SRR521020	coleoptile	B73		14	m01	TRUE	14101719	100
SRR521021	coleoptile	B73		15	m01	TRUE	12454466	100
SRR521022	coleoptile	B73		16	m01	TRUE	13806671	100
SRR521023	coleoptile	B73		17	m01	TRUE	10673158	100
SRR521024	coleoptile	B73		18	m01	TRUE	20273046	100
SRR521025	coleoptile	B73		19	m01	TRUE	22862281	100
SRR521026	coleoptile	B73		20	m01	TRUE	17490532	100
SRR521027	coleoptile	B73		21	m01	TRUE	44362583	100
SRR521028	coleoptile	B73		22	m01	TRUE	44798791	100
SRR521029	coleoptile	B73		23	m01	TRUE	44332759	100
SRR521030	coleoptile	B73		24	m01	TRUE	39502986	100
SRR521031	coleoptile	B73		25	m01	TRUE	42235556	100
SRR521032	coleoptile	B73		26	m01	TRUE	42165042	100
SRR521033	coleoptile	B73		27	m01	TRUE	43603438	100
SRR521034	coleoptile	B73		28	m01	TRUE	43752597	100
SRR521035	coleoptile	B73		29	m01	TRUE	31471319	100
SRR521036	coleoptile	B73		30	m01	TRUE	30288789	100
SRR521037	coleoptile	B73		31	m01	TRUE	30161712	100
SRR521038	coleoptile	B73		32	m01	TRUE	31823435	100
SRR521039	coleoptile	B73		33	m01	TRUE	30211568	100
SRR521040	coleoptile	B73		34	m01	TRUE	32047847	100
SRR521041	coleoptile	B73		35	m01	TRUE	28720196	100
SRR521042	coleoptile	B73		36	m01	TRUE	37133537	100
SRR521043	coleoptile	B73		37	m01	TRUE	38876615	100
SRR521044	coleoptile	B73		38	m01	TRUE	35765547	100
SRR521045	coleoptile	B73		39	m01	TRUE	39436903	100
SRR521046	coleoptile	B73		40	m01	TRUE	40037492	100
SRR521047	coleoptile	B73		41	m01	TRUE	39540597	100
SRR521048	coleoptile	B73		42	m01	TRUE	37854849	100
SRR521049	coleoptile	B73		43	m01	TRUE	27042386	100
SRR521050	coleoptile	Mo17		1	m02	TRUE	33438378	100
SRR521051	coleoptile	Mo17		2	m02	TRUE	27843962	202
SRR521052	coleoptile	Mo17		3	m02	TRUE	25214677	202
SRR521053	coleoptile	Mo17		4	m02	TRUE	27693559	100
SRR521054	coleoptile	Mo17		5	m02	TRUE	19974885	100
SRR521055	coleoptile	Mo17		6	m02	TRUE	17927513	100
SRR521056	coleoptile	Mo17		7	m02	TRUE	21561105	100
SRR521057	coleoptile	Mo17		8	m02	TRUE	27510273	100
SRR521058	coleoptile	Mo17		9	m02	TRUE	25740389	100
SRR521059	coleoptile	Mo17		10	m02	TRUE	25047679	100
SRR521060	coleoptile	Mo17		11	m02	TRUE	26394034	202
SRR521061	coleoptile	Mo17		12	m02	FALSE	63398045	50
SRR521062	coleoptile	Mo17		13	m02	FALSE	66597892	50
SRR521063	coleoptile	Mo17		14	m02	FALSE	63124864	50
SRR521064	coleoptile	Mo17		15	m02	FALSE	63223270	50
SRR521065	coleoptile	Mo17		16	m02	TRUE	12185569	100
SRR521066	coleoptile	Mo17		17	m02	TRUE	24808372	100
SRR521067	coleoptile	Mo17		18	m02	TRUE	25260958	100
SRR521068	coleoptile	Mo17		19	m02	TRUE	25625604	100
SRR521069	coleoptile	Mo17		20	m02	TRUE	25103665	100
SRR521070	coleoptile	Mo17		21	m02	TRUE	24886906	100
SRR521071	coleoptile	Mo17		22	m02	TRUE	25055686	100
SRR521072	coleoptile	Mo17		23	m02	TRUE	24870431	100
SRR521073	coleoptile	Mo17		24	m02	FALSE	67830854	50
SRR521074	coleoptile	Mo17		25	m02	FALSE	64734199	50
SRR521075	coleoptile	Mo17		26	m02	FALSE	65624669	50
SRR521076	coleoptile	Mo17		27	m02	FALSE	69081393	50
SRR521077	coleoptile	Mo17		28	m02	TRUE	14643821	100
SRR521078	coleoptile	Mo17		29	m02	TRUE	25130027	100
SRR521079	coleoptile	Mo17		30	m02	TRUE	25249193	100
SRR521080	coleoptile	Mo17		31	m02	TRUE	25635210	100
SRR521081	coleoptile	Mo17		32	m02	TRUE	25699557	100
SRR521082	coleoptile	Mo17		33	m02	TRUE	27772534	100
SRR521083	coleoptile	Mo17		34	m02	TRUE	26072051	100
SRR521084	coleoptile	Mo17		35	m02	TRUE	25803020	100
SRR521085	coleoptile	Mo17		36	m02	TRUE	32012481	100
SRR521086	coleoptile	Mo17		37	m02	TRUE	40643032	100
SRR521087	coleoptile	Mo17		38	m02	TRUE	42791583	100
SRR521088	coleoptile	Mo17		39	m02	TRUE	43266677	100
SRR521089	coleoptile	Mo17		40	m02	TRUE	44401944	100
SRR521090	coleoptile	Mo17		41	m02	TRUE	44478680	100
SRR521091	coleoptile	Mo17		42	m02	TRUE	44768081	100
SRR521092	coleoptile	Mo17		43	m02	TRUE	43598192	100
SRR521093	coleoptile	RIL8		1	m03	TRUE	129707949	100
SRR521094	coleoptile	RIL8		2	m03	TRUE	129719308	100
SRR521095	coleoptile	RIL14		1	m04	TRUE	107914071	100
SRR521096	coleoptile	RIL14		2	m04	TRUE	108880210	100
SRR521097	coleoptile	RIL14-1		1	m05	TRUE	169958542	100
SRR521098	coleoptile	RIL14-2		1	m06	TRUE	40082220	100
SRR521099	coleoptile	RIL14-2		2	m06	TRUE	177802568	100
SRR521100	coleoptile	RIL14-3		1	m07	TRUE	142531361	100
SRR521101	coleoptile	RIL22		1	m08	TRUE	134553055	100
SRR521102	coleoptile	RIL22		2	m08	TRUE	135227147	100
SRR521103	coleoptile	RIL87		1	m09	TRUE	88914019	100
SRR521104	coleoptile	RIL87		2	m09	TRUE	89490849	100
SRR521105	coleoptile	RIL126		1	m10	TRUE	150210215	100
SRR521106	coleoptile	RIL182		1	m11	TRUE	70528888	100
SRR521107	coleoptile	RIL271		1	m12	TRUE	164243087	100
SRR521108	coleoptile	RIL323		1	m13	TRUE	196799812	100
SRR521109	coleoptile	RIL327		1	m14	TRUE	102088628	100
SRR521110	coleoptile	RIL351		1	m15	TRUE	89182264	100
