SampleID	Tissue	Genotype	Treatment	Replicate	MergeID	paired	spots	avgLength
SRR6830279			ZmARF34	1	m01	FALSE	40746798	75
SRR6830280			ZmARF16	1	m02	FALSE	28551131	76
SRR6830281			ZmARF18	1	m03	FALSE	28371502	76
SRR6830282			ZmARF35	1	m04	FALSE	40294472	75
SRR6830283			ZmARF27	1	m05	FALSE	48659869	75
SRR6830284			ZmARF4	1	m06	FALSE	20233070	76
SRR6830285			ZmARF29	1	m07	FALSE	25473798	76
SRR6830286			ZmARF10	1	m08	FALSE	18121991	76
SRR6830287			ZmARF13	1	m09	FALSE	24930195	76
SRR6830288			ZmARF14	1	m10	FALSE	14159612	75
SRR6830289			ZmARF25	1	m11	FALSE	14410671	75
SRR6830290			ZmARF39	1	m12	FALSE	18838361	75
SRR6830291			ZmARF36	1	m13	FALSE	13082237	75
SRR6830292			ZmARF7	1	m14	FALSE	12949888	75
SRR6830293			GST-HALO	1	m15	FALSE	27640102	75
