SampleID	Tissue	Genotype	Treatment	Replicate	MergeID	paired	spots	avgLength
SRR8906635		526018		1	m001	TRUE	143257524	297
SRR8906636		CML229		1	m002	TRUE	201438128	292
SRR8906637		CIMBL29		1	m003	TRUE	175301545	286
SRR8906638		CML480		1	m004	TRUE	170121791	287
SRR8906639		CIMBL111		1	m005	TRUE	232945423	293
SRR8906640		BT1		1	m006	TRUE	215836951	287
SRR8906641		CML168		1	m007	TRUE	177471787	291
SRR8906642		CML360		1	m008	FALSE	167450732	148
SRR8906643		CML426		1	m009	TRUE	191439905	293
SRR8906644		CML223		1	m010	TRUE	196668574	292
SRR8906645		SW1611		1	m011	TRUE	162375923	294
SRR8906646		CIMBL146		1	m012	TRUE	137376198	285
SRR8906647		CML163		1	m013	TRUE	162586109	286
SRR8906648		CIMBL51		1	m014	TRUE	165761783	286
SRR8906649		CIMBL16		1	m015	TRUE	197662066	288
SRR8906650		CML189		1	m016	TRUE	206677982	290
SRR8906651		CML497		1	m017	TRUE	161911325	289
SRR8906652		P138		1	m018	TRUE	166958347	289
SRR8906653		CIMBL155		1	m019	TRUE	164552778	288
SRR8906654		CIMBL15		1	m020	TRUE	163758422	287
SRR8906655		CIMBL39		1	m021	TRUE	131821443	287
SRR8906656		PH4VC		1	m022	TRUE	143262214	294
SRR8906657		04K5702		1	m023	TRUE	137176092	295
SRR8906658		GEMS55		1	m024	TRUE	137698159	294
SRR8906659		TX5		1	m025	TRUE	157542956	295
SRR8906660		ZHENG58		1	m026	TRUE	141952104	295
SRR8906661		JI846		1	m027	TRUE	164204656	296
SRR8906662		9642		1	m028	TRUE	157315810	295
SRR8906663		GEMS36		1	m029	TRUE	136248533	294
SRR8906664		BY815		1	m030	TRUE	147811180	295
SRR8906665		W138		1	m031	TRUE	135325548	295
SRR8906666		H21		1	m032	TRUE	131462470	294
SRR8906667		CIMBL137		1	m033	TRUE	146277496	293
SRR8906668		BK		1	m034	TRUE	211323167	294
SRR8906669		CIMBL149		1	m035	TRUE	194949146	293
SRR8906670		CIMBL37		1	m036	TRUE	151770749	293
SRR8906671		CML433		1	m037	TRUE	166333492	293
SRR8906672		CIMBL18		1	m038	TRUE	175302283	293
SRR8906673		CIMBL140		1	m039	TRUE	138007527	292
SRR8906674		CIMBL135		1	m040	TRUE	151527617	292
SRR8906675		CIMBL28		1	m041	TRUE	152159708	290
SRR8906676		CIMBL109		1	m042	TRUE	142652322	294
SRR8906677		CIMBL31		1	m043	TRUE	145678718	295
SRR8906678		CIMBL110		1	m044	TRUE	169205590	293
SRR8906679		CIMBL92		1	m045	TRUE	159681890	294
SRR8906680		ZHENG653		1	m046	TRUE	143553546	296
SRR8906681		ZHI41		1	m047	TRUE	156390988	297
SRR8906682		LIAO5114		1	m048	TRUE	155183200	298
SRR8906683		JI63		1	m049	TRUE	142544138	297
SRR8906684		LY		1	m050	TRUE	141683937	297
SRR8906685		TY1		1	m051	TRUE	157266665	298
SRR8906686		R08		1	m052	TRUE	149286370	298
SRR8906687		GEMS56		1	m053	TRUE	149998763	298
SRR8906688		04K5686		1	m054	TRUE	150349487	297
SRR8906689		SY1035		1	m055	TRUE	150234997	298
SRR8906690		8902		1	m056	TRUE	126641597	297
SRR8906691		FCD0602		1	m057	TRUE	162268509	298
SRR8906692		GEMS30		1	m058	TRUE	198554976	294
SRR8906693		ZONG31		1	m059	TRUE	174856809	293
SRR8906694		GEMS21		1	m060	TRUE	157146699	293
SRR8906695		RY737		1	m061	TRUE	222025759	294
SRR8906696		DSB		1	m062	TRUE	160903131	293
SRR8906697		JIAO51		1	m063	TRUE	144402793	293
SRR8906698		177		1	m064	TRUE	137412609	297
SRR8906699		GEMS40		1	m065	TRUE	142361649	292
SRR8906700		GEMS45		1	m066	TRUE	133393001	296
SRR8906701		GEMS12		1	m067	TRUE	159732688	297
SRR8906702		SHEN5003		1	m068	TRUE	250910982	296
SRR8906703		GEMS32		1	m069	TRUE	186631722	296
SRR8906704		GEMS35		1	m070	TRUE	168670333	296
SRR8906705		XI502		1	m071	TRUE	144147383	296
SRR8906706		B77		1	m072	TRUE	157412712	296
SRR8906707		GEMS49		1	m073	TRUE	132292318	296
SRR8906708		RY713		1	m074	TRUE	218046050	298
SRR8906709		WU109		1	m075	TRUE	165114014	297
SRR8906710		CIMBL96		1	m076	TRUE	166055555	292
SRR8906711		CIMBL53		1	m077	TRUE	244906004	293
SRR8906712		CML134		1	m078	TRUE	211789142	292
SRR8906713		CIMBL131		1	m079	TRUE	160117119	292
SRR8906714		CML300		1	m080	TRUE	208899435	292
SRR8906715		CML51		1	m081	TRUE	166809499	292
SRR8906716		S37		1	m082	TRUE	206021252	292
SRR8906717		CML29		1	m083	TRUE	182807627	292
SRR8906718		CIMBL25		1	m084	TRUE	193307052	292
SRR8906719		CIMBL11		1	m085	TRUE	219831875	292
SRR8906720		CML290		1	m086	TRUE	216487317	293
SRR8906721		CIMBL54		1	m087	TRUE	177878101	289
SRR8906722		CML172		1	m088	TRUE	185139294	289
SRR8906723		CIMBL33		1	m089	TRUE	164873291	286
SRR8906724		SHEN137		1	m090	TRUE	133360088	287
SRR8906725		CML451		1	m091	TRUE	153475820	289
SRR8906726		CIMBL10		1	m092	TRUE	175615546	287
SRR8906727		CML486		1	m093	TRUE	201998877	288
SRR8906728		CML493		1	m094	TRUE	181748126	288
SRR8906729		CIMBL127		1	m095	TRUE	142688900	289
SRR8906730		CML364		1	m096	TRUE	168216090	289
SRR8906731		CIMBL132		1	m097	TRUE	240675288	291
SRR8906732		CML454		1	m098	TRUE	173079643	291
SRR8906733		CIMBL59		1	m099	TRUE	182653173	291
SRR8906734		CML113		1	m100	TRUE	183367333	292
SRR8906735		CML415		1	m101	TRUE	190052249	289
SRR8906736		CIMBL45		1	m102	TRUE	134535660	289
SRR8906737		CIMBL7		1	m103	TRUE	192288888	291
SRR8906738		CML423		1	m104	TRUE	214709299	292
SRR8906739		CIMBL70		1	m105	TRUE	163491235	286
SRR8906740		CIMBL46		1	m106	TRUE	153354519	286
SRR8906741		238		1	m107	TRUE	137275854	297
SRR8906742		GEMS14		1	m108	TRUE	161966342	298
SRR8906743		GEMS60		1	m109	TRUE	166128420	297
SRR8906744		EN25		1	m110	TRUE	154811308	295
SRR8906745		CY72		1	m111	TRUE	155612209	294
SRR8906746		BZN		1	m112	TRUE	161339713	294
SRR8906747		GEMS52		1	m113	TRUE	146013352	297
SRR8906748		JH59		1	m114	TRUE	144581828	296
SRR8906749		DH3732		1	m115	TRUE	182853004	294
SRR8906750		CIMBL87		1	m116	TRUE	151670459	292
SRR8906751		150		1	m117	TRUE	147272561	294
SRR8906752		GY386		1	m118	TRUE	172277160	294
SRR8906753		CIMBL24		1	m119	TRUE	184227425	294
SRR8906754		CIMBL153		1	m120	TRUE	160021689	293
SRR8906755		CIMBL143		1	m121	TRUE	172066350	294
SRR8906756		CIMBL65		1	m122	TRUE	152772697	293
SRR8906757		M97		1	m123	TRUE	130683665	291
SRR8906758		R15		1	m124	TRUE	123898057	290
SRR8906759		ZHENG32		1	m125	TRUE	160655596	292
SRR8906760		TY4		1	m126	TRUE	242903296	291
SRR8906761		BS16		1	m127	TRUE	168273299	297
SRR8906762		B111		1	m128	TRUE	222305718	297
SRR8906763		BY807		1	m129	TRUE	131586986	291
SRR8906764		U8112		1	m130	TRUE	120390472	291
SRR8906765		GEMS29		1	m131	TRUE	170578451	297
SRR8906766		1323		1	m132	TRUE	142998182	297
SRR8906767		TY5		1	m133	TRUE	146136013	296
SRR8906768		RY697		1	m134	TRUE	174873266	297
SRR8906769		SY1077		1	m135	TRUE	131620694	297
SRR8906770		K12		1	m136	TRUE	130810638	297
