SampleID	Tissue	Genotype	Treatment	Replicate	MergeID	paired	spots	avgLength
SRR5691162	Endosperm	Q381xQ381	""	1	m001	FALSE	5028523	51
SRR5691164	Endosperm	B84xB84	""	1	m002	FALSE	6013776	51
SRR5691211	Seedling-root	Oh43	""	1	m003	FALSE	5658415	51
SRR5691212	Seedling-root	PHG29	""	1	m004	FALSE	6396128	51
SRR5691217	Seedling-root	PHB47	""	1	m005	FALSE	6219058	51
SRR5691218	Seedling-root	PH207	""	1	m006	FALSE	7845570	51
SRR5691220	Endosperm	PHG29xPHG29	""	1	m007	FALSE	6628530	51
SRR5691226	Endosperm	PHB47xPHB47	""	1	m008	FALSE	6206656	51
SRR5691252	Internode	PHG29	""	1	m009	FALSE	7759411	51
SRR5691254	Internode	PH207	""	1	m010	FALSE	7510338	51
SRR5691255	Internode	PHB47	""	1	m011	FALSE	8697416	51
SRR5691256	Internode	Oh43	""	1	m012	FALSE	7602386	51
SRR5691262	Internode	Q381	""	1	m013	FALSE	7238198	51
SRR5691264	Leaf	B73	""	1	m014	FALSE	4485980	51
SRR5691265	Endosperm	PHJ40xPHJ40	""	1	m015	FALSE	2808170	51
SRR5691272	Endosperm	Oh43xOh43	""	1	m016	FALSE	5804101	51
SRR5691273	Endosperm	PH207xPH207	""	1	m017	FALSE	4258294	51
SRR5691274	Endosperm	B73xB73	""	1	m018	FALSE	4956753	51
SRR5691276	Internode	Mo17	""	1	m019	FALSE	2535219	51
SRR5691284	Leaf	Mo17	""	1	m020	FALSE	4807868	51
SRR5691286	Seedling-shoot	B73	""	1	m021	FALSE	6269145	51
SRR5691297	Internode	B84	""	1	m022	FALSE	6079818	51
SRR5691307	Internode	PHJ40	""	1	m023	FALSE	8138619	51
SRR5691310	Seedling-shoot	Mo17	""	1	m024	FALSE	5596718	51
SRR5691326	Seedling-root	Mo17	""	1	m025	FALSE	6013449	51
SRR5691342	Seedling-root	PHJ40	""	1	m026	FALSE	5874082	51
SRR5691353	Seedling-shoot	PHG29	""	1	m027	FALSE	5744675	51
SRR5691356	Seedling-shoot	Oh43	""	1	m028	FALSE	5123438	51
SRR5691359	Seedling-shoot	PHB47	""	1	m029	FALSE	4499849	51
SRR5691360	Seedling-shoot	PH207	""	1	m030	FALSE	5087162	51
SRR5691377	Seedling-root	Q381	""	1	m031	FALSE	1951228	51
SRR5691389	Seedling-root	B73	""	1	m032	FALSE	6652691	51
SRR5691392	Seedling-shoot	Q381	""	1	m033	FALSE	5976685	51
SRR5691433	Seedling-shoot	PHJ40	""	1	m034	FALSE	6620209	51
SRR5691444	Endosperm	Mo17xMo17	""	1	m035	FALSE	6671049	51
SRR5691453	Leaf	PHG29	""	1	m036	FALSE	5575585	51
SRR5691460	Leaf	Q381	""	1	m037	FALSE	4575922	51
SRR5691475	Internode	B73	""	1	m038	FALSE	7598215	51
SRR5691483	Leaf	PH207	""	1	m039	FALSE	6174467	51
SRR5691484	Leaf	PHB47	""	1	m040	FALSE	5053027	51
SRR5691485	Leaf	Oh43	""	1	m041	FALSE	3406308	51
SRR5691488	Seedling-shoot	B84	""	1	m042	FALSE	6548698	51
SRR5691490	Leaf	B84	""	1	m043	FALSE	4723182	51
SRR8043056	Seedling-root	PHB47xB73	""	1	m044	FALSE	4999724	51
SRR8043058	Seedling-root	PHG29xB73	""	1	m045	FALSE	4251345	51
SRR8043062	Endosperm	B73xPH207	""	1	m046	FALSE	3367497	51
SRR8043063	Seedling-shoot	Q381xB73	""	1	m047	FALSE	4573867	51
SRR8043067	Leaf	B84xMo17	""	1	m048	FALSE	5031137	51
SRR8043068	Seedling-shoot	PH207xB73	""	1	m049	FALSE	4186750	51
SRR8043069	Seedling-shoot	Oh43xB73	""	1	m050	FALSE	4174831	51
SRR8043070	Internode	Mo17xOh43	""	1	m051	FALSE	5672746	51
SRR8043071	Seedling-shoot	PHB47xB73	""	1	m052	FALSE	3214913	51
SRR8043073	Endosperm	PHJ40xPH207	""	1	m053	FALSE	6714980	51
SRR8043078	Internode	Mo17xB73	""	1	m054	FALSE	5162827	51
SRR8043081	Internode	LH145xB73	""	1	m055	FALSE	6601948	51
SRR8043086	Internode	PHB47xB73	""	1	m056	FALSE	5255198	51
SRR8043087	Internode	Oh43xB73	""	1	m057	FALSE	5171651	51
SRR8043107	Seedling-shoot	PHJ40xB73	""	1	m058	FALSE	4569931	51
SRR8043122	Internode	PHB47xMo17	""	1	m059	FALSE	5487896	51
SRR8043147	Endosperm	PHG29xMo17	""	1	m060	FALSE	4894640	51
SRR8043148	Endosperm	PHG29xB73	""	1	m061	FALSE	6702014	51
SRR8043151	Endosperm	PHG29xPH207	""	1	m062	FALSE	17467068	51
SRR8043166	Endosperm	Oh43xB73	""	1	m063	FALSE	3117467	51
SRR8043170	Seedling-root	PHB47xMo17	""	1	m064	FALSE	4273519	51
SRR8043174	Endosperm	B84xB73	""	1	m065	FALSE	2966204	51
SRR8043175	Endosperm	Q381xPH207	""	1	m066	FALSE	5356284	51
SRR8043176	Leaf	Mo17xPHG29	""	1	m067	FALSE	4929703	51
SRR8043181	Internode	Mo17xPHG29	""	1	m068	FALSE	5191753	51
SRR8043185	Leaf	Q381xB73	""	1	m069	FALSE	6341509	51
SRR8043191	Endosperm	Oh43xMo17	""	1	m070	FALSE	3833274	51
SRR8043202	Internode	Mo17xPH207	""	1	m071	FALSE	5927264	51
SRR8043205	Endosperm	Q381xB73	""	1	m072	FALSE	5739955	51
SRR8043206	Seedling-root	B84xMo17	""	1	m073	FALSE	7187689	51
SRR8043226	Seedling-shoot	PHG29xB73	""	1	m074	FALSE	3433623	51
SRR8043230	Seedling-shoot	PHJ40xMo17	""	1	m075	FALSE	4258209	51
SRR8043231	Internode	PH207xB73	""	1	m076	FALSE	6635875	51
SRR8043236	Seedling-shoot	B84xB73	""	1	m077	FALSE	3577846	51
SRR8043240	Seedling-shoot	LH145xB73	""	1	m078	FALSE	3180019	51
SRR8043265	Leaf	PHG29xB73	""	1	m079	FALSE	3622313	51
SRR8043286	Seedling-root	B84xB73	""	1	m080	FALSE	4999521	51
SRR8043290	Leaf	PHJ40xB73	""	1	m081	FALSE	5640326	51
SRR8043291	Leaf	PHJ40xMo17	""	1	m082	FALSE	6398964	51
SRR8043306	Seedling-shoot	B84xMo17	""	1	m083	FALSE	3429831	51
SRR8043315	Seedling-shoot	PHB47xMo17	""	1	m084	FALSE	5510641	51
SRR8043323	Endosperm	Oh43xPH207	""	1	m085	FALSE	6761360	51
SRR8043325	Endosperm	PH207xB73	""	1	m086	FALSE	5114735	51
SRR8043326	Endosperm	PHB47xPH207	""	1	m087	FALSE	6894438	51
SRR8043327	Endosperm	PHB47xMo17	""	1	m088	FALSE	3853565	51
SRR8043329	Endosperm	Mo17xPH207	""	1	m089	FALSE	2765254	51
SRR8043331	Internode	PHJ40xB73	""	1	m090	FALSE	4129251	51
SRR8043332	Internode	Q381xB73	""	1	m091	FALSE	4859066	51
SRR8043336	Internode	PHG29xB73	""	1	m092	FALSE	5622187	51
SRR8043345	Internode	PHJ40xMo17	""	1	m093	FALSE	4191989	51
SRR8043347	Endosperm	LH145xB73	""	1	m094	FALSE	3527675	51
SRR8043361	Leaf	PHB47xMo17	""	1	m095	FALSE	5790550	51
SRR8043362	Leaf	PHB47xB73	""	1	m096	FALSE	4873186	51
SRR8043363	Leaf	PH207xB73	""	1	m097	FALSE	783085	51
SRR8043365	Seedling-root	Oh43xB73	""	1	m098	FALSE	3132558	51
SRR8043366	Seedling-root	PHJ40xB73	""	1	m099	FALSE	5462797	51
SRR8043367	Leaf	Oh43xB73	""	1	m100	FALSE	5193163	51
SRR8043372	Endosperm	PHJ40xB73	""	1	m101	FALSE	3005648	51
SRR8043373	Endosperm	PHJ40xMo17	""	1	m102	FALSE	3024144	51
SRR8043381	Endosperm	Mo17xB73	""	1	m103	FALSE	4762705	51
SRR8043389	Seedling-root	Mo17xPHG29	""	1	m104	FALSE	2578802	51
SRR8043390	Seedling-root	Mo17xPH207	""	1	m105	FALSE	6512378	51
SRR8043394	Seedling-root	Mo17xOh43	""	1	m106	FALSE	5580764	51
SRR8043411	Seedling-shoot	Mo17xPH207	""	1	m107	FALSE	4257734	51
SRR8043412	Seedling-shoot	Mo17xB73	""	1	m108	FALSE	3432614	51
SRR8043433	Endosperm	PH207xMo17	""	1	m109	FALSE	5440402	51
SRR8043435	Leaf	B84xB73	""	1	m110	FALSE	4364403	51
SRR8043440	Seedling-root	Mo17xB73	""	1	m111	FALSE	4990969	51
SRR8043451	Seedling-root	LH145xB73	""	1	m112	FALSE	3288873	51
SRR8043462	Endosperm	B84xPH207	""	1	m113	FALSE	5001293	51
SRR8043467	Endosperm	B84xMo17	""	1	m114	FALSE	3652510	51
SRR8043493	Endosperm	B73xMo17	""	1	m115	FALSE	3533141	51
SRR8043548	Seedling-root	Q381xB73	""	1	m116	FALSE	3388676	51
SRR8043560	Seedling-shoot	Mo17xPHG29	""	1	m117	FALSE	5649298	51
SRR8043561	Seedling-shoot	Mo17xOh43	""	1	m118	FALSE	7430102	51
SRR8043573	Leaf	LH145xB73	""	1	m119	FALSE	804216	51
SRR8043576	Leaf	Mo17xOh43	""	1	m120	FALSE	7629184	51
SRR8043577	Leaf	Mo17xPH207	""	1	m121	FALSE	5683251	51
SRR8043604	Internode	B84xB73	""	1	m122	FALSE	4409154	51
SRR8043609	Internode	B84xMo17	""	1	m123	FALSE	4087435	51
SRR8043611	Seedling-root	PHJ40xMo17	""	1	m124	FALSE	4150605	51
SRR8043619	Seedling-root	PH207xB73	""	1	m125	FALSE	3745773	51
