SampleID	Tissue	Genotype	Treatment	Replicate	paired	interleaved	r0	r1	r2
s01	leaf	unk		1	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/171107_D00635_0298_ACBRL5ANXX/Springer_Project_056/PAC001_S15_R1_001.fastq	/home/springer/data_release/umgc/hiseq/171107_D00635_0298_ACBRL5ANXX/Springer_Project_056/PAC001_S15_R2_001.fastq
s02	leaf	unk		2	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/171107_D00635_0298_ACBRL5ANXX/Springer_Project_056/PAC002_S16_R1_001.fastq	/home/springer/data_release/umgc/hiseq/171107_D00635_0298_ACBRL5ANXX/Springer_Project_056/PAC002_S16_R2_001.fastq
s03	leaf	unk		3	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/171107_D00635_0298_ACBRL5ANXX/Springer_Project_056/PAC003_S17_R1_001.fastq	/home/springer/data_release/umgc/hiseq/171107_D00635_0298_ACBRL5ANXX/Springer_Project_056/PAC003_S17_R2_001.fastq
s04	leaf	unk		4	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/171107_D00635_0298_ACBRL5ANXX/Springer_Project_056/PAC004_S18_R1_001.fastq	/home/springer/data_release/umgc/hiseq/171107_D00635_0298_ACBRL5ANXX/Springer_Project_056/PAC004_S18_R2_001.fastq
s05	leaf	unk		5	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/171107_D00635_0298_ACBRL5ANXX/Springer_Project_056/PAC005_S19_R1_001.fastq	/home/springer/data_release/umgc/hiseq/171107_D00635_0298_ACBRL5ANXX/Springer_Project_056/PAC005_S19_R2_001.fastq
s06	leaf	unk		6	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/171107_D00635_0298_ACBRL5ANXX/Springer_Project_056/PAC006_S20_R1_001.fastq	/home/springer/data_release/umgc/hiseq/171107_D00635_0298_ACBRL5ANXX/Springer_Project_056/PAC006_S20_R2_001.fastq
s07	leaf	unk		7	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/171107_D00635_0298_ACBRL5ANXX/Springer_Project_056/PAC007_S21_R1_001.fastq	/home/springer/data_release/umgc/hiseq/171107_D00635_0298_ACBRL5ANXX/Springer_Project_056/PAC007_S21_R2_001.fastq
s08	leaf	unk		8	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/171107_D00635_0298_ACBRL5ANXX/Springer_Project_056/PAC008_S22_R1_001.fastq	/home/springer/data_release/umgc/hiseq/171107_D00635_0298_ACBRL5ANXX/Springer_Project_056/PAC008_S22_R2_001.fastq
s09	leaf	unk		9	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/171107_D00635_0298_ACBRL5ANXX/Springer_Project_056/PAC009_S23_R1_001.fastq	/home/springer/data_release/umgc/hiseq/171107_D00635_0298_ACBRL5ANXX/Springer_Project_056/PAC009_S23_R2_001.fastq
s10	leaf	unk		10	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/171107_D00635_0298_ACBRL5ANXX/Springer_Project_056/PAC010_S24_R1_001.fastq	/home/springer/data_release/umgc/hiseq/171107_D00635_0298_ACBRL5ANXX/Springer_Project_056/PAC010_S24_R2_001.fastq
s11	leaf	unk		11	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/171107_D00635_0298_ACBRL5ANXX/Springer_Project_056/PAC011_S25_R1_001.fastq	/home/springer/data_release/umgc/hiseq/171107_D00635_0298_ACBRL5ANXX/Springer_Project_056/PAC011_S25_R2_001.fastq
s12	leaf	unk		12	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/171107_D00635_0298_ACBRL5ANXX/Springer_Project_056/PAC012_S26_R1_001.fastq	/home/springer/data_release/umgc/hiseq/171107_D00635_0298_ACBRL5ANXX/Springer_Project_056/PAC012_S26_R2_001.fastq
s13	leaf	unk		13	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/171107_D00635_0299_BCBRPDANXX/Springer_Project_056/PAC001_S1_R1_001.fastq	/home/springer/data_release/umgc/hiseq/171107_D00635_0299_BCBRPDANXX/Springer_Project_056/PAC001_S1_R2_001.fastq
s14	leaf	unk		14	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/171107_D00635_0299_BCBRPDANXX/Springer_Project_056/PAC002_S2_R1_001.fastq	/home/springer/data_release/umgc/hiseq/171107_D00635_0299_BCBRPDANXX/Springer_Project_056/PAC002_S2_R2_001.fastq
s15	leaf	unk		15	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/171107_D00635_0299_BCBRPDANXX/Springer_Project_056/PAC003_S3_R1_001.fastq	/home/springer/data_release/umgc/hiseq/171107_D00635_0299_BCBRPDANXX/Springer_Project_056/PAC003_S3_R2_001.fastq
s16	leaf	unk		16	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/171107_D00635_0299_BCBRPDANXX/Springer_Project_056/PAC004_S4_R1_001.fastq	/home/springer/data_release/umgc/hiseq/171107_D00635_0299_BCBRPDANXX/Springer_Project_056/PAC004_S4_R2_001.fastq
s17	leaf	unk		17	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/171107_D00635_0299_BCBRPDANXX/Springer_Project_056/PAC005_S5_R1_001.fastq	/home/springer/data_release/umgc/hiseq/171107_D00635_0299_BCBRPDANXX/Springer_Project_056/PAC005_S5_R2_001.fastq
s18	leaf	unk		18	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/171107_D00635_0299_BCBRPDANXX/Springer_Project_056/PAC006_S6_R1_001.fastq	/home/springer/data_release/umgc/hiseq/171107_D00635_0299_BCBRPDANXX/Springer_Project_056/PAC006_S6_R2_001.fastq
s19	leaf	unk		19	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/171107_D00635_0299_BCBRPDANXX/Springer_Project_056/PAC007_S7_R1_001.fastq	/home/springer/data_release/umgc/hiseq/171107_D00635_0299_BCBRPDANXX/Springer_Project_056/PAC007_S7_R2_001.fastq
s20	leaf	unk		20	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/171107_D00635_0299_BCBRPDANXX/Springer_Project_056/PAC008_S8_R1_001.fastq	/home/springer/data_release/umgc/hiseq/171107_D00635_0299_BCBRPDANXX/Springer_Project_056/PAC008_S8_R2_001.fastq
s21	leaf	unk		21	TRUE	FALSE		/home/springer/data_release/umgc/hiseq/171107_D00635_0299_BCBRPDANXX/Springer_Project_056/PAC009_S9_R1_001.fastq	/home/springer/data_release/umgc/hiseq/171107_D00635_0299_BCBRPDANXX/Springer_Project_056/PAC009_S9_R2_001.fastq
