SampleID	Tissue	Genotype	Treatment	Replicate	paired	spots	avgLength
s01	seedling_leaf3	B73		1	TRUE	15976067	200
s02	seedling_leaf3	B73		2	TRUE	16891748	200
s03	seedling_leaf3	Mo17		1	TRUE	12817595	200
s04	seedling_leaf3	Mo17		2	TRUE	13005052	200
s05	seedling_leaf3	B73		3	TRUE	52153098	200
s06	seedling_leaf3	B73		4	TRUE	44829889	200
s07	seedling_leaf3	Mo17		3	TRUE	45568547	200
s08	seedling_leaf3	Mo17		4	TRUE	39143289	200
s09	seedling_leaf3	B73		5	TRUE	37912080	202
s10	seedling_leaf3	B73		6	TRUE	32621370	202
s11	seedling_leaf3	CML322		1	TRUE	25863195	202
s12	seedling_leaf3	CML322		2	TRUE	26022202	202
s13	seedling_leaf3	CML322		3	TRUE	25848899	202
s14	seedling_leaf3	Oh43		1	TRUE	25027006	202
s15	seedling_leaf3	Oh43		2	TRUE	25219830	202
s16	seedling_leaf3	Oh43		3	TRUE	25058407	202
s17	seedling_leaf3	Tx303		1	TRUE	25726830	202
s18	seedling_leaf3	Tx303		2	TRUE	25895880	202
s19	seedling_leaf3	Tx303		3	TRUE	25739292	202
s20	seedling_leaf3	CML322		4	TRUE	36368883	202
s21	seedling_leaf3	CML322		5	TRUE	37172933	202
s22	seedling_leaf3	CML322		6	TRUE	35023392	202
s23	seedling_leaf3	Oh43		4	TRUE	28659281	202
s24	seedling_leaf3	Oh43		5	TRUE	29141259	202
s25	seedling_leaf3	Oh43		6	TRUE	27457327	202
s26	seedling_leaf3	Tx303		4	TRUE	30904748	202
s27	seedling_leaf3	Tx303		5	TRUE	31616637	202
s28	seedling_leaf3	Tx303		6	TRUE	29595512	202
