SampleID	Tissue	Genotype	Treatment	Replicate	MergeID	paired	spots	avgLength
SRR7889790			ARF10	1	m01	FALSE	18121991	75.64212806
SRR7889791			ARF13	1	m02	FALSE	24930195	75.61334867
SRR7889792			ARF14	1	m03	FALSE	14159612	75.38042893
SRR7889793			ARF16	1	m04	FALSE	28551131	75.68489108
SRR7889794			ARF18	1	m05	FALSE	28371502	75.65729537
SRR7889795			ARF25	1	m06	FALSE	14410671	75.35899536
SRR7889796			ARF27	1	m07	FALSE	48659869	75.05461375
SRR7889797			ARF29	1	m08	FALSE	25473798	75.66857694
SRR7889798			ARF34	1	m09	FALSE	40746798	75.18979936
SRR7889799			ARF35	1	m10	FALSE	40294472	74.99691236
SRR7889800			ARF36	1	m11	FALSE	13082237	75.39888836
SRR7889801			ARF39	1	m12	FALSE	18838361	75.15078207
SRR7889802			ARF4	1	m13	FALSE	20233070	75.68357555
SRR7889803			ARF7	1	m14	FALSE	12949888	75.40581695
SRR7889804			control	1	m15	FALSE	27640102	74.55103295
SRR7889805			BAD1	1	m16	FALSE	62039954	74.8448523
SRR7889806			BZIP25	1	m17	FALSE	13844087	75.40561671
SRR7889807			BZIP54	1	m18	FALSE	13364988	75.43989826
SRR7889808			BZIP57_FEA4	1	m19	FALSE	23416223	75.39643738
SRR7889809			BZIP57_FEA4	1	m19	FALSE	23633639	75.43703329
SRR7889810			BZIP57_FEA4	1	m19	FALSE	24149450	75.417391
SRR7889811			BZIP72	1	m20	FALSE	11029949	75.53354925
SRR7889812			BZIP96	1	m21	FALSE	10465551	75.46343102
SRR7889813			EREB127	1	m22	FALSE	4669689	72.47993731
SRR7889814			EREB138	1	m23	FALSE	10582357	75.35476548
SRR7889815			EREB24_BBM	1	m24	FALSE	9081020	70.41041557
SRR7889816			EREB24_BBM	1	m24	FALSE	5132154	70.11193702
SRR7889817			EREB29	1	m25	FALSE	8955343	75.50402503
SRR7889818			EREB71	1	m26	FALSE	12206223	75.48424226
SRR7889819			EREB71	1	m26	FALSE	18360362	75.61125859
SRR7889820			LBD16_RA2	1	m27	FALSE	7586773	68.85974116
SRR7889821			LBD19_IG1	1	m28	FALSE	16923907	75.43004638
SRR7889822			LBD38	1	m29	FALSE	14443498	75.33917462
SRR7889823			LBD5	1	m30	FALSE	16847447	75.3519468
SRR7889824			SBP30_UB3	1	m31	FALSE	10352176	75.49252669
SRR7889825			SBP6	1	m32	FALSE	10802484	75.4942042
SRR7889826			SBP8_UB2	1	m33	FALSE	10785815	75.49888479
