SampleID	Tissue	Genotype	Treatment	Replicate	MergeID	paired	spots	avgLength
SRR2995143	seed_4DAP	B73	chip	3	m1	TRUE	9423770	250
SRR2995145	seed_4DAP	B73	chip	2	m1	TRUE	10198700	250
SRR2995146	seed_4DAP	B73	chip	1	m1	TRUE	11874282	250
SRR2995149	seed_4DAP	B73	input	2	m2	TRUE	10428513	250
SRR2995150	seed_4DAP	B73	input	1	m2	TRUE	11286814	250
SRR2995152	seed_4DAP	hda101	chip	5	m3	TRUE	11148111	250
SRR2995154	seed_4DAP	hda101	chip	4	m3	TRUE	10830431	250
SRR2995156	seed_4DAP	hda101	chip	3	m3	TRUE	9021425	250
SRR2995157	seed_4DAP	hda101	input	4	m4	TRUE	12676350	250
SRR2995158	seed_4DAP	hda101	input	3	m4	TRUE	13108890	250
SRR2995159	seed_4DAP	wt	chip	2	m5	TRUE	9862018	200
SRR2995160	seed_4DAP	wt	chip	1	m5	TRUE	20315137	200
SRR2995161	seed_4DAP	wt	input	2	m6	TRUE	12217650	200
SRR2995162	seed_4DAP	wt	input	1	m6	TRUE	12398652	200
SRR2995163	seed_4DAP	hda101	chip	2	m3	TRUE	5298468	200
SRR2995164	seed_4DAP	hda101	input	2	m4	TRUE	11567045	200
SRR2995165	seed_4DAP	hda101	chip	1	m3	TRUE	11138888	200
SRR2995166	seed_4DAP	hda101	input	1	m4	TRUE	13630404	200
