SampleID	Tissue	Genotype	Treatment	Replicate	MergeID	paired	spots	avgLength
SRR447750		CML312SR		1	m001	TRUE	38888888	180
SRR447751		BKN015		1	m002	TRUE	29533801	200
SRR447752		BKN015		2	m002	TRUE	29690491	200
SRR447753		CML418		1	m003	TRUE	38888888	180
SRR447754		CML511		1	m004	TRUE	38888888	180
SRR447755		TIL05		1	m005	TRUE	30971631	152
SRR447756		TIL05		2	m005	TRUE	20289814	168
SRR447757		TIL05		3	m005	TRUE	24458673	152
SRR447758		CML206		1	m006	TRUE	38888888	180
SRR447759		BKN011		1	m007	TRUE	29689720	200
SRR447760		BKN011		2	m007	TRUE	28871665	200
SRR447761		VL056883		1	m008	TRUE	38888888	180
SRR447762		VL05128		1	m009	TRUE	38888888	180
SRR447763		CML202		1	m010	TRUE	38888888	180
SRR447764		H16		1	m011	TRUE	38888888	180
SRR447765		KY21		1	m012	TRUE	12016019	172
SRR447766		KY21		2	m012	TRUE	16703592	172
SRR447767		BKN027		1	m013	TRUE	28808759	200
SRR447768		BKN027		2	m013	TRUE	29121915	200
SRR447769		CAU478		1	m014	TRUE	10000000	150
SRR447770		CAU478		2	m014	TRUE	10000000	150
SRR447771		CAU478		3	m014	TRUE	10000000	120
SRR447772		CAU478		4	m014	TRUE	2297389	150
SRR447773		CAU478		5	m014	TRUE	10000000	150
SRR447774		CAU478		6	m014	TRUE	10000000	150
SRR447775		CAU478		7	m014	TRUE	10000000	150
SRR447776		CAU478		8	m014	TRUE	10000000	88
SRR447777		CAU478		9	m014	TRUE	5585290	150
SRR447778		CAU478		10	m014	TRUE	10000000	150
SRR447779		CAU478		11	m014	TRUE	10000000	146
SRR447780		TIL14		1	m015	TRUE	17884489	168
SRR447781		TIL14		2	m015	TRUE	17292066	160
SRR447782		TIL14		3	m015	TRUE	15413371	168
SRR447783		W64A		1	m016	TRUE	18359141	152
SRR447784		W64A		2	m016	TRUE	17846948	152
SRR447785		W64A		3	m016	TRUE	18629913	152
SRR447786		W64A		4	m016	TRUE	18476804	152
SRR447787		W64A		5	m016	TRUE	18072011	152
SRR447788		W64A		6	m016	TRUE	18382368	152
SRR447789		W64A		7	m016	TRUE	18834211	152
SRR447790		W64A		8	m016	TRUE	18572398	152
SRR447791		W64A		9	m016	TRUE	18324852	152
SRR447792		W64A		10	m016	TRUE	18658412	152
SRR447793		W64A		11	m016	TRUE	18627779	152
SRR447794		W64A		12	m016	TRUE	18453715	152
SRR447795		W64A		13	m016	TRUE	18542260	152
SRR447796		W64A		14	m016	TRUE	18530880	152
SRR447797		NC358		1	m017	TRUE	12167875	172
SRR447798		NC358		2	m017	TRUE	15576250	172
SRR447799		HP301		1	m018	TRUE	31424987	152
SRR447800		HP301		2	m018	TRUE	17318371	168
SRR447801		CML96		1	m019	TRUE	38888888	180
SRR447802		BKN019		1	m020	TRUE	27968849	200
SRR447803		BKN019		2	m020	TRUE	25075037	200
SRR447804		TDD39103		1	m021	TRUE	30627096	200
SRR447805		TDD39103		2	m021	TRUE	33902387	200
SRR447806		TDD39103		3	m021	TRUE	32426186	200
SRR447807		TDD39103		4	m021	TRUE	33044018	200
SRR447808		BKN022		1	m022	TRUE	27567832	200
SRR447809		BKN022		2	m022	TRUE	29916891	200
SRR447810		MO18W		1	m023	TRUE	4051823	172
SRR447811		MO18W		2	m023	TRUE	17947696	172
SRR447812		MO18W		3	m023	TRUE	17173420	152
SRR447813		BKN029		1	m024	TRUE	27741762	200
SRR447814		BKN029		2	m024	TRUE	30262312	200
SRR447815		CML330		1	m025	TRUE	38888888	180
SRR447816		TX303		1	m026	TRUE	17777348	168
SRR447817		TX303		2	m026	TRUE	21335706	250
SRR447818		TX303		3	m026	TRUE	16968726	168
SRR447819		CML69		1	m027	TRUE	18552317	168
SRR447820		CML69		2	m027	TRUE	41613214	152
SRR447821		BKN025		1	m028	TRUE	27972811	200
SRR447822		BKN025		2	m028	TRUE	28580949	200
