SampleID	Tissue	Genotype	Treatment	Replicate	paired	spots	avgLength
s01				1	TRUE	39874665	252
s02				2	TRUE	38571641	252
s03				3	TRUE	38557508	252
s04				4	TRUE	38278183	252
s05				5	TRUE	38453896	252
s06				6	TRUE	33314078	252
s07				7	TRUE	32184570	252
s08				8	TRUE	32129609	252
s09				9	TRUE	31845412	252
s10				10	TRUE	32012757	252
s11				11	TRUE	45239295	252
s12				12	TRUE	43776547	252
s13				13	TRUE	43728899	252
s14				14	TRUE	43338491	252
s15				15	TRUE	43516968	252
s16				16	TRUE	21464400	252
s17				17	TRUE	20702044	252
s18				18	TRUE	20656214	252
s19				19	TRUE	20482530	252
s20				20	TRUE	20585694	252
s21				21	TRUE	24319924	252
s22				22	TRUE	23550534	252
s23				23	TRUE	23511351	252
s24				24	TRUE	23333097	252
s25				25	TRUE	23417757	252
s26				26	TRUE	25305772	252
s27				27	TRUE	24556770	252
s28				28	TRUE	24541068	252
s29				29	TRUE	24355547	252
s30				30	TRUE	24452395	252
s31				31	TRUE	51800740	252
s32				32	TRUE	50147186	252
s33				33	TRUE	50107316	252
s34				34	TRUE	49731305	252
s35				35	TRUE	49878978	252
