SampleID	Tissue	Genotype	Treatment	Replicate	MergeID	paired	spots	avgLength
SRR4280400		Sorghum	cold_1d	1	m01	FALSE	8273627	51
SRR4280401		Urochloa	cold_1d	1	m02	FALSE	8284625	51
SRR4280402		Maize	cold_1d	1	m03	FALSE	11709951	51
SRR4280403		Paspalum	cold_1d	1	m04	FALSE	11488355	51
SRR4280404		Sorghum	cold_1d	2	m01	FALSE	11445103	101
SRR4280405		Urochloa	cold_1d	2	m02	FALSE	12131617	101
SRR4280406		YuGuI	cold_1d	1	m05	FALSE	11825007	51
SRR4280407		YuGuI	control	1	m06	FALSE	8528680	51
SRR4280408		Maize	control	1	m07	FALSE	8864104	51
SRR4280409		Paspalum	control	1	m08	FALSE	8637035	51
SRR4280410		Sorghum	control	1	m09	FALSE	11992060	101
SRR4280411		Urochloa	control	1	m10	FALSE	9138666	101
SRR4280412		Sorghum	control	2	m09	FALSE	7399716	51
SRR4280413		Maize	cold_1d	2	m03	FALSE	7464288	51
SRR4280414		Paspalum	cold_1d	2	m04	FALSE	7737140	51
SRR4280415		Sorghum	cold_1d	3	m01	FALSE	9418075	101
SRR4280416		Urochloa	cold_1d	3	m02	FALSE	12809255	101
SRR4280417		YuGuI	cold_1d	2	m05	FALSE	7965690	51
SRR4280418		YuGuI	control	2	m06	FALSE	7244895	51
SRR4280419		Maize	control	2	m07	FALSE	7754201	51
SRR4280420		Paspalum	control	2	m08	FALSE	7455133	51
SRR4280421		Sorghum	conrtol	1	m11	FALSE	13008518	101
SRR4280422		Urochloa	control	2	m10	FALSE	12019991	101
SRR4280423		Urochloa	control	3	m10	FALSE	7637371	51
SRR4280424		Maize	cold_1d	3	m03	FALSE	7017394	97.38699237922226
SRR4280425		Maize	control	3	m07	FALSE	12316979	97.36363730099727
SRR4280426		Paspalum	cold_1d	3	m04	FALSE	12575812	97.76287813462861
SRR4280427		Paspalum	control	3	m08	FALSE	12197496	97.54018349339897
SRR4280428		YuGuI	cold_1d	3	m05	FALSE	12839905	97.4852575622639
SRR4280429		YuGuI	control	3	m06	FALSE	12647058	97.33243083094898
