SampleID	Tissue	Genotype	Treatment	Replicate	paired	spots	avgLength
BR001	leaf	B73	blade_v12	1	TRUE	9456463	102
BR002	leaf	B73	blade_v12	2	TRUE	10614657	102
BR003	leaf	B73	blade_v12	3	TRUE	9456508	102
BR004	leaf	Mo17	blade_v12	1	TRUE	10983851	102
BR005	leaf	Mo17	blade_v12	2	TRUE	9878003	102
BR006	leaf	Mo17	blade_v12	3	TRUE	13109236	102
BR007	leaf	B73xMo17	blade_v12	1	TRUE	10136440	102
BR008	leaf	B73xMo17	blade_v12	2	TRUE	9958057	102
BR009	leaf	B73xMo17	blade_v12	3	TRUE	10368573	102
BR010	stem	B73	auricle_v12	1	TRUE	12161908	102
BR011	stem	B73	auricle_v12	2	TRUE	8756804	102
BR012	stem	B73	auricle_v12	3	TRUE	9205753	102
BR013	stem	Mo17	auricle_v12	1	TRUE	12629990	102
BR014	stem	Mo17	auricle_v12	2	TRUE	12106840	102
BR015	stem	Mo17	auricle_v12	3	TRUE	12789833	102
BR016	stem	B73xMo17	auricle_v12	1	TRUE	13001085	102
BR017	stem	B73xMo17	auricle_v12	2	TRUE	10302708	102
BR018	stem	B73xMo17	auricle_v12	3	TRUE	10717426	102
BR019	stem	B73	sheath_v12	1	TRUE	11363325	102
BR020	stem	B73	sheath_v12	2	TRUE	11653190	102
BR021	stem	B73	sheath_v12	3	TRUE	10397926	102
BR022	stem	Mo17	sheath_v12	1	TRUE	10300996	102
BR023	stem	Mo17	sheath_v12	2	TRUE	10610559	102
BR024	stem	Mo17	sheath_v12	3	TRUE	10818591	102
BR025	stem	B73xMo17	sheath_v12	1	TRUE	10460515	102
BR026	stem	B73xMo17	sheath_v12	2	TRUE	13454079	102
BR027	stem	B73xMo17	sheath_v12	3	TRUE	10947765	102
BR028	internode	B73	v12	1	TRUE	11704246	102
BR032	internode	B73	v12	2	TRUE	18897584	102
BR030	internode	B73	v12	3	TRUE	11511692	102
BR031	internode	Mo17	v12	1	TRUE	11675275	102
BR029	internode	Mo17	v12	2	TRUE	7280863	102
BR033	internode	Mo17	v12	3	TRUE	11763511	102
BR034	internode	B73xMo17	v12	1	TRUE	11446013	102
BR035	internode	B73xMo17	v12	2	TRUE	10813338	102
BR036	internode	B73xMo17	v12	3	TRUE	12185937	102
BR037	tassel	B73	v12	1	TRUE	11869598	102
BR038	tassel	B73	v12	2	TRUE	13057367	102
BR039	tassel	B73	v12	3	TRUE	11971434	102
BR040	tassel	Mo17	v12	1	TRUE	10198649	102
BR041	tassel	Mo17	v12	2	TRUE	9541534	102
BR042	tassel	Mo17	v12	3	TRUE	12122651	102
BR043	tassel	B73xMo17	v12	1	TRUE	11577660	102
BR044	tassel	B73xMo17	v12	2	TRUE	9209055	102
BR045	tassel	B73xMo17	v12	3	TRUE	11345207	102
BR046	ear	B73	v14	1	TRUE	10279754	102
BR047	ear	B73	v14	2	TRUE	10892889	102
BR048	ear	B73	v14	3	TRUE	10423251	102
BR049	ear	Mo17	v14	1	TRUE	11158750	102
BR050	ear	Mo17	v14	2	TRUE	10615140	102
BR051	ear	Mo17	v14	3	TRUE	10130338	102
BR052	ear	B73xMo17	v14	1	TRUE	9779316	102
BR053	ear	B73xMo17	v14	2	TRUE	10765471	102
BR054	ear	B73xMo17	v14	3	TRUE	10866113	102
BR055	silk	B73	0DAP	1	TRUE	10460214	102
BR056	silk	B73	0DAP	2	TRUE	10094098	102
BR057	silk	B73	0DAP	3	TRUE	9351362	102
BR058	silk	Mo17	0DAP	1	TRUE	9154814	102
BR059	silk	Mo17	0DAP	2	TRUE	9271623	102
BR060	silk	Mo17	0DAP	3	TRUE	8610999	102
BR061	silk	B73xMo17	0DAP	1	TRUE	12378233	102
BR062	silk	B73xMo17	0DAP	2	TRUE	11117019	102
BR063	silk	B73xMo17	0DAP	3	TRUE	12831768	102
BR064	spikelet	B73	0DAP	1	TRUE	12862409	102
BR065	spikelet	B73	0DAP	2	TRUE	13140565	102
BR066	spikelet	B73	0DAP	3	TRUE	12366130	102
BR067	spikelet	Mo17	0DAP	1	TRUE	12302995	102
BR068	spikelet	Mo17	0DAP	2	TRUE	12364997	102
BR069	spikelet	Mo17	0DAP	3	TRUE	12363396	102
BR070	spikelet	B73xMo17	0DAP	1	TRUE	10329056	102
BR071	spikelet	B73xMo17	0DAP	2	TRUE	12278485	102
BR072	spikelet	B73xMo17	0DAP	3	TRUE	12426693	102
BR073	stem	B73	husk_0DAP	1	TRUE	12468897	102
BR074	stem	B73	husk_0DAP	2	TRUE	11486069	102
BR075	stem	B73	husk_0DAP	3	TRUE	11705643	102
BR076	stem	Mo17	husk_0DAP	1	TRUE	12818182	102
BR077	stem	Mo17	husk_0DAP	2	TRUE	12761502	102
BR078	stem	Mo17	husk_0DAP	3	TRUE	12826901	102
BR079	stem	B73xMo17	husk_0DAP	1	TRUE	12503981	102
BR080	stem	B73xMo17	husk_0DAP	2	TRUE	11607643	102
BR081	stem	B73xMo17	husk_0DAP	3	TRUE	13790861	102
BR082	stem	B73	tasselstem_0DAP	1	TRUE	12451564	102
BR083	stem	B73	tasselstem_0DAP	2	TRUE	12221050	102
BR084	stem	B73	tasselstem_0DAP	3	TRUE	11567848	102
BR085	stem	Mo17	tasselstem_0DAP	1	TRUE	9540165	102
BR086	stem	Mo17	tasselstem_0DAP	2	TRUE	9089631	102
BR087	stem	Mo17	tasselstem_0DAP	3	TRUE	9244929	102
BR088	stem	B73xMo17	tasselstem_0DAP	1	TRUE	8876713	102
BR089	stem	B73xMo17	tasselstem_0DAP	2	TRUE	9021520	102
BR090	stem	B73xMo17	tasselstem_0DAP	3	TRUE	9072250	102
BR091	floret	B73	0DAP	1	TRUE	10046688	102
BR092	floret	B73	0DAP	2	TRUE	10344979	102
BR093	floret	B73	0DAP	3	TRUE	9586452	102
BR094	floret	Mo17	0DAP	1	TRUE	9591540	102
BR095	floret	Mo17	0DAP	2	TRUE	10171616	102
BR096	floret	Mo17	0DAP	3	TRUE	8968665	102
BR097	floret	B73xMo17	0DAP	1	TRUE	8971648	102
BR098	floret	B73xMo17	0DAP	2	TRUE	9125085	102
BR099	floret	B73xMo17	0DAP	3	TRUE	10114073	102
BR118	kernel	B73	14DAP	1	TRUE	10936328	102
BR119	kernel	B73	14DAP	2	TRUE	11056044	102
BR120	kernel	B73	14DAP	3	TRUE	10542981	102
BR121	kernel	Mo17	14DAP	1	TRUE	13288857	102
BR122	kernel	Mo17	14DAP	2	TRUE	13244937	102
BR123	kernel	Mo17	14DAP	3	TRUE	11612393	102
BR124	kernel	B73xMo17	14DAP	1	TRUE	12287598	102
BR125	kernel	B73xMo17	14DAP	2	TRUE	11390752	102
BR126	kernel	B73xMo17	14DAP	3	TRUE	10802003	102
BR127	kernel	Mo17xB73	14DAP	1	TRUE	11034849	102
BR128	kernel	Mo17xB73	14DAP	2	TRUE	12256591	102
BR129	kernel	Mo17xB73	14DAP	3	TRUE	12056059	102
BR100	leaf	B73	flag_0DAP	1	TRUE	8870907	102
BR101	leaf	B73	flag_0DAP	2	TRUE	8927886	102
BR102	leaf	B73	flag_0DAP	3	TRUE	9310919	102
BR103	leaf	Mo17	flag_0DAP	1	TRUE	12454393	102
BR104	leaf	Mo17	flag_0DAP	2	TRUE	11124928	102
BR105	leaf	Mo17	flag_0DAP	3	TRUE	9139066	102
BR106	leaf	B73xMo17	flag_0DAP	1	TRUE	8237380	102
BR107	leaf	B73xMo17	flag_0DAP	2	TRUE	11375396	102
BR108	leaf	B73xMo17	flag_0DAP	3	TRUE	8739031	102
BR109	root	B73	0DAP	1	TRUE	12780458	102
BR110	root	B73	0DAP	2	TRUE	11071413	102
BR111	root	B73	0DAP	3	TRUE	14352722	102
BR112	root	Mo17	0DAP	1	TRUE	13432400	102
BR113	root	Mo17	0DAP	2	TRUE	11241291	102
BR114	root	Mo17	0DAP	3	TRUE	11748397	102
BR115	root	B73xMo17	0DAP	1	TRUE	12447495	102
BR116	root	B73xMo17	0DAP	2	TRUE	13501613	102
BR117	root	B73xMo17	0DAP	3	TRUE	12014758	102
BR130	endosperm	B73	14DAP	1	TRUE	7971614	102
BR131	endosperm	B73	14DAP	2	TRUE	8354751	102
BR132	endosperm	B73	14DAP	3	TRUE	8106969	102
BR133	endosperm	Mo17	14DAP	1	TRUE	7996705	102
BR134	endosperm	Mo17	14DAP	2	TRUE	7111069	102
BR135	endosperm	Mo17	14DAP	3	TRUE	7053101	102
BR136	endosperm	B73xMo17	14DAP	1	TRUE	7342993	102
BR137	endosperm	B73xMo17	14DAP	2	TRUE	7408587	102
BR138	endosperm	B73xMo17	14DAP	3	TRUE	8295102	102
BR139	endosperm	Mo17xB73	14DAP	1	TRUE	8353565	102
BR140	endosperm	Mo17xB73	14DAP	2	TRUE	7429170	102
BR141	endosperm	Mo17xB73	14DAP	3	TRUE	8249827	102
BR142	embryo	B73	27DAP	1	TRUE	7372483	102
BR143	embryo	B73	27DAP	2	TRUE	7042198	102
BR144	embryo	B73	27DAP	3	TRUE	6553609	102
BR145	embryo	Mo17	27DAP	1	TRUE	7077358	102
BR146	embryo	Mo17	27DAP	2	TRUE	7533408	102
BR147	embryo	Mo17	27DAP	3	TRUE	8261322	102
BR148	embryo	B73xMo17	27DAP	1	TRUE	7602835	102
BR149	embryo	B73xMo17	27DAP	2	TRUE	8456705	102
BR150	embryo	B73xMo17	27DAP	3	TRUE	8081181	102
BR151	embryo	Mo17xB73	27DAP	1	TRUE	8665419	102
BR152	embryo	Mo17xB73	27DAP	2	TRUE	8303462	102
BR153	embryo	Mo17xB73	27DAP	3	TRUE	7536997	102
BR154	endosperm	B73	27DAP	1	TRUE	17736115	102
BR155	endosperm	B73	27DAP	2	TRUE	17169716	102
BR156	endosperm	B73	27DAP	3	TRUE	18730409	102
BR157	endosperm	Mo17	27DAP	1	TRUE	14649158	102
BR158	endosperm	Mo17	27DAP	2	TRUE	15811476	102
BR159	endosperm	Mo17	27DAP	3	TRUE	13053684	102
