SampleID	Tissue	Genotype	Treatment	Replicate	MergeID	paired	spots	avgLength
HY1				38	m1	TRUE	29622860	302
HY10				11	m1	TRUE	28660166	302
HY100				1	m1	TRUE	35274653	302
HY101				2	m1	TRUE	35576544	302
HY102				3	m1	TRUE	30315714	302
HY103				4	m1	TRUE	34832600	302
HY104				5	m1	TRUE	35721199	302
HY105				6	m1	TRUE	31260141	302
HY106				7	m1	TRUE	34818337	302
HY107				8	m1	TRUE	33315886	302
HY108				9	m1	TRUE	31574706	302
HY109				10	m1	TRUE	31505974	302
HY11				22	m1	TRUE	28554418	302
HY110				12	m1	TRUE	28799042	302
HY111				13	m1	TRUE	27501744	302
HY112				14	m1	TRUE	48118060	302
HY113				15	m1	TRUE	33896681	302
HY114				16	m1	TRUE	24728500	302
HY115				17	m1	TRUE	30185452	302
HY116				18	m1	TRUE	32677624	302
HY117				19	m1	TRUE	29424661	302
HY118				20	m1	TRUE	31806348	302
HY119				21	m1	TRUE	26336716	302
HY12				30	m1	TRUE	37914637	302
HY120				23	m1	TRUE	31298905	302
HY121				24	m1	TRUE	34362822	302
HY122				25	m1	TRUE	31218093	302
HY123				26	m1	TRUE	29412556	302
HY124				27	m1	TRUE	27870760	302
HY125				28	m1	TRUE	31521148	302
HY126				29	m1	TRUE	30736192	302
HY13				31	m1	TRUE	36747972	302
HY14				32	m1	TRUE	32961920	302
HY15				33	m1	TRUE	29896958	302
HY16				34	m1	TRUE	28017048	302
HY17				35	m1	TRUE	29363673	302
HY18				36	m1	TRUE	30945373	302
HY19				37	m1	TRUE	32268568	302
HY2				49	m1	TRUE	38365200	302
HY20				39	m1	TRUE	28114205	302
HY21				40	m1	TRUE	27588445	302
HY22				41	m1	TRUE	30224173	302
HY23				42	m1	TRUE	32962051	302
HY24				43	m1	TRUE	32223179	302
HY25				44	m1	TRUE	35227417	302
HY26				45	m1	TRUE	32137882	302
HY27				46	m1	TRUE	30069873	302
HY28				47	m1	TRUE	30025846	302
HY29				48	m1	TRUE	30580993	302
HY3				59	m1	TRUE	31254147	302
HY30				50	m1	TRUE	31603109	302
HY31				51	m1	TRUE	34915623	302
HY32				52	m1	TRUE	30929749	302
HY33				53	m1	TRUE	39157947	302
HY34				291	m1	TRUE	27296215	302
HY35				54	m1	TRUE	32086106	302
HY36				55	m1	TRUE	29569667	302
HY37				56	m1	TRUE	34950718	302
HY38				57	m1	TRUE	29069616	302
HY39				58	m1	TRUE	33037046	302
HY4				70	m1	TRUE	28440373	302
HY40				60	m1	TRUE	31441140	302
HY41				61	m1	TRUE	32010125	302
HY42				62	m1	TRUE	31734032	302
HY43				63	m1	TRUE	31141922	302
HY44				64	m1	TRUE	38262918	302
HY45				65	m1	TRUE	27988563	302
HY46				66	m1	TRUE	35056173	302
HY47				67	m1	TRUE	28133885	302
HY48				68	m1	TRUE	30990885	302
HY49				69	m1	TRUE	33538691	302
HY5				81	m1	TRUE	33739421	302
HY50				71	m1	TRUE	33038762	302
HY51				72	m1	TRUE	33037571	302
HY52				73	m1	TRUE	34893143	302
HY53				74	m1	TRUE	30729307	302
HY54				75	m1	TRUE	33642776	302
HY55				76	m1	TRUE	31992353	302
HY56				77	m1	TRUE	30620998	302
HY57				78	m1	TRUE	40083883	302
HY58				79	m1	TRUE	26563426	302
HY59				80	m1	TRUE	33568499	302
HY6				92	m1	TRUE	27214820	302
HY60				82	m1	TRUE	28003270	302
HY61				83	m1	TRUE	32557513	302
HY62				84	m1	TRUE	36681742	302
HY63				85	m1	TRUE	32599220	302
HY64				86	m1	TRUE	28777910	302
HY65				87	m1	TRUE	26861700	302
HY66				88	m1	TRUE	37030280	302
HY67				89	m1	TRUE	31888595	302
HY68				90	m1	TRUE	32362887	302
HY69				91	m1	TRUE	28682009	302
HY7				103	m1	TRUE	29776065	302
HY70				93	m1	TRUE	27969547	302
HY71				94	m1	TRUE	31190820	302
HY72				95	m1	TRUE	29269078	302
HY73				96	m1	TRUE	34194597	302
HY74				97	m1	TRUE	31102448	302
HY75				98	m1	TRUE	31940299	302
HY76				99	m1	TRUE	39833315	302
HY77				100	m1	TRUE	29657026	302
HY78				101	m1	TRUE	29432373	302
HY79				102	m1	TRUE	28364986	302
HY8				114	m1	TRUE	29776958	302
HY80				104	m1	TRUE	36023362	302
HY81				105	m1	TRUE	31388473	302
HY82				106	m1	TRUE	33278076	302
HY83				107	m1	TRUE	26182586	302
HY84				108	m1	TRUE	30107468	302
HY85				109	m1	TRUE	29526452	302
HY86				110	m1	TRUE	32332065	302
HY87				111	m1	TRUE	28936732	302
HY88				112	m1	TRUE	30866696	302
HY89				113	m1	TRUE	29919639	302
HY9				125	m1	TRUE	35150195	302
HY90				115	m1	TRUE	30727547	302
HY91				116	m1	TRUE	36489088	302
HY92				117	m1	TRUE	35012288	302
HY93				118	m1	TRUE	31208851	302
HY94				119	m1	TRUE	32319179	302
HY95				120	m1	TRUE	31270168	302
HY96				121	m1	TRUE	31876173	302
HY97				122	m1	TRUE	32347780	302
HY98				123	m1	TRUE	35976851	302
HY99				124	m1	TRUE	35575517	302
NM1				136	m1	TRUE	31506564	302
NM10				127	m1	TRUE	35649334	302
NM100				126	m1	TRUE	26906448	302
NM12				128	m1	TRUE	34015630	302
NM13				129	m1	TRUE	35529566	302
NM14				130	m1	TRUE	22255713	302
NM15				131	m1	TRUE	28023836	302
NM16				132	m1	TRUE	25584080	302
NM17				133	m1	TRUE	28228581	302
NM18				134	m1	TRUE	29320021	302
NM19				135	m1	TRUE	30360732	302
NM2				147	m1	TRUE	34569815	302
NM20				137	m1	TRUE	35575350	302
NM21				138	m1	TRUE	26996319	302
NM22				139	m1	TRUE	37307427	302
NM23				140	m1	TRUE	31988601	302
NM24				141	m1	TRUE	33452607	302
NM25				142	m1	TRUE	31922285	302
NM26				143	m1	TRUE	27032359	302
NM27				144	m1	TRUE	29612538	302
NM28				145	m1	TRUE	30755055	302
NM29				146	m1	TRUE	35039047	302
NM3				158	m1	TRUE	29339710	302
NM30				148	m1	TRUE	29672846	302
NM31				149	m1	TRUE	37227257	302
NM32				150	m1	TRUE	34001538	302
NM33				151	m1	TRUE	29922826	302
NM34				152	m1	TRUE	36100210	302
NM35				153	m1	TRUE	29067991	302
NM36				154	m1	TRUE	31115524	302
NM37				155	m1	TRUE	33536039	302
NM38				156	m1	TRUE	31640128	302
NM39				157	m1	TRUE	30598443	302
NM4				169	m1	TRUE	33334940	302
NM40				159	m1	TRUE	31186649	302
NM41				160	m1	TRUE	33868682	302
NM42				161	m1	TRUE	28248582	302
NM43				162	m1	TRUE	40062497	302
NM44				163	m1	TRUE	35164360	302
NM45				164	m1	TRUE	27781218	302
NM46				165	m1	TRUE	28911026	302
NM47				166	m1	TRUE	35011920	302
NM48				167	m1	TRUE	24650707	302
NM49				168	m1	TRUE	32801913	302
NM5				180	m1	TRUE	34025539	302
NM50				170	m1	TRUE	32290231	302
NM51				171	m1	TRUE	29205881	302
NM52				172	m1	TRUE	30719775	302
NM53				173	m1	TRUE	29047733	302
NM54				174	m1	TRUE	33622309	302
NM55				175	m1	TRUE	36994934	302
NM56				176	m1	TRUE	29138215	302
NM57				177	m1	TRUE	25839958	302
NM58				178	m1	TRUE	32860568	302
NM59				179	m1	TRUE	30525385	302
NM6				191	m1	TRUE	30247293	302
NM60				181	m1	TRUE	27846481	302
NM61				182	m1	TRUE	31512890	302
NM62				183	m1	TRUE	31003529	302
NM63				184	m1	TRUE	34218686	302
NM64				185	m1	TRUE	28355175	302
NM65				186	m1	TRUE	31981792	302
NM66				187	m1	TRUE	30565153	302
NM67				188	m1	TRUE	34068849	302
NM68				189	m1	TRUE	35512504	302
NM69				190	m1	TRUE	31546273	302
NM7				202	m1	TRUE	32229621	302
NM70				192	m1	TRUE	29137119	302
NM71				193	m1	TRUE	31765547	302
NM72				194	m1	TRUE	28276070	302
NM73				195	m1	TRUE	28937111	302
NM74				196	m1	TRUE	37111525	302
NM75				197	m1	TRUE	26596408	302
NM76				198	m1	TRUE	27279924	302
NM77				199	m1	TRUE	30014004	302
NM78				200	m1	TRUE	27230613	302
NM79				201	m1	TRUE	31445344	302
NM8				213	m1	TRUE	31010662	302
NM80				203	m1	TRUE	28682793	302
NM81				204	m1	TRUE	29106129	302
NM82				205	m1	TRUE	28739098	302
NM83				206	m1	TRUE	27590985	302
NM84				207	m1	TRUE	35716462	302
NM85				208	m1	TRUE	37490683	302
NM86				209	m1	TRUE	30026065	302
NM87				210	m1	TRUE	27321267	302
NM88				211	m1	TRUE	46452244	302
NM89				212	m1	TRUE	44206725	302
NM9				224	m1	TRUE	33941239	302
NM90				214	m1	TRUE	29499382	302
NM91				215	m1	TRUE	33595760	302
NM92				216	m1	TRUE	45424443	302
NM93				217	m1	TRUE	35267460	302
NM94				218	m1	TRUE	39030282	302
NM95				219	m1	TRUE	40316206	302
NM96				220	m1	TRUE	38450578	302
NM97				221	m1	TRUE	31760711	302
NM98				222	m1	TRUE	38208218	302
NM99				223	m1	TRUE	33106774	302
TC1				235	m1	TRUE	28343684	302
TC10				225	m1	TRUE	30800085	302
TC11				226	m1	TRUE	28156234	302
TC12				227	m1	TRUE	26304460	302
TC13				228	m1	TRUE	27286410	302
TC14				229	m1	TRUE	22684509	302
TC15				230	m1	TRUE	31603143	302
TC16				231	m1	TRUE	25468131	302
TC17				232	m1	TRUE	29905902	302
TC18				233	m1	TRUE	28023828	302
TC19				234	m1	TRUE	29554306	302
TC2				246	m1	TRUE	30308227	302
TC20				236	m1	TRUE	33888404	302
TC21				237	m1	TRUE	28131045	302
TC22				238	m1	TRUE	35233794	302
TC23				239	m1	TRUE	30726929	302
TC24				240	m1	TRUE	32998707	302
TC25				241	m1	TRUE	28706589	302
TC26				242	m1	TRUE	26087579	302
TC27				243	m1	TRUE	34559699	302
TC28				244	m1	TRUE	29813736	302
TC29				245	m1	TRUE	33411227	302
TC3				257	m1	TRUE	30582912	302
TC30				247	m1	TRUE	28170151	302
TC31				248	m1	TRUE	36063443	302
TC32				249	m1	TRUE	31681143	302
TC33				250	m1	TRUE	30141573	302
TC34				251	m1	TRUE	33144134	302
TC35				252	m1	TRUE	27088264	302
TC36				253	m1	TRUE	33111640	302
TC37				254	m1	TRUE	31012888	302
TC38				255	m1	TRUE	32506158	302
TC39				256	m1	TRUE	33925051	302
TC4				268	m1	TRUE	30806368	302
TC40				258	m1	TRUE	27789168	302
TC41				259	m1	TRUE	35693289	302
TC42				260	m1	TRUE	27961628	302
TC43				261	m1	TRUE	39407587	302
TC44				262	m1	TRUE	35829646	302
TC45				263	m1	TRUE	28384112	302
TC46				264	m1	TRUE	29210663	302
TC47				265	m1	TRUE	35666622	302
TC48				266	m1	TRUE	28542017	302
TC49				267	m1	TRUE	27918671	302
TC5				279	m1	TRUE	33126834	302
TC50				269	m1	TRUE	30404610	302
TC51				270	m1	TRUE	31189531	302
TC52				271	m1	TRUE	31533181	302
TC53				272	m1	TRUE	29679915	302
TC54				273	m1	TRUE	36428409	302
TC55				274	m1	TRUE	34007467	302
TC56				275	m1	TRUE	27282104	302
TC57				276	m1	TRUE	25273720	302
TC58				277	m1	TRUE	34520505	302
TC59				278	m1	TRUE	29074129	302
TC6				287	m1	TRUE	27285147	302
TC60				280	m1	TRUE	43620145	302
TC61				281	m1	TRUE	27136414	302
TC62				282	m1	TRUE	27765709	302
TC63				283	m1	TRUE	34991576	302
TC64				284	m1	TRUE	31567752	302
TC65				285	m1	TRUE	35876764	302
TC66				286	m1	TRUE	33024336	302
TC7				288	m1	TRUE	29563739	302
TC8				289	m1	TRUE	27394405	302
TC9				290	m1	TRUE	31413373	302
